Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,38.42,30.51,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,45.79,34.71,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,49.06,37.75,89.84,2,200,38,CNN 16k,IID,CIFAR-10,3327.67,0.2374,0.1848,2.7925,664.63,0.2434,0.1898,2.7784
Client 1,2,38.78,30.21,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,45.03,34.88,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,45.02,34.01,79.92,2,200,38,CNN 16k,IID,CIFAR-10,2831.25,0.326,0.2959,2.3879,564.85,0.3268,0.2955,2.3976
Client 1,3,46.82,37.13,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,46.23,39.83,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,46.27,35.43,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,129.99,177.6,307.69,1,100,49,CNN 16k,IID,CIFAR-10,2544.66,0.4056,0.3879,2.1384,509.35,0.4057,0.3869,2.1573
