Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,56.53,40.44,,2,200,54,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,57.55,40.88,,2,200,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,47.51,35.98,99.12,2,199,47,CNN 16k,IID,CIFAR-10,3590.57,0.0984,0.0347,3.6221,719.06,0.0952,0.0339,3.6289
Client 1,2,57.39,42.0,,2,200,54,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,57.28,43.2,,2,200,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,49.47,42.43,100.49,2,200,47,CNN 16k,IID,CIFAR-10,3123.17,0.2738,0.2308,2.782,624.06,0.2782,0.2354,2.7421
Client 1,3,61.0,39.33,,2,200,54,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,60.31,36.91,,2,200,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,47.37,39.75,100.35,2,199,47,CNN 16k,IID,CIFAR-10,2774.46,0.3562,0.3389,2.4822,553.45,0.3625,0.3452,2.4518
Client 1,4,55.13,38.69,,2,200,54,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,55.03,40.0,,2,200,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,48.67,38.06,95.03,2,200,47,CNN 16k,IID,CIFAR-10,2538.45,0.4065,0.3874,2.2337,506.92,0.4106,0.3908,2.2203
Client 1,5,57.41,38.42,,2,200,54,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,57.81,41.23,,2,200,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,50.16,31.98,99.15,2,200,47,CNN 16k,IID,CIFAR-10,2411.79,0.4429,0.4299,2.0518,483.0,0.4394,0.425,2.0736
Client 1,6,52.89,40.33,,2,200,54,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,51.21,37.4,,2,200,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,6,44.36,31.08,93.23,2,200,47,CNN 16k,IID,CIFAR-10,2312.91,0.4634,0.449,1.9924,465.44,0.4593,0.4441,2.0266
Client 1,7,61.07,42.5,,2,200,54,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,58.68,44.05,,2,200,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,7,49.44,38.7,103.59,2,200,47,CNN 16k,IID,CIFAR-10,2266.87,0.4759,0.4679,1.9326,458.57,0.4709,0.4621,1.9637
