Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,54.57,50.76,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,58.13,49.82,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,56.46,51.96,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,57.4,51.91,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,60.14,50.95,115.24,2,139,41,CNN 16k,IID,CIFAR-10,3185.21,0.278,0.2507,2.7516,637.71,0.2833,0.2538,2.7228
Client 1,2,49.23,53.23,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,51.16,55.04,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,50.4,52.67,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,50.86,54.37,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,51.67,55.43,107.14,2,138,41,CNN 16k,IID,CIFAR-10,2695.58,0.3739,0.3624,2.3207,537.41,0.3734,0.3613,2.3246
Client 1,3,48.93,51.44,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,49.31,51.64,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,48.92,50.48,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,51.5,52.21,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,50.29,51.9,103.74,2,138,41,CNN 16k,IID,CIFAR-10,2496.5,0.4159,0.4067,2.1327,498.54,0.4184,0.4087,2.1285
Client 1,4,48.41,51.6,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,48.75,51.93,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,48.86,50.65,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,49.0,52.49,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,4,48.57,52.99,101.58,2,137,41,CNN 16k,IID,CIFAR-10,2376.75,0.4463,0.4396,2.0319,476.39,0.4445,0.4381,2.0374
