Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,64.1,54.39,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,73.64,56.48,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,66.63,55.89,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,162.66,165.8,333.55,1,100,46,CNN 16k,IID,CIFAR-10,3135.29,0.2789,0.2535,2.6764,626.76,0.2817,0.2554,2.6693
Client 1,2,64.09,54.88,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,73.44,57.64,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,67.31,55.98,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,159.36,463.49,622.87,1,60,46,CNN 16k,IID,CIFAR-10,2755.42,0.359,0.3436,2.3434,551.84,0.3534,0.3363,2.3683
Client 1,3,65.88,54.34,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,76.15,56.01,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,69.32,57.07,,2,199,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,160.67,161.59,322.28,1,100,46,CNN 16k,IID,CIFAR-10,2538.1,0.4074,0.3942,2.1537,509.36,0.4032,0.3892,2.1815
Client 1,4,63.9,54.71,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,73.56,57.19,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,70.23,56.39,,2,199,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,171.67,165.99,337.68,1,100,46,CNN 16k,IID,CIFAR-10,2407.62,0.4397,0.429,2.0247,483.11,0.436,0.4257,2.0455
Client 1,5,63.89,55.45,,2,199,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,75.34,57.13,,2,200,38,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,68.02,56.89,,2,199,37,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,5,157.95,158.79,316.76,1,100,46,CNN 16k,IID,CIFAR-10,2298.84,0.4663,0.4548,1.9357,464.18,0.4613,0.4501,1.9628
