Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,50.64,36.52,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,46.17,31.62,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,46.03,32.13,92.95,2,200,60,CNN 16k,non-IID,CIFAR-10,2749.32,0.3539,0.2207,2.4635,836.82,0.2523,0.1854,2.7611
Client 1,2,50.66,38.54,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,45.41,34.93,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,45.65,37.34,89.22,2,199,60,CNN 16k,non-IID,CIFAR-10,2366.04,0.4446,0.3063,2.1051,767.65,0.3205,0.2591,2.4903
Client 1,3,46.43,35.22,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,42.4,31.6,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,45.3,36.03,81.68,2,200,60,CNN 16k,non-IID,CIFAR-10,2186.24,0.4857,0.3403,1.9536,729.63,0.3499,0.2882,2.35
Client 1,4,44.42,42.93,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,40.05,36.52,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,40.45,36.64,87.37,2,200,60,CNN 16k,non-IID,CIFAR-10,2019.51,0.5255,0.3789,1.8698,680.15,0.3838,0.3214,2.3004
Client 1,5,53.68,43.79,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,47.83,39.0,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,50.71,41.34,97.49,2,200,60,CNN 16k,non-IID,CIFAR-10,1935.22,0.5464,0.404,1.7172,664.89,0.4018,0.3433,2.2125
Client 1,6,50.95,38.82,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,47.12,38.99,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,50.54,42.43,92.97,2,200,60,CNN 16k,non-IID,CIFAR-10,1833.4,0.5733,0.4274,1.6306,646.66,0.4178,0.3599,2.1374
