Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,45.46,39.34,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,47.18,40.91,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,43.79,38.94,,2,199,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,169.43,199.49,369.4,1,100,55,CNN 16k,non-IID,CIFAR-10,2423.18,0.4411,0.1644,1.9969,879.75,0.1956,0.1006,3.1033
Client 1,2,55.86,39.44,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,56.76,39.95,,2,200,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,55.11,36.72,,2,200,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,87.56,189.04,276.64,1,100,54,CNN 16k,non-IID,CIFAR-10,2079.91,0.5216,0.2476,1.642,772.17,0.2646,0.1826,2.7354
Client 1,3,52.66,41.82,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,55.98,45.43,,2,200,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,51.2,41.13,,2,200,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,89.35,234.7,324.17,1,100,54,CNN 16k,non-IID,CIFAR-10,1952.55,0.5494,0.3013,1.5547,725.0,0.3039,0.2336,2.6068
Client 1,4,50.95,39.05,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,56.58,40.81,,2,200,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,52.19,40.02,,2,200,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,84.24,179.64,263.88,1,100,54,CNN 16k,non-IID,CIFAR-10,1864.67,0.5661,0.3267,1.5396,699.56,0.3213,0.2598,2.5544
Client 1,5,50.62,39.56,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,53.86,41.18,,2,200,45,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,51.19,38.33,,2,200,46,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,86.22,194.02,280.25,1,100,54,CNN 16k,non-IID,CIFAR-10,1777.77,0.5909,0.3652,1.4055,672.3,0.3448,0.2923,2.4305
