Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,61.95,40.54,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,63.99,40.62,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,68.75,49.36,128.35,2,199,47,CNN 16k,non-IID,CIFAR-10,2576.33,0.4261,0.1735,1.768,851.66,0.199,0.1194,2.8531
Client 1,2,55.04,36.33,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,54.31,35.42,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,57.88,39.63,97.52,2,200,47,CNN 16k,non-IID,CIFAR-10,2217.83,0.5049,0.2315,1.5258,797.44,0.252,0.1659,2.7033
Client 1,3,42.88,36.27,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,44.2,37.85,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,47.71,39.02,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,148.53,212.54,361.1,1,100,55,CNN 16k,non-IID,CIFAR-10,2043.7,0.5404,0.3098,1.5518,720.79,0.3189,0.2489,2.4807
Client 1,4,45.13,33.65,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,49.06,37.85,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,49.83,36.41,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,150.82,235.52,386.35,1,100,55,CNN 16k,non-IID,CIFAR-10,1918.77,0.5703,0.3437,1.4735,685.02,0.351,0.2778,2.4266
Client 1,5,49.76,38.66,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,52.0,38.0,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,55.69,39.83,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,131.72,185.35,317.09,1,100,55,CNN 16k,non-IID,CIFAR-10,1879.84,0.5797,0.3712,1.4699,670.85,0.3756,0.3092,2.3794
Client 1,6,41.64,31.52,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,42.62,35.41,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,46.19,36.65,82.85,2,200,47,CNN 16k,non-IID,CIFAR-10,1768.49,0.6074,0.3676,1.2344,671.09,0.3592,0.2918,2.403
Client 1,7,48.86,38.51,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,51.84,39.08,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,52.4,39.11,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,153.05,216.01,369.07,1,100,55,CNN 16k,non-IID,CIFAR-10,1753.65,0.6104,0.3993,1.3286,656.15,0.3901,0.3277,2.2461
Client 1,8,50.83,34.1,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,53.1,35.0,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,8,55.09,39.33,94.44,2,200,47,CNN 16k,non-IID,CIFAR-10,1668.99,0.6318,0.404,1.135,659.94,0.3809,0.3235,2.2599
Client 1,9,52.61,40.55,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,9,54.28,40.43,,2,199,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,9,54.54,41.44,,2,200,47,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,9,154.81,188.41,343.23,1,100,55,CNN 16k,non-IID,CIFAR-10,1651.42,0.6348,0.4351,1.2861,619.82,0.4171,0.3577,2.2029
