Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,36.86,37.27,,2,133,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,39.08,38.95,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,37.79,36.79,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,35.35,37.12,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,37.04,37.78,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,1,40.19,39.62,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,1,43.76,42.94,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,1,41.78,38.94,,1,100,43,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,1,37.62,40.69,,1,100,48,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,1,45.91,36.93,91.72,1,100,41,CNN 16k,IID,CIFAR-10,3557.64,0.157,0.1104,3.0132,712.17,0.1558,0.1091,3.0063
Client 1,2,38.47,41.32,,2,133,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,36.8,41.5,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,38.1,39.83,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,36.36,40.6,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,37.33,38.56,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,2,41.49,41.57,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,2,45.58,43.92,,1,100,39,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,2,46.2,42.4,,1,100,43,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,2,42.81,43.13,,1,100,48,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,2,38.34,42.93,89.52,1,100,41,CNN 16k,IID,CIFAR-10,3123.42,0.2992,0.2738,2.608,625.23,0.3028,0.2776,2.5995
Client 1,3,36.73,40.64,,2,132,46,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,40.2,39.75,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,38.11,36.9,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,39.2,38.76,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,38.61,38.42,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,3,42.44,40.61,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,3,45.47,40.99,,1,100,39,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,3,44.66,40.88,,1,100,43,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,3,43.91,42.78,,1,100,48,CNN 16k,IID,CIFAR-10,,,,,,,,
