Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,49.12,50.45,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,50.37,50.49,,2,136,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,49.69,51.24,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,49.66,51.93,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,49.15,50.46,179.03,2,137,41,CNN 16k,non-IID,CIFAR-10,2870.45,0.3212,0.2037,2.5951,736.79,0.2446,0.181,2.8095
Client 1,2,44.41,45.58,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,45.21,48.22,,2,135,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,45.18,46.68,,2,135,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,44.86,46.3,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,45.38,51.68,97.15,2,135,41,CNN 16k,non-IID,CIFAR-10,2500.91,0.4209,0.3089,2.1937,661.72,0.3254,0.2752,2.49
Client 1,3,45.66,46.03,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,46.78,46.12,,2,136,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,46.32,45.14,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,47.76,46.37,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,47.23,47.61,94.86,2,136,41,CNN 16k,non-IID,CIFAR-10,2320.93,0.4592,0.3525,2.0705,630.09,0.3645,0.3183,2.3854
