Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,25.23,27.59,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,25.37,26.47,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,25.89,26.83,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,25.42,27.6,58.3,2,138,43,CNN 16k,IID,CIFAR-10,3259.56,0.2404,0.1982,2.8178,649.72,0.2462,0.2041,2.7814
Client 1,2,26.51,28.77,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,25.93,29.76,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,25.8,26.88,,2,138,40,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,27.77,32.05,59.85,2,134,43,CNN 16k,IID,CIFAR-10,2774.87,0.3557,0.3403,2.3923,551.33,0.3584,0.342,2.3743
Client 1,3,26.37,28.6,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,26.72,26.59,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,26.49,27.16,,2,138,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,28.78,27.88,56.69,2,136,43,CNN 16k,IID,CIFAR-10,2551.76,0.4068,0.3918,2.1668,508.84,0.4063,0.3909,2.1852
