Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,29.48,27.69,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,29.1,27.52,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,27.41,27.11,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,29.34,26.27,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,30.43,29.46,68.23,2,137,41,CNN 16k,non-IID,CIFAR-10,1.3,0.5318,0.4002,1.7125,2.73,0.3646,0.3066,2.3357
Client 1,2,29.2,28.57,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,28.94,27.73,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,27.49,27.65,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,29.27,27.14,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,28.31,27.55,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,28.63,26.37,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,29.2,26.86,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,28.65,28.03,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,29.67,27.55,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,29.19,27.09,57.79,1,100,41,CNN 16k,non-IID,CIFAR-10,1.2,0.5667,0.4336,1.6531,2.5,0.3869,0.3272,2.2661
Client 1,3,29.49,27.29,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,29.42,27.33,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,28.69,26.16,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,29.8,27.58,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,29.76,27.8,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,32.51,28.55,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,30.17,27.58,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,30.49,28.04,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,31.2,27.88,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,31.26,28.28,61.08,1,100,41,CNN 16k,non-IID,CIFAR-10,1.11,0.6021,0.4828,1.4759,2.3,0.4199,0.3639,2.1436
Client 1,4,29.1,27.73,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,27.95,26.7,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,29.59,29.18,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,28.4,27.71,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,28.88,28.44,58.8,2,138,41,CNN 16k,non-IID,CIFAR-10,1.09,0.609,0.5155,1.3614,2.25,0.4413,0.4013,1.9785
Client 1,5,30.54,28.33,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,28.92,28.13,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,29.88,27.92,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,28.99,27.37,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,30.69,29.35,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,30.26,28.45,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,5,31.04,28.6,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,5,30.94,28.28,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,5,30.76,29.53,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,5,30.15,29.78,60.31,1,100,41,CNN 16k,non-IID,CIFAR-10,1.01,0.6381,0.5431,1.3413,2.2,0.4592,0.4161,1.9818
Client 1,6,32.1,31.36,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,35.03,30.75,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,33.26,30.31,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,34.23,30.07,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,6,31.97,31.37,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,6,34.27,33.2,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,6,37.34,31.98,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,6,34.49,36.26,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,6,40.96,32.12,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,6,41.93,32.98,74.92,1,100,41,CNN 16k,non-IID,CIFAR-10,0.99,0.6456,0.5548,1.3041,2.1,0.4671,0.4254,1.9389
Client 1,7,30.93,27.49,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,30.5,26.72,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,31.0,30.63,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,32.55,28.85,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,7,33.41,30.5,63.93,2,136,41,CNN 16k,non-IID,CIFAR-10,0.96,0.6556,0.5736,1.2148,2.08,0.4724,0.4332,1.9184
Client 1,8,38.67,32.61,,2,134,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,36.29,28.21,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,8,41.73,30.27,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,8,32.98,29.98,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,8,34.86,29.76,,2,136,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,8,37.2,33.1,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,8,41.0,35.14,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,8,33.28,31.03,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,8,44.65,34.64,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,8,38.71,31.12,79.32,1,100,41,CNN 16k,non-IID,CIFAR-10,0.94,0.6646,0.5821,1.2315,2.13,0.4783,0.4389,1.9374
Client 1,9,32.95,28.05,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,9,30.95,28.05,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,9,34.39,29.77,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,9,31.51,27.64,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,9,33.31,28.71,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,9,32.2,28.96,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,9,32.18,27.76,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,9,32.7,29.12,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,9,32.31,27.62,,1,100,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,9,31.82,28.41,64.19,1,100,41,CNN 16k,non-IID,CIFAR-10,0.9,0.6787,0.5975,1.1734,2.08,0.4859,0.4488,1.8661
Client 1,10,28.95,26.7,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,10,28.56,26.06,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,10,28.27,26.4,,2,140,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,10,28.53,26.28,,2,139,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,10,29.85,30.3,60.25,2,137,41,CNN 16k,non-IID,CIFAR-10,0.91,0.6774,0.6038,1.1218,2.07,0.4858,0.4514,1.8661
