Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,28.7,28.19,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,28.1,26.67,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,28.43,27.3,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,28.82,26.46,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,27.28,25.66,58.39,2,140,41,CNN 16k,IID,CIFAR-10,1.55,0.4341,0.4245,2.1094,1.54,0.4351,0.4254,2.1011
Client 1,2,28.25,27.33,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,28.38,29.34,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,29.78,26.51,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,28.21,26.28,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,28.77,26.3,57.73,2,139,41,CNN 16k,IID,CIFAR-10,1.45,0.4743,0.4644,1.9567,1.46,0.4656,0.4554,1.9796
Client 1,3,28.49,27.1,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,27.96,26.13,,2,140,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,28.83,27.89,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,29.06,27.52,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,30.21,26.92,57.14,2,138,41,CNN 16k,IID,CIFAR-10,1.39,0.4987,0.4924,1.8551,1.42,0.4864,0.4795,1.8882
Client 1,4,30.39,28.2,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,30.42,27.32,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,29.63,28.6,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,28.6,28.4,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,4,30.68,28.59,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,4,32.1,27.77,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,4,31.64,28.98,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,4,30.02,27.85,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,4,31.29,28.6,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,4,31.53,29.02,60.64,1,100,41,CNN 16k,IID,CIFAR-10,1.31,0.5273,0.5212,1.7189,1.36,0.5129,0.5057,1.7586
Client 1,5,28.72,27.95,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,30.85,26.96,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,29.53,26.11,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,5,29.64,27.28,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,5,31.14,27.64,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,5,31.61,27.68,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,5,33.23,29.03,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,5,32.6,27.99,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,5,31.91,28.56,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,5,30.69,27.2,62.28,1,100,41,CNN 16k,IID,CIFAR-10,1.27,0.543,0.5389,1.6422,1.33,0.5262,0.5211,1.6941
