Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,45.41,51.15,,2,137,58,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,47.13,49.42,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,45.5,50.0,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,46.22,50.66,,2,137,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,47.89,50.06,182.9,2,137,41,CNN 16k,non-IID,CIFAR-10,2940.86,0.325,0.1735,2.5638,796.26,0.2082,0.1437,3.0044
Client 1,2,50.11,44.23,,2,138,58,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,50.05,46.76,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,50.66,48.12,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,50.83,46.0,,2,138,44,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,50.51,47.71,98.88,2,137,41,CNN 16k,non-IID,CIFAR-10,2444.26,0.4421,0.2893,2.1414,694.06,0.3117,0.2532,2.6558
