Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,50.36,51.57,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,50.64,51.73,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,54.95,51.15,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,50.46,52.2,,2,138,62,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,51.85,51.48,118.84,2,139,41,CNN 16k,non-IID,CIFAR-10,2593.93,0.4185,0.1776,2.0001,836.41,0.2116,0.1226,2.6734
Client 1,2,51.74,46.75,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,51.0,48.05,,2,138,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,53.54,47.01,,2,137,41,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,50.43,48.59,,2,137,62,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,52.31,47.35,100.56,2,137,41,CNN 16k,non-IID,CIFAR-10,2281.52,0.488,0.2462,1.8148,770.4,0.2678,0.184,2.5751
