Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.44,27.83,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,27.19,27.84,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,26.95,27.58,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,27.99,27.51,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,25.55,28.19,59.76,2,137,41,CNN 16k,IID,CIFAR-10,3378.76,0.1629,0.0885,2.9851,675.77,0.169,0.0923,2.9619
Client 1,2,27.18,27.95,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,26.98,26.64,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,28.49,28.31,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,27.82,27.25,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,27.28,26.41,56.88,2,138,41,CNN 16k,IID,CIFAR-10,2871.66,0.3371,0.314,2.4213,572.36,0.3427,0.3186,2.3781
Client 1,3,25.77,28.05,,2,139,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,26.19,28.09,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,26.98,28.56,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,27.88,27.27,,2,138,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,26.43,28.49,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,3,27.03,29.39,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,3,27.59,29.24,,1,100,54,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,3,27.76,29.19,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,3,28.06,28.97,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,3,27.11,29.27,57.05,1,100,41,CNN 16k,IID,CIFAR-10,2583.33,0.396,0.3827,2.2128,517.01,0.3958,0.3814,2.2202
