Client ID,FL Round,Training Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,30.46,28.36,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,28.82,31.68,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,27.79,28.41,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,27.67,29.19,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,28.32,29.23,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,1,27.73,28.41,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,1,29.31,29.55,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,1,27.6,29.61,65.88,2,136,41,CNN 16k,IID,CIFAR-10,3577.47,0.127,0.0528,3.3934,716.19,0.1284,0.054,3.3898
Client 1,2,28.04,32.05,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,28.44,29.17,,2,136,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,27.6,29.14,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,28.1,29.85,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,27.9,28.91,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,2,29.89,31.36,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,2,27.33,28.84,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,2,28.8,28.49,61.27,2,136,41,CNN 16k,IID,CIFAR-10,3178.37,0.2637,0.2335,2.5807,632.7,0.2726,0.2414,2.5162
Client 1,3,30.4,32.53,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,31.4,29.58,,2,135,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,29.73,30.28,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,29.19,28.52,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,29.08,30.3,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,3,29.64,30.54,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,3,29.94,31.54,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,3,28.89,30.0,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,3,30.07,31.86,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,3,30.86,30.43,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 11,3,32.33,29.95,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,3,36.79,31.12,67.93,1,100,41,CNN 16k,IID,CIFAR-10,2412.03,0.3399,0.3154,2.3613,481.58,0.3439,0.3184,2.3349
Client 1,4,28.75,29.07,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,27.64,30.59,,2,136,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,30.02,29.61,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,28.91,30.24,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,4,29.19,30.89,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,4,29.17,32.05,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,4,29.22,28.91,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,4,28.61,30.35,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,4,29.62,30.58,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,4,29.64,29.9,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 11,4,32.1,32.53,,1,100,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 12,4,30.8,30.76,64.65,1,100,41,CNN 16k,IID,CIFAR-10,2052.72,0.435,0.4274,2.0801,410.82,0.438,0.4297,2.0615
Client 1,5,31.86,35.01,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,30.37,33.69,,2,132,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,30.06,33.96,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,5,29.56,32.05,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,5,31.38,33.38,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,5,31.97,34.1,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,5,32.63,33.75,,2,132,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,5,29.26,29.91,66.89,2,135,41,CNN 16k,IID,CIFAR-10,2308.27,0.4649,0.4601,1.9637,464.27,0.4671,0.4615,1.9395
Client 1,6,31.34,31.73,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,29.24,31.11,,2,134,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,6,28.79,31.47,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,6,30.61,30.29,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,6,29.71,30.99,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,6,30.43,32.18,,2,133,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,6,27.63,33.38,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,6,29.97,31.54,63.08,2,134,41,CNN 16k,IID,CIFAR-10,2220.06,0.4859,0.4818,1.8806,448.97,0.4823,0.4778,1.8784
Client 1,7,29.24,29.46,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,27.76,29.43,,2,136,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,7,29.73,28.82,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,7,27.37,28.8,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,7,28.62,30.02,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,7,27.41,28.41,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,7,28.2,29.06,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,7,28.53,30.23,58.79,2,135,41,CNN 16k,IID,CIFAR-10,2170.97,0.4979,0.4922,1.8415,440.01,0.4931,0.4867,1.8547
Client 1,8,29.19,28.46,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,8,27.75,28.67,,2,136,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,8,28.48,30.6,,2,135,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,8,27.94,29.44,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,8,30.71,30.27,,2,134,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,8,28.55,29.14,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,8,28.23,28.07,,2,136,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,8,29.02,30.31,61.0,2,135,41,CNN 16k,IID,CIFAR-10,2128.55,0.5097,0.5038,1.8144,432.95,0.5027,0.4957,1.8289
Client 1,9,28.61,29.46,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,9,29.11,28.27,,2,136,42,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,9,28.45,27.96,,2,137,41,CNN 16k,IID,CIFAR-10,,,,,,,,
