Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.17,0.4,4.85,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,1.19,0.27,5.22,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,1.17,0.41,4.84,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,1.47,0.32,5.0,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,1.19,0.36,4.88,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,1.52,0.32,6.38,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,1.23,0.48,4.9,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,1.25,0.23,5.87,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,1.16,0.46,4.77,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,1.26,0.4,4.99,80.76,2,103,21,CNN 16k,non-IID,CIFAR-10,1.34,0.5323,0.1023,1.8389,3.53,0.1019,0.0207,3.358
Client 1,2,2.74,0.2,6.23,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,2.58,0.31,6.05,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,2.63,0.31,6.48,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,2.54,0.28,6.23,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,2.38,0.27,6.1,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,2.59,0.29,6.21,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,2.44,0.31,6.08,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,2.56,0.18,6.04,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,2.45,0.41,5.87,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,2.4,0.43,5.84,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 11,2,1.36,0.21,5.77,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 12,2,1.32,0.39,5.32,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 13,2,1.49,0.26,5.21,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 14,2,1.25,0.32,4.97,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 15,2,1.24,0.47,5.1,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 16,2,1.23,0.29,5.04,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 17,2,1.4,0.45,5.52,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 18,2,1.35,0.23,5.48,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 19,2,1.3,0.47,5.46,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 20,2,1.27,0.39,5.14,78.02,1,100,20,CNN 16k,non-IID,CIFAR-10,1.38,0.4929,0.1115,1.8225,3.73,0.126,0.04,3.1791
Client 1,3,3.83,0.2,7.51,,2,103,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,3.9,0.26,7.26,,2,103,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,3.82,0.24,7.18,,2,103,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,3.82,0.25,7.98,,2,103,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,3.57,0.31,6.97,,2,103,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,3.85,0.28,7.07,,2,103,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,3,3.8,0.44,7.23,,2,103,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,3,3.89,0.38,7.82,,2,103,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,3,3.6,0.28,6.82,,2,103,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,3,3.6,0.19,7.08,,2,103,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 11,3,2.62,0.22,6.31,,1,98,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 12,3,2.69,0.15,6.43,,1,98,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 13,3,2.73,0.2,6.68,,1,98,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 14,3,2.54,0.35,6.14,,1,98,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 15,3,2.64,0.35,6.44,,1,98,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 16,3,2.57,0.24,6.6,,1,98,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 17,3,2.63,0.26,6.66,,1,98,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 18,3,2.89,0.36,6.71,,1,98,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 19,3,2.69,0.38,6.45,,1,98,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 20,3,2.55,0.19,6.85,85.53,1,98,19,CNN 16k,non-IID,CIFAR-10,1.35,0.5332,0.1586,1.7209,3.39,0.1608,0.0743,2.9619
Client 1,4,5.04,0.23,8.35,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,5.32,0.23,8.69,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,5.08,0.19,8.09,,2,105,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,4.86,0.15,8.08,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,5.16,0.29,8.49,,2,106,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,5.22,0.23,8.41,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,4,5.35,0.26,8.53,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,4,5.04,0.15,8.55,,2,105,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,4,5.43,0.37,8.07,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,4,5.07,0.26,8.24,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 11,4,4.08,0.14,8.41,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 12,4,4.13,0.24,7.53,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 13,4,3.95,0.14,7.47,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 14,4,3.82,0.16,7.51,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 15,4,4.34,0.33,7.66,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 16,4,4.11,0.36,7.65,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 17,4,4.43,0.27,7.23,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 18,4,4.08,0.27,7.72,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 19,4,4.13,0.31,7.52,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 20,4,3.98,0.33,7.81,87.81,1,100,19,CNN 16k,non-IID,CIFAR-10,1.34,0.5272,0.1937,1.6176,3.14,0.1919,0.1084,2.857
Client 1,5,5.96,0.12,9.4,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,6.11,0.14,9.61,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,6.18,0.25,10.23,,2,106,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
