Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.67,0.0,0.0,4.13,,2,108,16,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,0.8,0.0,0.0,4.5,69.73,2,107,18,CNN 64k,non-IID,CIFAR10,1.47,0.4552,0.2359,1.9313,4.78,0.1766,0.0845,2.8968
Client 1,2,1.58,0.0,0.0,5.04,,2,110,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,1.76,0.0,0.0,4.44,79.47,2,110,19,CNN 64k,non-IID,CIFAR10,1.34,0.4995,0.311,1.5746,3.28,0.2368,0.1408,2.7273
Client 1,3,2.5,0.0,0.0,5.05,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,2.34,0.0,0.0,5.3,81.03,2,111,21,CNN 64k,non-IID,CIFAR10,1.35,0.4719,0.3235,1.8042,2.55,0.2619,0.1843,2.5879
Client 1,4,3.25,0.0,10.7,5.34,,2,114,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,3.06,0.0,10.05,5.89,83.56,2,114,23,CNN 64k,non-IID,CIFAR10,1.2,0.5251,0.289,1.6619,2.72,0.2458,0.1513,2.4741
Client 1,5,4.57,0.0,11.55,5.46,,2,116,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,5,3.49,0.0,11.47,5.31,85.88,2,114,24,CNN 64k,non-IID,CIFAR10,1.19,0.5221,0.3768,1.5022,2.67,0.2956,0.2205,2.5291
Client 1,6,4.96,0.0,14.61,6.32,,2,118,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,6,4.13,0.0,11.15,6.07,89.11,2,114,25,CNN 64k,non-IID,CIFAR10,1.2,0.5411,0.4338,1.8786,2.23,0.3896,0.3416,2.2391
Client 1,7,4.94,0.0,14.08,6.33,,2,116,27,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,7,4.59,0.0,13.17,6.07,88.53,2,116,27,CNN 64k,non-IID,CIFAR10,1.14,0.5636,0.5201,1.7832,2.07,0.4641,0.4337,1.9779
