Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.44,0.14,0.0,0.2,,2,120,21,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,0.25,0.31,0.0,0.16,25.42,2,118,20,TextMLP,non-IID,AGNEWS,0.63,0.7197,0.7186,0.2979,2.47,0.2768,0.1548,0.9768
Client 23,2,0.63,0.21,0.0,0.32,,2,107,21,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,0.71,0.33,0.0,0.37,20.48,2,108,20,TextMLP,non-IID,AGNEWS,0.7,0.7155,0.2797,0.2992,3.25,0.2507,0.1014,0.9993
Client 23,3,0.97,0.21,0.0,0.44,,2,108,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,0.92,0.18,0.0,0.46,24.96,2,110,24,TextMLP,non-IID,AGNEWS,0.84,0.6388,0.3396,0.4828,3.39,0.2916,0.1582,1.2029
Client 23,4,1.25,0.26,0.0,0.58,,2,110,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,1.27,0.23,0.0,0.58,23.12,2,109,25,TextMLP,non-IID,AGNEWS,0.64,0.7488,0.3188,0.3937,4.24,0.2607,0.122,1.4779
Client 23,5,1.62,0.26,0.0,0.72,,2,112,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,1.6,0.21,0.0,0.71,20.78,2,113,25,TextMLP,non-IID,AGNEWS,0.44,0.8069,0.6138,0.3064,4.94,0.4109,0.3477,1.1907
Client 23,6,1.91,0.28,0.0,0.84,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,1.93,0.2,0.0,0.86,20.85,2,114,25,TextMLP,non-IID,AGNEWS,0.34,0.8663,0.7724,0.2106,5.58,0.5405,0.4722,0.8488
Client 23,7,2.26,0.25,0.0,1.04,,2,117,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,7,2.24,0.19,0.0,0.99,21.15,2,116,25,TextMLP,non-IID,AGNEWS,0.32,0.8785,0.8231,0.1888,5.76,0.5938,0.5169,0.698
