Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.19,0.24,0.0,4.78,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.22,0.32,0.0,4.73,65.89,2,104,21,CNN 64k,non-IID,CIFAR10,1.57,0.3288,0.0836,2.028,3.29,0.1099,0.0309,2.8054
Client 23,2,2.36,0.25,0.0,6.18,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.47,0.21,0.0,6.02,75.47,2,105,20,CNN 64k,non-IID,CIFAR10,1.48,0.4698,0.1175,1.862,3.16,0.1404,0.0474,3.1351
Client 23,3,3.52,0.16,0.0,7.66,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.63,0.19,0.0,7.79,73.94,2,106,19,CNN 64k,non-IID,CIFAR10,1.48,0.459,0.2343,1.6502,2.49,0.237,0.1529,2.7437
Client 23,4,4.84,0.22,0.0,7.52,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,5.05,0.18,0.0,7.82,76.91,2,107,19,CNN 64k,non-IID,CIFAR10,1.27,0.5391,0.2597,1.751,2.49,0.244,0.1656,2.8357
Client 23,5,6.1,0.12,0.0,8.68,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,6.23,0.17,0.0,9.01,80.66,2,108,18,CNN 64k,non-IID,CIFAR10,1.26,0.549,0.3458,1.7727,2.25,0.3138,0.2496,2.5474
Client 23,6,6.88,0.1,0.0,9.9,,2,108,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,7.67,0.14,0.0,11.26,85.16,2,109,20,CNN 64k,non-IID,CIFAR10,1.29,0.5343,0.3951,1.6453,2.23,0.3655,0.3007,2.3965
Client 23,7,8.38,0.18,0.0,11.35,,2,109,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,8.47,0.14,0.0,10.47,87.59,2,109,18,CNN 64k,non-IID,CIFAR10,1.15,0.5657,0.4085,1.547,2.3,0.3562,0.2995,2.3092
Client 23,8,9.75,0.12,0.0,12.3,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,8,10.02,0.11,0.0,12.51,97.06,2,109,20,CNN 64k,non-IID,CIFAR10,1.12,0.6013,0.4927,1.5124,1.96,0.4328,0.3844,2.0589
Client 23,9,10.76,0.2,0.0,12.29,,2,110,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,9,11.57,0.12,0.0,13.94,100.74,2,110,20,CNN 64k,non-IID,CIFAR10,0.97,0.6526,0.4879,1.1521,2.38,0.4269,0.3543,2.3032
Client 23,10,13.04,0.11,0.0,16.06,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,10,13.0,0.12,0.0,14.18,105.52,2,111,19,CNN 64k,non-IID,CIFAR10,1.13,0.5879,0.5367,1.1007,1.9,0.4605,0.4237,2.0427
Client 23,11,14.81,0.14,0.0,15.37,,2,111,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,11,13.37,0.2,0.0,15.37,105.38,2,112,19,CNN 64k,non-IID,CIFAR10,0.78,0.7337,0.5249,1.0051,2.1,0.4353,0.3716,2.0941
Client 23,12,14.24,0.11,0.0,15.29,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,12,16.27,0.15,0.0,17.04,115.36,2,112,20,CNN 64k,non-IID,CIFAR10,0.92,0.6686,0.5753,1.0443,1.96,0.4708,0.4336,1.8658
Client 23,13,16.09,0.17,0.0,17.23,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,13,16.05,0.14,0.0,16.71,110.65,2,113,20,CNN 64k,non-IID,CIFAR10,0.86,0.6924,0.5689,1.1234,1.98,0.4583,0.4213,1.9092
