Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.28,0.38,0.0,0.2,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,0.34,0.3,0.0,0.21,18.43,2,104,19,TextMLP,non-IID,AGNEWS,0.53,0.8162,0.2993,0.1878,2.88,0.25,0.1,1.25
Client 1,2,0.67,0.21,0.0,0.29,,2,106,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,0.57,0.17,0.0,0.31,19.44,2,106,24,TextMLP,non-IID,AGNEWS,0.93,0.5569,0.2393,0.5971,2.79,0.2502,0.1004,1.2499
Client 1,3,0.77,0.21,0.0,0.45,,2,107,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,0.78,0.32,0.0,0.38,19.11,2,109,24,TextMLP,non-IID,AGNEWS,0.61,0.7699,0.3668,0.3579,3.82,0.2882,0.1565,1.38
Client 1,4,1.08,0.3,0.0,0.5,,2,109,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,4,1.11,0.24,0.0,0.49,19.99,2,112,24,TextMLP,non-IID,AGNEWS,0.47,0.8271,0.501,0.2717,4.4,0.364,0.2409,1.1105
Client 1,5,1.46,0.29,0.0,0.68,,2,111,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,5,1.61,0.21,0.0,0.64,20.8,2,114,25,TextMLP,non-IID,AGNEWS,0.45,0.8362,0.6154,0.2354,5.04,0.4548,0.3478,0.8755
Client 1,6,1.84,0.25,0.0,0.92,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,6,2.14,0.21,0.0,0.95,22.16,2,114,25,TextMLP,non-IID,AGNEWS,0.42,0.836,0.7091,0.2278,5.71,0.482,0.4113,0.9439
Client 1,7,2.25,0.25,0.0,1.01,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,7,1.95,0.19,0.0,0.82,22.56,2,116,25,TextMLP,non-IID,AGNEWS,0.36,0.8672,0.7909,0.1883,5.7,0.5702,0.4915,0.7513
Client 1,8,2.73,0.24,0.0,0.99,,2,118,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,8,2.98,0.18,0.0,1.01,22.21,2,118,25,TextMLP,non-IID,AGNEWS,0.32,0.8803,0.8328,0.1738,5.5,0.6101,0.5275,0.6749
Client 1,9,2.57,0.23,0.0,1.11,,2,118,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,9,2.87,0.21,0.0,1.22,22.35,2,119,25,TextMLP,non-IID,AGNEWS,0.29,0.8894,0.838,0.1642,5.56,0.6004,0.5212,0.6991
Client 1,10,3.21,0.22,0.0,1.17,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,10,2.68,0.23,0.0,1.11,22.09,2,119,26,TextMLP,non-IID,AGNEWS,0.27,0.8998,0.8527,0.1486,5.38,0.6293,0.5436,0.6416
Client 1,11,3.29,0.22,0.0,1.33,,2,121,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,11,2.92,0.24,0.0,1.18,22.91,2,121,25,TextMLP,non-IID,AGNEWS,0.27,0.8994,0.8474,0.1537,5.46,0.6162,0.5356,0.6784
Client 1,12,3.35,0.22,0.0,1.43,,2,123,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,12,3.13,0.25,0.0,1.36,22.25,2,122,25,TextMLP,non-IID,AGNEWS,0.25,0.9073,0.8604,0.1397,5.41,0.6288,0.5452,0.6522
Client 1,13,4.24,0.22,0.0,1.57,,2,124,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,13,3.75,0.23,0.0,2.19,25.39,2,126,25,TextMLP,non-IID,AGNEWS,0.25,0.9064,0.8649,0.1421,5.42,0.6346,0.5505,0.6315
Client 1,14,5.05,0.23,0.0,1.61,,2,128,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,14,4.35,0.22,0.0,1.79,25.86,2,125,25,TextMLP,non-IID,AGNEWS,0.24,0.9091,0.8674,0.1388,5.42,0.6339,0.5497,0.6346
Client 1,15,5.72,0.24,0.0,1.92,,2,131,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,15,4.03,0.22,0.0,1.65,24.87,2,127,26,TextMLP,non-IID,AGNEWS,0.24,0.9082,0.866,0.1401,5.46,0.6343,0.5506,0.6293
Client 1,16,4.76,0.23,0.0,1.82,,2,128,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,16,4.56,0.21,0.0,1.77,24.06,2,129,26,TextMLP,non-IID,AGNEWS,0.24,0.9089,0.8731,0.1406,5.62,0.635,0.5514,0.6353
Client 1,17,4.83,0.22,0.0,2.63,,2,130,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,17,5.24,0.22,0.0,2.07,26.06,2,129,26,TextMLP,non-IID,AGNEWS,0.24,0.9092,0.8748,0.1395,5.52,0.6482,0.5615,0.5938
Client 1,18,5.08,0.22,0.0,2.14,,2,128,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,18,5.33,0.22,0.0,2.33,27.7,2,129,25,TextMLP,non-IID,AGNEWS,0.23,0.9126,0.8778,0.1347,5.76,0.6441,0.5586,0.6001
Client 1,19,6.31,0.22,0.0,2.15,,2,131,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,19,6.37,0.22,0.0,2.36,27.67,2,132,26,TextMLP,non-IID,AGNEWS,0.23,0.9128,0.8785,0.1347,6.03,0.6476,0.5613,0.5899
Client 1,20,6.39,0.22,0.0,2.78,,2,133,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,20,5.49,0.22,0.0,2.26,29.02,2,130,26,TextMLP,non-IID,AGNEWS,0.24,0.9072,0.8656,0.1421,5.84,0.6174,0.5374,0.6828
