Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.31,0.42,0.0,5.46,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.43,0.25,0.0,5.25,75.48,2,104,21,CNN 64k,non-IID,CIFAR10,1.36,0.541,0.092,1.6874,3.84,0.1,0.0182,3.1
Client 23,2,2.69,0.21,0.0,6.29,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.56,0.19,0.0,6.71,,2,104,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,1.57,0.33,0.0,5.77,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,1.53,0.25,0.0,5.76,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,1.56,0.23,0.0,6.4,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,1.49,0.3,0.0,5.6,78.97,1,100,20,CNN 64k,non-IID,CIFAR10,1.49,0.4739,0.17,1.8196,3.58,0.167,0.0796,3.1848
Client 23,3,4.09,0.25,0.0,7.52,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.94,0.34,0.0,7.32,,2,105,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,3.08,0.26,0.0,7.08,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,3.17,0.35,0.0,7.39,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,3.17,0.29,0.0,7.15,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,3.19,0.21,0.0,7.01,80.82,1,100,19,CNN 64k,non-IID,CIFAR10,1.16,0.595,0.2233,1.581,3.28,0.2063,0.1105,2.9388
Client 23,4,5.52,0.14,0.0,8.97,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,5.93,0.16,0.0,8.79,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,4.73,0.2,0.0,8.22,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,4.77,0.27,0.0,8.12,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,4.76,0.23,0.0,8.4,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,4.67,0.34,0.0,8.67,89.1,1,100,19,CNN 64k,non-IID,CIFAR10,1.2,0.57,0.27,1.8027,2.78,0.2611,0.1681,2.7658
Client 23,5,6.78,0.22,0.0,9.62,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,7.56,0.17,0.0,9.81,,2,107,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,6.13,0.25,0.0,9.03,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,6.16,0.2,0.0,9.17,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,6.77,0.13,0.0,10.26,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,6.0,0.16,0.0,9.47,92.28,1,100,18,CNN 64k,non-IID,CIFAR10,1.2,0.5732,0.3138,1.5706,2.47,0.293,0.2066,2.6534
Client 23,6,8.06,0.22,0.0,11.46,,2,108,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,8.77,0.2,0.0,10.74,,2,108,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,8.26,0.17,0.0,11.58,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,7.64,0.16,0.0,11.62,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,6,8.61,0.17,0.0,10.89,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,6,8.13,0.22,0.0,11.06,98.04,1,100,20,CNN 64k,non-IID,CIFAR10,1.14,0.5963,0.3435,1.5629,2.43,0.3126,0.2298,2.4908
Client 23,7,9.56,0.13,0.0,11.53,,2,108,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,9.79,0.17,0.0,12.92,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,7,8.98,0.19,0.0,11.27,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,7,9.31,0.15,0.0,12.0,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,7,9.48,0.15,0.0,11.93,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,7,9.09,0.23,0.0,11.33,99.95,1,100,20,CNN 64k,non-IID,CIFAR10,1.15,0.5737,0.3868,1.4076,2.32,0.3397,0.2757,2.5265
Client 23,8,10.9,0.13,0.0,12.65,,2,109,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,8,11.6,0.08,0.0,13.55,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,8,12.74,0.25,0.0,14.59,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,8,10.85,0.09,0.0,14.07,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,8,10.9,0.32,0.0,13.4,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,8,10.95,0.2,0.0,13.2,105.02,1,100,19,CNN 64k,non-IID,CIFAR10,1.04,0.6363,0.4369,1.2157,2.19,0.3817,0.3189,2.2693
Client 23,9,12.84,0.13,0.0,14.43,,2,110,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,9,12.66,0.1,0.0,14.66,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,9,12.07,0.09,0.0,13.92,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,9,13.2,0.25,0.0,15.14,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,9,12.03,0.2,0.0,13.97,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,9,12.33,0.22,0.0,15.0,108.84,1,100,18,CNN 64k,non-IID,CIFAR10,1.06,0.611,0.4577,1.384,2.31,0.3933,0.3391,2.2216
Client 23,10,14.53,0.21,0.0,15.74,,2,111,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,10,13.38,0.11,0.0,15.56,,2,110,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,10,13.47,0.13,0.0,15.45,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,10,13.75,0.12,0.0,16.08,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,10,14.21,0.09,0.0,16.62,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,10,16.13,0.16,0.0,15.23,111.73,1,100,20,CNN 64k,non-IID,CIFAR10,1.06,0.6201,0.5031,1.3258,2.12,0.4308,0.3838,1.9954
Client 23,11,15.64,0.12,0.0,17.32,,2,111,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,11,15.43,0.16,0.0,17.09,,2,110,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,11,14.65,0.22,0.0,16.04,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,11,15.04,0.28,0.0,17.06,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,11,15.55,0.17,0.0,16.17,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,11,15.91,0.14,0.0,16.54,121.65,1,100,20,CNN 64k,non-IID,CIFAR10,0.94,0.671,0.5169,1.1626,2.03,0.426,0.3821,2.0932
Client 23,12,17.49,0.07,0.0,19.22,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,12,17.98,0.11,0.0,18.1,,2,112,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,12,16.99,0.23,0.0,18.45,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,12,16.9,0.25,0.0,18.73,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,12,17.19,0.32,0.0,18.21,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,12,17.25,0.25,0.0,18.56,125.27,1,100,20,CNN 64k,non-IID,CIFAR10,0.8,0.7162,0.5254,1.0768,2.19,0.4323,0.3802,2.125
Client 23,13,17.99,0.1,0.0,18.92,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,13,18.83,0.16,0.0,19.96,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,13,18.92,0.13,0.0,18.9,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,13,18.1,0.35,0.0,19.93,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,13,18.61,0.14,0.0,19.08,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,13,18.81,0.34,0.0,20.43,128.13,1,100,20,CNN 64k,non-IID,CIFAR10,0.8,0.7105,0.5327,1.1313,2.21,0.4358,0.3899,1.9559
Client 23,14,19.43,0.16,0.0,20.92,,2,113,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,14,20.41,0.16,0.0,20.66,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,14,20.08,0.15,0.0,20.37,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,14,20.05,0.13,0.0,20.9,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,14,21.01,0.09,0.0,21.05,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,14,20.21,0.34,0.0,20.68,132.84,1,100,19,CNN 64k,non-IID,CIFAR10,0.81,0.714,0.5886,0.9914,2.0,0.4792,0.4345,1.888
Client 23,15,21.29,0.23,0.0,20.99,,2,112,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,15,20.89,0.13,0.0,21.61,135.84,2,112,19,CNN 64k,non-IID,CIFAR10,0.82,0.6992,0.5885,0.9331,1.9,0.4668,0.4285,1.9354
