Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.36,0.25,0.0,5.44,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.35,0.3,0.0,5.23,73.54,2,104,21,CNN 64k,non-IID,CIFAR10,1.59,0.4282,0.0805,2.1662,3.46,0.1,0.0182,3.1
Client 23,2,2.75,0.23,0.0,6.42,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.67,0.21,0.0,6.48,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,1.51,0.3,0.0,5.56,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,1.44,0.24,0.0,5.51,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,1.43,0.33,0.0,5.41,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,1.44,0.28,0.0,5.38,76.52,1,100,20,CNN 64k,non-IID,CIFAR10,1.5,0.4696,0.1424,1.7514,3.32,0.1507,0.06,3.2881
Client 23,3,4.23,0.18,0.0,7.65,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,4.19,0.09,0.0,8.18,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,2.95,0.24,0.0,6.66,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,2.89,0.32,0.0,6.65,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,3.0,0.29,0.0,6.89,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,2.94,0.26,0.0,6.68,83.66,1,100,19,CNN 64k,non-IID,CIFAR10,1.37,0.5131,0.2009,1.9263,3.0,0.2025,0.1077,3.0067
Client 23,4,5.56,0.22,0.0,8.64,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,5.57,0.22,0.0,8.44,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,4.65,0.26,0.0,8.03,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,4.34,0.4,0.0,7.68,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
