Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.2,0.32,0.0,4.88,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,1.28,0.37,0.0,5.01,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,1.29,0.52,0.0,5.21,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,1.33,0.26,0.0,5.27,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,1.32,0.46,0.0,5.14,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,1.3,0.5,0.0,5.25,74.75,1,100,21,CNN 16k,non-IID,CIFAR-10,1.15,0.6184,0.1268,1.772,3.83,0.1137,0.0284,3.4809
Client 1,2,1.42,0.1,0.0,4.79,,2,112,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,1.4,0.1,0.0,4.69,,2,111,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,1.36,0.1,17.54,4.63,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,1.47,0.08,11.44,4.61,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,1.56,0.11,12.72,4.71,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,1.43,0.12,18.65,4.56,86.78,1,100,19,CNN 16k,non-IID,CIFAR-10,1.48,0.4328,0.2103,1.9844,3.45,0.1744,0.0854,3.0306
