Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.37,0.19,0.0,20.24,,2,72,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,1,1.53,0.24,0.0,21.46,,2,69,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,1,2.28,0.32,0.0,14.78,,1,83,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,1,2.03,0.26,0.0,16.89,,1,74,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,1,2.02,0.34,0.0,24.27,,1,62,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,1,1.94,0.24,0.0,9.98,48.36,1,92,21,CNN 64k,IID,CIFAR10,1.54,0.4376,0.1239,2.09,3.56,0.142,0.0524,3.0266
Client 1,2,2.99,0.13,0.0,11.85,,2,95,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,2,2.7,0.13,0.0,18.66,,2,80,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,2,3.3,0.14,0.0,24.13,,1,66,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,2,3.54,0.27,0.0,23.31,,1,68,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,2,3.45,0.26,0.0,22.29,,1,69,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,2,3.19,0.2,0.0,11.06,51.38,1,90,20,CNN 64k,IID,CIFAR10,1.52,0.4437,0.1627,2.3081,2.9,0.1933,0.1102,3.0183
Client 1,3,4.23,0.1,0.0,7.2,,2,112,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,3,4.11,0.09,0.0,27.5,,2,73,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,3,4.83,0.18,0.0,16.69,,1,82,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,3,5.95,0.16,0.0,12.64,,1,93,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,3,4.7,0.17,0.0,10.14,,1,94,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,3,4.82,0.17,0.0,28.48,67.54,1,69,19,CNN 64k,IID,CIFAR10,1.46,0.4787,0.227,2.0575,2.32,0.2473,0.1671,2.8742
Client 1,4,6.5,0.07,0.0,18.98,,2,92,20,CNN 64k,IID,CIFAR10,,,,,,,,
