Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.91,0.14,9.39,0.37,,2,120,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,0.29,0.31,5.07,0.17,26.85,2,125,21,TextMLP,non-IID,AGNEWS,0.63,0.68,0.62,0.37,2.93,0.25,0.10,1.00
Client 23,2,0.61,0.21,7.42,0.35,,2,108,23,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,0.69,0.33,8.81,0.46,25.04,2,107,21,TextMLP,non-IID,AGNEWS,0.69,0.72,0.28,0.30,3.49,0.25,0.10,1.00
Client 23,3,0.90,0.21,9.11,0.44,,2,110,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,0.92,0.18,7.39,0.45,23.18,2,110,24,TextMLP,non-IID,AGNEWS,0.82,0.69,0.41,0.44,3.80,0.34,0.20,1.13
Client 23,4,1.25,0.26,6.18,0.57,,2,110,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,1.26,0.23,9.09,0.61,24.65,2,109,25,TextMLP,non-IID,AGNEWS,0.56,0.77,0.41,0.34,4.49,0.30,0.19,1.35
Client 23,5,1.57,0.26,7.67,0.70,,2,112,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,1.69,0.21,12.10,0.72,20.08,2,113,25,TextMLP,non-IID,AGNEWS,0.44,0.82,0.62,0.27,4.99,0.43,0.35,1.01
Client 23,6,1.87,0.28,7.79,0.81,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,1.92,0.20,9.81,0.81,21.23,2,114,25,TextMLP,non-IID,AGNEWS,0.35,0.86,0.76,0.21,5.42,0.54,0.47,0.81
Client 23,7,2.29,0.25,7.96,0.99,,2,119,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,7,2.36,0.19,9.69,1.01,24.84,2,117,25,TextMLP,non-IID,AGNEWS,0.33,0.87,0.82,0.20,5.39,0.61,0.53,0.63
Client 23,8,2.70,0.25,8.09,1.05,,2,120,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,8,2.80,0.19,9.57,1.09,23.84,2,118,25,TextMLP,non-IID,AGNEWS,0.30,0.88,0.83,0.18,5.36,0.61,0.53,0.67
Client 23,9,2.79,0.25,15.39,1.17,,2,118,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,9,2.89,0.19,15.32,1.19,23.81,2,119,26,TextMLP,non-IID,AGNEWS,0.29,0.89,0.85,0.17,5.37,0.62,0.54,0.68
Client 23,10,3.31,0.25,16.35,1.54,,2,123,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,10,3.12,0.19,15.26,1.30,22.65,2,121,26,TextMLP,non-IID,AGNEWS,0.27,0.90,0.86,0.16,5.42,0.63,0.55,0.64
Client 23,11,3.57,0.25,15.86,1.42,,2,122,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,11,3.67,0.19,17.35,1.48,24.09,2,122,25,TextMLP,non-IID,AGNEWS,0.26,0.90,0.87,0.16,5.74,0.65,0.56,0.57
Client 23,12,4.03,0.23,16.26,1.51,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,12,4.21,0.19,18.02,1.63,27.86,2,123,26,TextMLP,non-IID,AGNEWS,0.27,0.90,0.87,0.16,5.89,0.65,0.57,0.54
Client 23,13,4.63,0.23,20.40,1.84,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,13,4.38,0.20,21.55,1.72,28.41,2,123,26,TextMLP,non-IID,AGNEWS,0.27,0.90,0.86,0.17,6.26,0.61,0.53,0.69
Client 23,14,4.40,0.20,20.13,1.76,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,14,4.51,0.20,20.02,1.93,26.41,2,125,26,TextMLP,non-IID,AGNEWS,0.26,0.90,0.87,0.15,6.45,0.65,0.56,0.58
Client 23,15,4.84,0.25,22.85,1.96,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
