Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.31,0.38,0.0,0.21,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,0.33,0.3,0.0,0.22,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,1,0.33,0.4,0.0,0.23,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,1,0.32,0.42,0.0,0.23,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,1,0.33,0.31,0.0,0.23,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,1,0.33,0.2,0.0,0.23,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 7,1,0.34,0.27,0.0,0.23,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 8,1,0.34,0.49,0.0,0.23,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 9,1,0.32,0.4,0.0,0.23,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 10,1,0.32,0.42,0.0,0.22,18.88,1,100,19,TextMLP,non-IID,AGNEWS,0.5,0.7935,0.3539,0.2993,3.12,0.2507,0.1017,1.2977
Client 1,2,0.68,0.21,0.0,0.34,,2,106,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,0.74,0.17,0.0,0.4,,2,107,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,2,0.62,0.22,0.0,0.34,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,2,0.64,0.25,0.0,0.36,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,2,0.64,0.27,0.0,0.35,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,2,0.63,0.34,0.0,0.35,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 7,2,0.82,0.45,0.0,0.45,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 8,2,0.65,0.37,0.0,0.36,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 9,2,0.69,0.29,0.0,0.36,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 10,2,0.59,0.4,0.0,0.32,20.09,1,100,24,TextMLP,non-IID,AGNEWS,0.63,0.7324,0.2786,0.4314,3.28,0.25,0.1,1.25
Client 1,3,1.7,0.14,0.0,0.46,,2,132,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,1.2,0.14,10.95,0.45,,2,138,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,3,1.18,0.14,11.52,0.44,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,3,1.12,0.14,11.48,0.45,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,3,1.19,0.14,11.78,0.45,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,3,1.02,0.14,14.34,0.4,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 7,3,0.97,0.14,13.78,0.41,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 8,3,1.02,0.14,14.23,0.42,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 9,3,1.01,0.14,14.93,0.41,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 10,3,1.7,0.14,0.0,0.5,35.13,1,100,24,TextMLP,non-IID,AGNEWS,0.72,0.6987,0.6724,0.4183,3.65,0.3559,0.237,0.9966
