Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.35,0.23,0.0,0.23,,2,104,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,0.31,0.42,0.0,0.21,18.25,2,104,19,TextMLP,non-IID,AGNEWS,0.58,0.7609,0.3648,0.2391,2.9,0.25,0.1,1.0
Client 23,2,0.85,0.14,0.0,0.31,,2,124,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,0.64,0.14,0.0,0.29,26.15,2,128,24,TextMLP,non-IID,AGNEWS,0.77,0.6512,0.5882,0.3847,2.96,0.2984,0.1646,0.9456
Client 23,3,1.08,0.14,0.0,0.4,,2,127,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,1.01,0.14,0.0,0.4,25.47,2,123,25,TextMLP,non-IID,AGNEWS,0.79,0.6419,0.6315,0.4932,3.45,0.3614,0.241,1.0414
Client 23,4,1.86,0.14,0.0,0.56,,2,133,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,1.39,0.14,0.0,0.51,30.28,2,135,25,TextMLP,non-IID,AGNEWS,0.81,0.6018,0.5745,0.5266,3.99,0.3784,0.3076,1.1732
Client 23,5,1.65,0.14,0.0,0.59,,2,136,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,1.6,0.14,0.0,0.57,30.1,2,131,25,TextMLP,non-IID,AGNEWS,0.68,0.6846,0.6699,0.4062,4.91,0.487,0.4177,0.8756
Client 23,6,2.11,0.14,11.92,0.74,,2,141,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,2.14,0.14,0.0,0.75,32.14,2,130,25,TextMLP,non-IID,AGNEWS,0.49,0.7738,0.7612,0.2926,5.9,0.5618,0.4872,0.7455
Client 23,7,2.96,0.14,12.4,0.85,,2,142,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,7,2.42,0.14,0.0,0.81,33.61,2,133,25,TextMLP,non-IID,AGNEWS,0.43,0.8077,0.8033,0.2503,6.3,0.6162,0.5322,0.638
Client 23,8,5.06,0.14,16.87,1.41,,2,150,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,8,5.94,0.14,0.0,1.71,42.0,2,141,25,TextMLP,non-IID,AGNEWS,0.39,0.8257,0.8193,0.2233,6.32,0.6406,0.553,0.5668
Client 23,9,3.57,0.14,21.27,1.22,,2,144,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,9,3.4,0.14,15.3,1.12,49.88,2,133,25,TextMLP,non-IID,AGNEWS,0.37,0.8307,0.8301,0.2174,6.25,0.6454,0.5596,0.5397
Client 23,10,3.53,0.14,15.25,1.16,,2,146,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,10,3.47,0.14,0.0,1.12,39.64,2,139,25,TextMLP,non-IID,AGNEWS,0.36,0.8232,0.8204,0.2209,6.05,0.6597,0.5726,0.4888
Client 23,11,3.95,0.14,16.99,1.28,,2,148,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,11,3.79,0.14,0.0,1.17,41.02,2,138,26,TextMLP,non-IID,AGNEWS,0.35,0.839,0.8361,0.2056,5.92,0.6597,0.5717,0.5068
Client 23,12,4.22,0.14,15.27,1.38,,2,148,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,12,4.27,0.14,10.82,1.32,38.96,2,140,27,TextMLP,non-IID,AGNEWS,0.33,0.8651,0.8627,0.1871,5.96,0.6427,0.5589,0.5539
