Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.09,0.0,4.77,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,1.1,0.0,4.31,24.69,2,108,21,CNN 16k,IID,CIFAR-10,2.2,0.1936,0.1311,2.9568,2.21,0.1848,0.126,2.9834
Client 1,2,2.13,0.0,5.18,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,2.07,0.0,5.27,27.58,2,109,20,CNN 16k,IID,CIFAR-10,2.02,0.2761,0.2378,2.7525,2.04,0.2666,0.229,2.8186
Client 1,3,3.15,0.0,8.02,,2,111,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,3.17,0.0,6.34,32.18,2,111,20,CNN 16k,IID,CIFAR-10,1.88,0.3253,0.2972,2.5341,1.9,0.3156,0.2866,2.5587
Client 1,4,4.71,0.0,7.98,,2,113,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,4.24,0.0,7.57,34.18,2,112,20,CNN 16k,IID,CIFAR-10,1.75,0.3644,0.3489,2.3749,1.77,0.3631,0.3465,2.3774
Client 1,5,5.92,0.0,8.29,,2,113,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,5.28,0.0,8.11,39.73,2,113,20,CNN 16k,IID,CIFAR-10,1.66,0.3913,0.3812,2.2052,1.69,0.3827,0.3727,2.2342
Client 1,6,7.0,0.0,8.78,,2,114,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,6.56,0.0,8.87,41.08,2,114,20,CNN 16k,IID,CIFAR-10,1.58,0.4255,0.4164,2.1416,1.6,0.4168,0.4071,2.1753
Client 1,7,7.49,0.0,11.08,,2,114,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,7.17,0.0,10.68,46.85,2,114,20,CNN 16k,IID,CIFAR-10,1.54,0.4392,0.4262,2.0686,1.56,0.4274,0.414,2.1126
Client 1,8,8.92,0.0,11.76,,2,115,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,8,8.71,0.0,11.52,49.37,2,115,20,CNN 16k,IID,CIFAR-10,1.5,0.4497,0.445,2.0137,1.53,0.4424,0.4383,2.0265
Client 1,9,10.17,0.0,11.93,,2,116,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,9,10.06,0.0,12.42,52.01,2,116,20,CNN 16k,IID,CIFAR-10,1.45,0.4689,0.4614,2.0117,1.49,0.4557,0.4471,2.0356
Client 1,10,11.84,0.0,13.12,,2,117,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,10,11.59,0.0,13.92,56.6,2,116,20,CNN 16k,IID,CIFAR-10,1.43,0.474,0.4659,1.992,1.48,0.4584,0.4503,2.0501
Client 1,11,11.86,0.0,14.9,,2,117,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,11,11.95,0.0,13.64,58.85,2,116,20,CNN 16k,IID,CIFAR-10,1.38,0.4975,0.4949,1.8389,1.44,0.4785,0.4752,1.9132
Client 1,12,13.58,0.0,16.29,,2,117,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,12,13.22,0.0,15.49,64.59,2,117,20,CNN 16k,IID,CIFAR-10,1.35,0.5042,0.4973,1.8289,1.42,0.4834,0.4764,1.8768
Client 1,13,13.9,0.0,17.76,,2,117,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,13,15.09,0.0,16.84,71.43,2,117,20,CNN 16k,IID,CIFAR-10,1.33,0.5142,0.51,1.7939,1.4,0.4927,0.488,1.8594
Client 1,14,15.21,0.0,16.5,,2,119,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,14,15.09,0.0,16.66,68.5,2,118,20,CNN 16k,IID,CIFAR-10,1.31,0.5298,0.5227,1.768,1.38,0.5069,0.4997,1.8411
Client 1,15,16.68,0.0,17.98,,2,118,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,15,17.01,0.0,17.56,72.69,2,118,20,CNN 16k,IID,CIFAR-10,1.29,0.5329,0.53,1.7504,1.36,0.508,0.505,1.8478
Client 1,16,17.5,0.0,18.8,,2,119,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,16,17.38,0.0,18.89,75.89,2,118,20,CNN 16k,IID,CIFAR-10,1.26,0.5454,0.5428,1.6932,1.34,0.515,0.5119,1.8184
Client 1,17,18.84,0.0,19.5,,2,119,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,17,18.9,0.0,19.04,78.59,2,118,20,CNN 16k,IID,CIFAR-10,1.25,0.5495,0.5465,1.6401,1.33,0.523,0.5195,1.737
Client 1,18,20.9,0.0,21.59,,2,119,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,18,20.0,0.0,21.52,84.7,2,119,20,CNN 16k,IID,CIFAR-10,1.24,0.5531,0.5469,1.6095,1.32,0.5255,0.5195,1.7171
Client 1,19,21.29,0.0,23.36,,2,119,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,19,20.16,0.0,22.46,89.96,2,119,20,CNN 16k,IID,CIFAR-10,1.22,0.5627,0.5609,1.5862,1.31,0.526,0.5238,1.7095
Client 1,20,22.27,0.0,23.57,,2,119,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,20,20.31,0.0,21.81,91.68,2,120,20,CNN 16k,IID,CIFAR-10,1.19,0.5738,0.5705,1.5599,1.28,0.5388,0.5349,1.6891
