Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.23,0.0,0.0,4.79,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,1.33,0.0,0.0,4.93,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,1.21,0.0,0.0,4.75,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,1.34,0.0,0.0,5.07,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,1.29,0.0,0.0,5.01,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,1.42,0.0,0.0,6.14,71.98,1,100,21,CNN 64k,non-IID,CIFAR10,1.27,0.5725,0.1223,1.8585,4.08,0.1227,0.035,3.1175
Client 1,2,2.44,0.0,0.0,6.43,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,2.62,0.0,0.0,6.48,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,2.46,0.0,0.0,6.33,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,3.14,0.0,0.0,6.64,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,2.53,0.0,0.0,6.43,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,2.81,0.0,0.0,7.72,78.5,1,100,20,CNN 64k,non-IID,CIFAR10,1.23,0.5879,0.1764,1.5525,3.65,0.1808,0.0772,3.0734
Client 1,3,3.8,0.0,0.0,7.88,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,4.49,0.0,0.0,7.49,,2,106,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,3.63,0.0,0.0,6.97,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,3.92,0.0,0.0,7.11,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,4.01,0.0,0.0,7.26,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,5.05,0.0,0.0,7.24,81.13,1,100,19,CNN 64k,non-IID,CIFAR10,1.25,0.5715,0.2191,1.6332,2.98,0.2101,0.1215,2.9727
