Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.35,0.3,0.0,5.41,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.31,0.43,0.0,5.74,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.39,0.39,0.0,5.47,75.07,2,104,21,CNN 64k,non-IID,CIFAR10,1.2,0.5789,0.1226,1.45,4.12,0.1171,0.0297,3.1239
Client 23,2,2.73,0.16,0.0,6.43,,2,104,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.61,0.24,0.0,6.27,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.63,0.25,0.0,6.21,78.5,2,105,20,CNN 64k,non-IID,CIFAR10,1.49,0.4588,0.1638,2.2194,3.37,0.1766,0.0881,2.8013
Client 23,3,4.39,0.27,0.0,7.46,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.76,0.18,0.0,6.98,,2,106,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,4.07,0.18,0.0,7.89,84.03,2,105,19,CNN 64k,non-IID,CIFAR10,1.26,0.5574,0.2569,1.6843,2.78,0.2409,0.1602,2.8139
Client 23,4,5.32,0.12,0.0,8.22,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,5.49,0.09,0.0,8.38,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,5.4,0.15,0.0,9.19,87.79,2,106,19,CNN 64k,non-IID,CIFAR10,1.42,0.4806,0.3647,1.6731,2.25,0.3344,0.2858,2.3852
Client 23,5,6.84,0.14,0.0,10.15,,2,107,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,6.98,0.11,0.0,9.44,,2,107,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,7.28,0.15,0.0,10.16,91.77,2,107,19,CNN 64k,non-IID,CIFAR10,1.34,0.5159,0.3612,1.729,2.4,0.3188,0.2593,2.5007
Client 23,6,8.24,0.15,0.0,11.58,,2,108,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,7.94,0.22,0.0,10.81,,2,108,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,8.79,0.11,0.0,10.88,96.8,2,108,19,CNN 64k,non-IID,CIFAR10,1.19,0.5636,0.407,1.3362,2.32,0.3571,0.3046,2.2227
Client 23,7,9.57,0.18,0.0,11.67,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,9.34,0.18,0.0,11.63,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,7,9.88,0.18,0.0,12.59,96.06,2,109,20,CNN 64k,non-IID,CIFAR10,1.05,0.6353,0.3902,1.3303,2.33,0.3413,0.266,2.2239
Client 23,8,11.66,0.13,0.0,13.35,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,8,10.79,0.37,0.0,12.95,,2,109,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,8,10.79,0.3,0.0,12.69,102.25,2,109,20,CNN 64k,non-IID,CIFAR10,0.96,0.6446,0.409,1.0817,2.46,0.3416,0.2802,2.2674
Client 23,9,11.92,0.18,0.0,13.83,,2,110,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,9,11.83,0.16,0.0,13.57,,2,110,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,9,12.8,0.11,0.0,14.79,108.75,2,110,19,CNN 64k,non-IID,CIFAR10,0.97,0.6616,0.4913,1.2241,2.12,0.4209,0.3543,2.3475
Client 23,10,13.16,0.11,0.0,15.57,,2,110,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,10,13.47,0.23,0.0,15.04,,2,110,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,10,14.0,0.11,0.0,15.37,110.31,2,110,20,CNN 64k,non-IID,CIFAR10,0.95,0.6668,0.5178,1.1401,2.16,0.427,0.371,2.1016
