Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.44,0.0,0.0,5.49,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.26,0.0,0.0,4.82,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.28,0.0,0.0,5.6,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.61,0.0,0.0,5.3,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.38,0.0,0.0,5.21,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.37,0.0,0.0,5.05,74.11,1,100,21,CNN 64k,non-IID,CIFAR10,1.35,0.5264,0.0895,1.7717,3.73,0.1009,0.0197,3.4215
Client 23,2,2.8,0.0,0.0,6.54,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.61,0.0,0.0,6.11,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.83,0.0,0.0,6.49,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,3.23,0.0,0.0,7.06,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.89,0.0,0.0,6.49,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.84,0.0,0.0,6.73,77.81,1,100,20,CNN 64k,non-IID,CIFAR10,1.28,0.5333,0.1543,1.64,3.98,0.1499,0.0625,3.1425
