Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.19,0.3,0.0,5.16,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,1.25,0.27,0.0,4.84,,2,103,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,1.57,0.41,0.0,5.02,71.11,2,103,21,CNN 16k,non-IID,CIFAR-10,1.44,0.4591,0.0862,2.6045,3.3,0.1007,0.0196,3.4968
Client 1,2,2.3,0.24,0.0,5.68,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,2.38,0.37,0.0,5.83,,2,104,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,2.4,0.19,0.0,5.89,72.72,2,104,20,CNN 16k,non-IID,CIFAR-10,1.47,0.4393,0.1069,2.0868,3.23,0.1258,0.0413,3.3166
Client 1,3,3.49,0.14,0.0,6.8,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,3.51,0.26,0.0,7.33,,2,105,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,3.38,0.29,0.0,6.57,75.41,2,105,19,CNN 16k,non-IID,CIFAR-10,1.44,0.4784,0.1679,2.1904,3.13,0.1676,0.0921,3.0682
Client 1,4,5.22,0.13,0.0,8.65,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,4.18,0.18,0.0,7.92,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,4.49,0.27,0.0,7.89,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,1.16,0.23,0.0,4.5,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,1.27,0.33,0.0,4.78,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,1.26,0.31,0.0,4.72,83.21,1,100,19,CNN 16k,non-IID,CIFAR-10,1.43,0.4791,0.2262,1.9562,2.98,0.2209,0.1323,2.9479
Client 1,5,6.02,0.28,0.0,9.53,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,6.01,0.23,0.0,9.16,,2,106,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,6.23,0.18,0.0,9.67,88.43,2,106,19,CNN 16k,non-IID,CIFAR-10,1.2,0.6001,0.245,1.6565,2.62,0.2327,0.1423,2.9629
Client 1,6,7.42,0.13,0.0,9.77,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,6.94,0.19,0.0,9.48,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,6.96,0.14,0.0,10.13,90.68,2,107,19,CNN 16k,non-IID,CIFAR-10,1.36,0.4958,0.3029,1.8742,2.45,0.2903,0.214,2.5814
Client 1,7,8.3,0.18,0.0,10.85,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,8.09,0.24,0.0,10.68,,2,107,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,8.22,0.15,0.0,11.93,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,2.5,0.31,0.0,6.09,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,7,2.45,0.31,0.0,6.03,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,7,2.39,0.26,0.0,5.92,94.64,1,100,18,CNN 16k,non-IID,CIFAR-10,1.21,0.5773,0.2911,1.5683,2.5,0.2589,0.1865,2.774
Client 1,8,9.42,0.18,0.0,12.5,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,9.38,0.1,0.0,11.26,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,8,9.48,0.12,0.0,12.89,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,8,3.77,0.27,0.0,7.37,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,8,3.74,0.27,0.0,6.84,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,8,3.82,0.3,0.0,6.84,100.53,1,100,19,CNN 16k,non-IID,CIFAR-10,1.21,0.563,0.3749,1.5491,2.33,0.3347,0.2744,2.4669
