Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.39,0.0,0.0,5.17,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.42,0.0,0.0,5.38,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.3,0.0,0.0,5.52,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.53,0.0,0.0,5.42,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.51,0.0,0.0,5.41,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.47,0.0,0.0,5.41,73.62,1,100,21,CNN 64k,non-IID,CIFAR10,1.35,0.5282,0.1097,1.6507,3.76,0.1171,0.0319,3.3448
Client 23,2,2.72,0.29,0.0,6.23,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.74,0.24,0.0,6.63,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.78,0.31,0.0,6.43,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,2.97,0.3,0.0,6.57,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.94,0.29,0.0,6.57,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.94,0.25,0.0,7.17,80.37,1,100,20,CNN 64k,non-IID,CIFAR10,1.26,0.5567,0.1865,1.6774,3.58,0.1851,0.0827,3.0077
Client 23,3,4.03,0.3,0.0,7.73,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,4.26,0.18,0.0,7.78,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,3.97,0.23,0.0,7.6,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,4.31,0.22,0.0,7.62,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,4.35,0.19,0.0,7.81,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,4.26,0.41,0.0,7.81,80.39,1,100,19,CNN 64k,non-IID,CIFAR10,1.17,0.5801,0.2437,1.782,3.05,0.2319,0.1383,2.9356
