Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.46,0.14,6.14,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,1.42,0.08,5.98,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,1.56,0.21,6.41,82.69,2,103,21,CNN 16k,non-IID,CIFAR-10,1.91,0.2746,0.0637,3.3357,2.8,0.1091,0.0295,4.1803
Client 1,2,2.6,0.09,6.24,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,2.47,0.11,6.26,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,2.58,0.09,6.64,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,1.32,0.11,5.39,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,1.55,0.16,5.39,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,1.41,0.14,5.87,86.42,1,100,20,CNN 16k,non-IID,CIFAR-10,1.84,0.3317,0.1537,2.2012,2.6,0.1839,0.0993,2.9116
Client 1,3,4.06,0.18,8.61,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,4.27,0.12,8.65,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,3.77,0.09,8.14,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,3.07,0.18,8.32,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,2.81,0.19,7.8,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,3.21,0.22,7.97,90.77,1,100,20,CNN 16k,non-IID,CIFAR-10,1.61,0.4016,0.2423,1.991,2.78,0.2318,0.1638,2.793
Client 1,4,5.03,0.09,8.91,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,5.9,0.13,8.83,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,5.03,0.08,9.19,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,4.5,0.16,8.85,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,3.81,0.15,8.17,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,4.56,0.13,8.5,96.59,1,100,20,CNN 16k,non-IID,CIFAR-10,1.54,0.4524,0.2699,2.0067,2.46,0.2667,0.1896,2.7276
Client 1,5,6.99,0.16,9.71,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,7.52,0.28,9.03,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,7.25,0.1,9.58,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,6.19,0.48,9.21,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,6.66,0.14,8.51,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,5.37,0.13,9.78,100.2,1,100,20,CNN 16k,non-IID,CIFAR-10,1.26,0.5481,0.2743,1.6888,2.69,0.2571,0.1712,2.8947
Client 1,6,8.29,0.16,10.6,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,8.29,0.08,10.62,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,8.74,0.17,10.16,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,7.71,0.26,9.71,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,6,8.26,0.1,9.56,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,6,8.53,0.1,11.4,104.41,1,100,20,CNN 16k,non-IID,CIFAR-10,1.35,0.5142,0.3457,1.7269,2.34,0.3211,0.2477,2.5542
Client 1,7,10.96,0.15,11.8,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,11.21,0.11,11.53,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,11.6,0.18,11.26,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,9.27,0.11,11.2,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,7,10.14,0.09,10.23,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,7,8.86,0.16,11.43,108.11,1,100,20,CNN 16k,non-IID,CIFAR-10,1.33,0.5202,0.3694,1.8098,2.29,0.3293,0.2678,2.4809
Client 1,8,11.65,0.15,12.78,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,12.28,0.16,12.68,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,8,11.51,0.12,12.1,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,8,11.76,0.1,12.52,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,8,13.23,0.14,11.73,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,8,10.74,0.18,13.77,115.37,1,100,20,CNN 16k,non-IID,CIFAR-10,1.26,0.5327,0.3927,1.7354,2.23,0.3466,0.2869,2.542
Client 1,9,11.22,0.15,14.67,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,9,12.39,0.2,14.85,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,9,12.46,0.07,13.5,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,9,12.49,0.17,14.1,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,9,12.13,0.28,12.84,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,9,11.2,0.16,14.6,123.32,1,100,20,CNN 16k,non-IID,CIFAR-10,1.21,0.5568,0.3716,1.6433,2.37,0.3327,0.2654,2.5173
Client 1,10,13.55,0.15,18.72,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,10,13.38,0.15,17.51,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,10,13.08,0.23,17.77,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,10,13.04,0.12,17.7,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,10,12.31,0.18,16.74,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,10,12.96,0.19,18.0,125.95,1,100,20,CNN 16k,non-IID,CIFAR-10,1.11,0.6075,0.3976,1.2721,2.25,0.3502,0.2869,2.412
Client 1,11,15.03,0.14,16.16,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,11,16.67,0.09,18.7,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,11,16.97,0.17,16.19,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,11,17.06,0.11,17.09,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,11,16.27,0.15,17.44,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,11,19.09,0.13,16.1,130.23,1,100,20,CNN 16k,non-IID,CIFAR-10,1.13,0.5963,0.4411,1.5816,2.18,0.3833,0.3214,2.3224
Client 1,12,15.73,0.08,18.33,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,12,17.27,0.09,17.73,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,12,16.41,0.1,16.95,131.24,2,109,19,CNN 16k,non-IID,CIFAR-10,1.23,0.5501,0.4785,1.7022,2.08,0.4129,0.3726,2.0972
Client 1,13,16.36,0.13,21.85,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,13,17.67,0.16,18.86,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,13,17.47,0.25,18.74,133.27,2,109,19,CNN 16k,non-IID,CIFAR-10,0.96,0.6761,0.4663,1.1741,2.21,0.3951,0.3307,2.2496
Client 1,14,18.09,0.09,22.91,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,14,18.86,0.2,21.43,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,14,18.2,0.08,21.62,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,14,15.99,0.21,20.32,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,14,13.35,0.13,18.09,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,14,15.67,0.07,22.21,140.37,1,100,20,CNN 16k,non-IID,CIFAR-10,1.09,0.6092,0.4926,1.4422,2.09,0.4208,0.3726,2.1433
Client 1,15,19.43,0.31,21.61,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,15,17.83,0.16,21.62,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,15,17.77,0.16,22.16,140.64,2,110,19,CNN 16k,non-IID,CIFAR-10,0.86,0.7051,0.4668,1.2495,2.28,0.3828,0.3268,2.3205
Client 1,16,21.32,0.11,23.47,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,16,21.24,0.09,23.72,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,16,20.87,0.09,23.92,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
