Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.26,0.42,0.0,5.11,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,1.21,0.2,0.0,4.86,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,1.29,0.33,0.0,4.99,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,1.3,0.47,0.0,5.17,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,1.35,0.5,0.0,5.18,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,1.32,0.35,0.0,5.06,71.33,1,100,21,CNN 64k,non-IID,CIFAR10,1.25,0.5057,0.1078,2.1797,4.16,0.1072,0.0275,3.4464
Client 1,2,2.75,0.2,0.0,6.07,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,2.47,0.18,0.0,5.87,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,2.42,0.19,0.0,5.8,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,2.56,0.39,0.0,5.89,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,2.73,0.41,0.0,6.16,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,2.63,0.31,0.0,6.12,76.06,1,100,20,CNN 64k,non-IID,CIFAR10,1.29,0.5477,0.1716,1.8089,3.64,0.1747,0.0843,3.219
Client 1,3,3.97,0.2,0.0,7.43,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,3.76,0.17,0.0,7.41,,2,106,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,3.82,0.26,0.0,6.83,,2,106,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,3.91,0.28,0.0,7.18,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,4.07,0.27,0.0,7.3,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,3.84,0.35,0.0,6.99,80.08,1,100,18,CNN 64k,non-IID,CIFAR10,1.23,0.5545,0.2247,1.9352,3.05,0.2169,0.1371,3.0227
Client 1,4,5.02,0.18,0.0,8.49,,2,107,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,5.12,0.12,0.0,9.16,,2,107,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,4,5.3,0.23,0.0,8.82,,2,107,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
