Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.33,0.37,0.00,5.67,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,1.26,0.29,0.00,5.36,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,1.13,0.51,0.00,4.93,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,1.52,0.33,0.00,5.38,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,1.42,0.44,0.00,6.29,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,1.30,0.33,0.00,5.23,77.69,1,100,21,CNN 16k,non-IID,CIFAR-10,1.28,0.53,0.11,1.76,3.84,0.11,0.03,3.36
Client 1,2,2.57,0.25,0.00,6.91,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,2.76,0.25,0.00,6.28,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,2.58,0.35,0.00,6.46,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,2.71,0.49,0.00,6.51,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,2.64,0.32,0.00,6.38,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,2.56,0.32,0.00,6.24,79.04,1,100,20,CNN 16k,non-IID,CIFAR-10,1.32,0.53,0.12,1.68,3.75,0.13,0.04,3.26
Client 1,3,3.84,0.44,0.00,7.25,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,3.92,0.30,0.00,7.62,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,3.78,0.40,0.00,7.42,,2,105,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,4.20,0.27,0.00,7.47,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,3,4.00,0.31,0.00,7.50,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,3,3.85,0.29,0.00,7.26,83.62,1,100,19,CNN 16k,non-IID,CIFAR-10,1.18,0.60,0.14,1.64,3.62,0.14,0.06,3.16
Client 1,4,5.32,0.29,0.00,9.98,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,4,5.00,0.23,0.00,8.48,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,4,5.12,0.19,0.00,8.33,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,4,5.42,0.23,0.00,8.78,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,4,5.21,0.16,0.00,8.37,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,4,5.52,0.21,0.00,8.84,98.35,1,100,19,CNN 16k,non-IID,CIFAR-10,1.43,0.47,0.20,1.81,2.94,0.20,0.12,2.87
Client 1,5,6.63,0.33,0.00,9.92,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,5,6.22,0.35,0.00,9.42,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,5,6.30,0.25,0.00,9.53,,2,106,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,5,6.57,0.28,0.00,9.98,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,5,6.51,0.16,0.00,9.52,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,5,6.89,0.25,0.00,10.05,91.53,1,100,19,CNN 16k,non-IID,CIFAR-10,1.18,0.58,0.26,1.58,3.23,0.24,0.15,2.81
Client 1,6,7.82,0.14,0.00,10.76,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,6,8.20,0.19,0.00,10.64,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,6,7.29,0.12,0.00,10.19,,2,107,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,6,7.74,0.16,0.00,10.95,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,6,8.09,0.13,0.00,10.66,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,6,7.93,0.29,0.00,11.42,98.14,1,100,19,CNN 16k,non-IID,CIFAR-10,1.30,0.54,0.32,1.70,2.45,0.30,0.23,2.62
Client 1,7,8.95,0.27,0.00,11.84,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,7,9.16,0.14,0.00,11.74,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,7,9.17,0.25,0.00,11.81,,2,107,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,7,9.31,0.13,0.00,11.73,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,7,9.17,0.11,0.00,11.83,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,7,10.52,0.16,0.00,11.94,100.46,1,100,19,CNN 16k,non-IID,CIFAR-10,1.26,0.54,0.35,1.55,2.54,0.32,0.24,2.61
Client 1,8,10.03,0.16,0.00,13.54,,2,107,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,8,9.69,0.08,0.00,12.36,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,8,10.39,0.19,0.00,12.43,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,8,10.75,0.17,0.00,12.52,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,8,10.50,0.13,0.00,13.06,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,8,10.85,0.20,0.00,13.04,105.84,1,100,19,CNN 16k,non-IID,CIFAR-10,1.26,0.54,0.36,1.53,2.38,0.32,0.26,2.54
Client 1,9,11.42,0.12,0.00,14.36,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,9,11.13,0.16,0.00,13.12,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,9,11.28,0.23,0.00,13.12,,2,108,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,9,12.15,0.10,0.00,14.54,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,9,11.95,0.20,0.00,13.76,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,9,12.45,0.15,0.00,14.51,109.70,1,100,19,CNN 16k,non-IID,CIFAR-10,1.20,0.56,0.37,1.45,2.36,0.32,0.26,2.44
Client 1,10,12.46,0.17,0.00,14.49,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,10,12.80,0.19,0.00,14.91,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,10,11.98,0.11,0.00,14.89,,2,109,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,10,12.73,0.14,0.00,14.48,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,10,12.66,0.15,0.00,14.25,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,10,13.40,0.19,0.00,15.70,113.04,1,100,19,CNN 16k,non-IID,CIFAR-10,1.15,0.59,0.42,1.40,2.21,0.36,0.31,2.39
Client 1,11,14.02,0.22,0.00,16.71,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,11,13.96,0.12,0.00,15.96,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,11,13.36,0.29,0.00,15.68,,2,109,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,11,14.62,0.13,0.00,16.96,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,11,15.05,0.12,0.00,16.97,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,11,15.07,0.12,0.00,18.31,119.98,1,100,19,CNN 16k,non-IID,CIFAR-10,1.07,0.63,0.43,1.37,2.20,0.37,0.32,2.29
Client 1,12,14.88,0.14,0.00,16.93,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,12,14.73,0.08,0.00,16.98,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,12,14.92,0.10,0.00,16.84,,2,109,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,12,15.82,0.20,0.00,17.02,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,12,15.32,0.19,0.00,16.97,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,12,17.24,0.09,0.00,19.89,124.22,1,100,19,CNN 16k,non-IID,CIFAR-10,1.16,0.57,0.46,1.48,2.16,0.40,0.35,2.20
Client 1,13,17.57,0.07,0.00,18.22,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,13,15.48,0.12,0.00,17.62,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,13,16.05,0.17,0.00,17.63,,2,110,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,13,17.59,0.21,0.00,18.79,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,13,16.67,0.15,0.00,18.74,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,13,17.72,0.14,0.00,18.93,124.98,1,100,19,CNN 16k,non-IID,CIFAR-10,1.06,0.62,0.49,1.51,2.08,0.42,0.38,2.06
Client 1,14,18.86,0.15,0.00,20.00,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,14,17.06,0.16,0.00,18.33,,2,110,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,14,17.68,0.37,0.00,19.98,,2,110,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,14,18.89,0.22,0.00,20.16,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
