Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.08,0.3,0.0,4.65,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.11,0.28,0.0,4.53,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.07,0.29,0.0,4.37,66.48,2,103,21,CNN 16k,non-IID,CIFAR10,1.57,0.4128,0.0981,2.2227,3.45,0.1143,0.03,3.0261
Client 23,2,2.37,0.26,0.0,5.36,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.38,0.23,0.0,5.49,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.17,0.24,0.0,5.29,69.92,2,104,20,CNN 16k,non-IID,CIFAR10,1.48,0.4465,0.1594,2.1256,3.41,0.1604,0.0787,3.2258
Client 23,3,1.74,0.08,0.0,5.37,,2,112,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,1.68,0.08,0.0,4.6,,2,112,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,3,1.84,0.1,0.0,4.7,,2,112,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,3,0.73,0.24,0.0,4.07,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,3,0.76,0.11,0.0,4.03,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,3,0.81,0.2,0.0,4.31,72.62,1,100,17,CNN 16k,non-IID,CIFAR10,1.35,0.4564,0.2589,2.0965,3.31,0.2006,0.1257,2.909
Client 23,4,4.85,0.16,0.0,7.78,,2,106,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,4,4.41,0.12,0.0,8.04,,2,106,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,4,4.3,0.18,0.0,7.13,78.33,2,106,25,CNN 16k,non-IID,CIFAR10,1.41,0.5021,0.2801,1.6137,2.54,0.2568,0.1846,2.7854
Client 23,5,3.09,0.1,14.3,4.71,,2,116,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,5,2.84,0.09,11.69,5.26,,2,114,23,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,5,2.82,0.07,0.0,4.87,,2,113,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,5,1.34,0.15,0.0,4.27,,1,100,18,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,5,1.52,0.11,0.0,4.39,,1,100,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,5,1.43,0.14,0.0,4.51,82.63,1,100,18,CNN 16k,non-IID,CIFAR10,1.38,0.4572,0.3046,2.0572,2.72,0.2676,0.2034,2.5676
Client 23,6,8.32,0.3,0.0,9.49,,2,107,27,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,6,7.09,0.14,0.0,9.5,,2,107,26,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,6,7.09,0.21,0.0,9.67,85.58,2,107,26,CNN 16k,non-IID,CIFAR10,1.21,0.5755,0.2928,1.1814,2.53,0.2611,0.1973,2.5582
Client 23,7,3.86,0.07,14.91,5.59,,2,116,26,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,7,4.0,0.08,15.35,5.25,,2,117,26,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,7,3.38,0.07,11.73,5.02,,2,114,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,7,2.29,0.11,12.56,4.68,,1,100,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,7,2.2,0.11,11.89,4.71,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,7,2.24,0.1,12.86,4.87,86.41,1,100,20,CNN 16k,non-IID,CIFAR10,1.32,0.4865,0.3535,1.8644,2.56,0.3036,0.2326,2.573
Client 23,8,10.27,0.15,0.0,12.25,,2,108,29,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,8,9.6,0.09,0.0,13.28,,2,108,29,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,8,9.44,0.1,0.0,11.57,,2,108,27,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,8,4.8,0.27,0.0,7.85,,1,100,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,8,4.86,0.15,0.0,7.99,,1,100,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,8,5.28,0.15,0.0,7.69,95.98,1,100,24,CNN 16k,non-IID,CIFAR10,1.28,0.5333,0.3889,1.8747,2.18,0.3443,0.2938,2.4934
Client 23,9,4.71,0.07,17.34,5.52,,2,117,27,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,9,3.77,0.07,17.94,5.08,,2,116,30,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,9,4.95,0.06,14.34,5.6,89.83,2,117,26,CNN 16k,non-IID,CIFAR10,1.38,0.465,0.4046,2.1964,2.25,0.3578,0.3244,2.348
Client 23,10,12.33,0.28,0.0,13.35,,2,109,30,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,10,11.68,0.15,0.0,14.15,,2,109,31,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,10,12.37,0.09,0.0,13.89,,2,109,29,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,10,5.79,0.13,0.0,8.63,,1,100,27,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,10,5.69,0.25,0.0,8.56,,1,100,26,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,10,5.96,0.25,0.0,8.77,102.15,1,100,26,CNN 16k,non-IID,CIFAR10,1.1,0.6106,0.421,1.2647,2.25,0.3601,0.3071,2.4591
Client 23,11,5.43,0.06,21.69,5.47,,2,120,33,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,11,5.1,0.07,18.54,5.6,,2,118,31,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,11,5.54,0.07,18.87,5.95,96.42,2,117,30,CNN 16k,non-IID,CIFAR10,1.29,0.5032,0.4304,1.7615,2.22,0.3954,0.3423,2.2231
Client 23,12,5.44,0.06,28.0,6.54,,2,121,36,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,12,5.59,0.06,23.55,5.8,,2,119,33,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,12,6.21,0.06,20.42,6.21,97.95,2,119,32,CNN 16k,non-IID,CIFAR10,1.24,0.5167,0.4392,1.9865,2.27,0.4032,0.3438,2.2212
Client 23,13,16.17,0.15,0.0,18.61,,2,110,37,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,13,15.05,0.16,0.0,17.41,,2,111,35,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,13,15.28,0.21,0.0,17.14,,2,110,34,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,13,8.48,0.18,0.0,11.46,,1,100,29,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,13,7.54,0.15,0.0,10.16,,1,100,29,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,13,7.18,0.23,0.0,9.76,114.74,1,100,29,CNN 16k,non-IID,CIFAR10,1.01,0.6368,0.4761,1.342,2.09,0.394,0.342,2.1706
Client 23,14,6.81,0.06,23.82,6.66,,2,120,36,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,14,6.03,0.06,21.91,6.36,,2,119,34,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,14,6.06,0.06,20.26,6.31,99.44,2,118,34,CNN 16k,non-IID,CIFAR10,1.12,0.5564,0.5251,1.4827,2.1,0.4415,0.3981,2.0673
Client 23,15,6.26,0.06,28.38,6.41,,2,119,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,15,6.17,0.05,22.16,6.1,,2,119,35,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,15,6.54,0.06,25.47,6.15,110.97,2,121,38,CNN 16k,non-IID,CIFAR10,1.26,0.4937,0.4619,1.7868,2.1,0.4476,0.419,2.0232
Client 23,16,7.12,0.05,22.1,6.87,,2,120,37,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,16,6.59,0.05,23.25,6.63,,2,119,37,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,16,7.63,0.05,32.88,7.59,,2,123,44,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,16,4.88,0.09,20.63,5.98,,1,100,29,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,16,4.74,0.07,17.52,6.0,,1,100,29,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,16,5.08,0.08,19.34,6.32,112.11,1,100,28,CNN 16k,non-IID,CIFAR10,1.17,0.5446,0.4873,1.5668,2.24,0.4207,0.3708,2.0894
Client 23,17,20.88,0.18,0.0,22.63,,2,112,40,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,17,18.84,0.17,0.0,19.94,,2,112,39,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,17,21.76,0.16,0.0,23.91,132.9,2,111,41,CNN 16k,non-IID,CIFAR10,0.88,0.6914,0.523,1.2624,2.16,0.4282,0.3788,2.0394
Client 23,18,22.45,0.15,0.0,22.16,,2,111,40,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,18,22.8,0.25,0.0,23.18,,2,112,38,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,18,24.3,0.11,0.0,22.38,136.88,2,112,41,CNN 16k,non-IID,CIFAR10,0.94,0.6615,0.5138,1.1491,2.11,0.4163,0.3717,2.1199
