Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.23,0.15,5.0,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,1.14,0.39,4.8,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,1.27,0.19,5.13,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,1.4,0.17,5.28,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,1.18,0.18,4.93,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,1.31,0.28,5.19,72.61,1,100,21,CNN 16k,non-IID,CIFAR-10,1.68,0.3636,0.0781,1.7577,2.86,0.1112,0.0292,2.8754
Client 23,2,1.08,0.06,4.38,,2,111,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,2.4,0.08,5.91,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,1.21,0.06,4.34,,2,108,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,1.29,0.06,4.67,,1,100,17,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,1.63,0.12,5.04,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,1.25,0.06,4.65,87.92,1,100,18,CNN 16k,non-IID,CIFAR-10,1.69,0.365,0.2355,2.2495,2.8,0.2024,0.1263,2.8057
Client 23,3,2.13,0.1,4.66,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,1.64,0.06,4.84,,2,108,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,1.91,0.08,4.77,,2,112,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,1.87,0.06,4.83,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,3.9,0.1,7.29,,1,100,24,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,1.81,0.06,5.67,106.76,1,100,21,CNN 16k,non-IID,CIFAR-10,1.53,0.4057,0.3002,2.0922,2.86,0.2478,0.1734,2.7375
Client 23,4,4.93,0.18,8.43,,2,106,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,2.58,0.12,5.07,,2,122,23,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,2.4,0.06,4.99,,2,119,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,3.17,0.11,5.74,,1,100,23,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,5.41,0.09,8.73,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,3.03,0.08,5.56,106.81,1,100,22,CNN 16k,non-IID,CIFAR-10,1.5,0.4269,0.2812,1.8191,2.61,0.2487,0.1834,2.7308
Client 23,5,3.71,0.1,5.48,,2,122,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,5,2.35,0.06,5.0,,2,110,23,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,5,3.05,0.07,5.24,,2,115,24,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,5,4.05,0.11,6.09,,1,100,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,5,3.6,0.06,5.84,,1,100,23,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,5,4.06,0.1,5.72,124.0,1,100,24,CNN 16k,non-IID,CIFAR-10,1.36,0.4763,0.353,1.8549,2.55,0.3007,0.2337,2.5197
Client 23,6,7.81,0.31,10.99,,2,107,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,6,2.82,0.09,5.62,,2,140,24,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,6,3.05,0.06,5.29,,2,120,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,6,3.81,0.08,5.86,,1,100,26,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,6,3.98,0.06,5.92,,1,100,25,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,6,8.55,0.14,11.98,121.75,1,100,28,CNN 16k,non-IID,CIFAR-10,1.32,0.5095,0.3634,1.6327,2.4,0.3229,0.2621,2.5177
Client 23,7,3.97,0.07,5.62,,2,118,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,7,3.99,0.09,5.63,,2,123,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,7,4.43,0.08,5.62,,2,125,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,7,4.62,0.06,6.41,,1,100,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,7,5.13,0.06,6.61,,1,100,28,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,7,5.09,0.09,6.39,127.58,1,100,30,CNN 16k,non-IID,CIFAR-10,1.24,0.5099,0.383,1.9155,2.46,0.3312,0.2595,2.6094
Client 23,8,4.2,0.06,6.19,,2,117,29,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,8,4.48,0.08,6.17,,2,128,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,8,4.59,0.08,6.37,,2,136,32,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,8,5.5,0.06,6.81,,1,100,31,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,8,5.95,0.09,6.6,,1,100,32,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,8,5.65,0.07,6.84,136.3,1,100,30,CNN 16k,non-IID,CIFAR-10,1.32,0.4877,0.3913,1.7777,2.26,0.3518,0.2973,2.3662
Client 23,9,6.35,0.07,7.05,,2,124,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,9,4.93,0.07,6.04,,2,135,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,9,5.75,0.07,6.13,,2,127,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,9,6.6,0.08,6.85,,1,100,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,9,5.57,0.06,6.61,,1,100,32,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,9,6.85,0.06,7.33,128.76,1,100,31,CNN 16k,non-IID,CIFAR-10,1.2,0.5277,0.4276,1.5679,2.3,0.3719,0.3038,2.3402
Client 23,10,4.85,0.07,5.92,,2,141,33,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,10,5.48,0.07,6.12,,2,136,38,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,10,5.31,0.06,6.48,,2,117,34,CNN 16k,non-IID,CIFAR-10,,,,,,,,
