Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.26,0.11,0.0,0.18,,2,104,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,1,0.31,0.3,0.0,0.19,,2,104,19,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,1,0.27,0.28,0.0,0.19,18.47,2,104,19,TextMLP,IID,AGNEWS,0.83,0.5826,0.2008,0.6501,2.49,0.25,0.1001,1.3332
Client 1,2,0.54,0.04,0.0,0.28,,2,106,24,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,2,0.58,0.2,0.0,0.29,,2,107,24,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,2,0.59,0.01,0.0,0.36,18.19,2,106,24,TextMLP,IID,AGNEWS,1.15,0.5007,0.1642,0.6562,1.66,0.2501,0.1002,0.9999
Client 1,3,0.85,0.05,0.0,0.37,,2,109,24,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,3,0.83,0.14,0.0,0.37,,2,109,24,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,3,0.84,0.05,0.0,0.37,17.86,2,108,24,TextMLP,IID,AGNEWS,1.1,0.5358,0.2587,0.6981,1.58,0.3075,0.1875,1.285
Client 1,4,1.11,0.03,0.0,0.47,,2,110,24,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,4,1.09,0.09,0.0,0.54,,2,109,24,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,4,1.05,0.05,0.0,0.44,21.24,2,110,24,TextMLP,IID,AGNEWS,0.96,0.632,0.4706,0.6119,1.27,0.4808,0.4075,0.9342
Client 1,5,1.32,0.04,0.0,0.57,,2,111,25,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,5,1.49,0.09,0.0,0.55,,2,111,25,TextMLP,IID,AGNEWS,,,,,,,,
Client 3,5,1.34,0.03,0.0,0.59,20.43,2,112,25,TextMLP,IID,AGNEWS,0.72,0.7297,0.6158,0.4465,1.05,0.595,0.5533,0.6525
Client 1,6,1.6,0.01,0.0,0.66,,2,113,25,TextMLP,IID,AGNEWS,,,,,,,,
Client 2,6,1.66,0.0,0.0,0.67,,2,115,25,TextMLP,IID,AGNEWS,,,,,,,,
