Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.02,0.0,4.51,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,1.07,0.0,4.44,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,1.06,0.0,4.23,26.63,2,107,21,CNN 16k,IID,CIFAR-10,2.13,0.2225,0.1569,2.9289,2.14,0.2125,0.1474,2.9925
Client 1,2,2.24,0.0,5.99,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,2.16,0.0,5.32,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,2.44,0.0,5.75,29.43,2,109,20,CNN 16k,IID,CIFAR-10,1.95,0.2875,0.2452,2.6072,1.96,0.2863,0.2434,2.6347
Client 1,3,3.24,0.0,6.21,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,3.28,0.0,6.5,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,3.74,0.0,6.05,29.91,2,111,19,CNN 16k,IID,CIFAR-10,1.85,0.3299,0.3029,2.5676,1.87,0.3245,0.2951,2.559
Client 1,4,5.57,0.0,7.8,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,4.55,0.0,7.52,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,4.29,0.0,7.25,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,1.14,0.0,4.72,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,4,1.36,0.0,4.6,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,4,1.09,0.0,4.43,37.89,1,100,20,CNN 16k,IID,CIFAR-10,1.76,0.3655,0.3516,2.307,1.78,0.3523,0.3366,2.3247
Client 1,5,5.23,0.0,9.37,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,5.15,0.0,8.34,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,5.26,0.0,7.97,38.13,2,113,19,CNN 16k,IID,CIFAR-10,1.68,0.3904,0.3758,2.1827,1.69,0.3799,0.3636,2.2065
Client 1,6,7.43,0.0,9.55,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,7.29,0.0,8.89,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,6,6.61,0.0,9.07,41.82,2,114,19,CNN 16k,IID,CIFAR-10,1.61,0.4163,0.4093,2.1284,1.63,0.4102,0.4025,2.1462
Client 1,7,7.66,0.0,10.54,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,8.55,0.0,10.5,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,7,7.48,0.0,9.75,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,7,2.15,0.0,5.69,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,7,2.19,0.0,5.48,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,7,2.13,0.0,5.36,45.24,1,100,20,CNN 16k,IID,CIFAR-10,1.56,0.4367,0.4265,2.081,1.59,0.4251,0.414,2.1138
Client 1,8,9.1,0.0,11.39,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,8,9.6,0.0,11.12,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,8,8.99,0.0,11.69,51.78,2,115,19,CNN 16k,IID,CIFAR-10,1.51,0.4526,0.4429,2.0471,1.54,0.4406,0.4301,2.0824
Client 1,9,9.63,0.0,11.23,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,9,9.53,0.0,12.27,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,9,9.8,0.0,12.79,51.2,2,116,19,CNN 16k,IID,CIFAR-10,1.48,0.462,0.4547,1.9903,1.52,0.4484,0.441,2.0326
Client 1,10,10.27,0.0,13.86,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,10,12.26,0.0,12.79,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,10,11.16,0.0,13.77,56.32,2,116,19,CNN 16k,IID,CIFAR-10,1.43,0.4798,0.473,1.9033,1.48,0.4636,0.4558,1.9619
Client 1,11,12.38,0.0,13.86,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,11,11.57,0.0,13.07,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,11,11.66,0.0,14.93,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,11,3.29,0.0,6.46,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,11,3.19,0.0,6.74,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,11,3.42,0.0,7.26,59.55,1,100,20,CNN 16k,IID,CIFAR-10,1.39,0.497,0.4917,1.8324,1.46,0.4744,0.4683,1.9074
Client 1,12,13.11,0.0,14.36,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,12,13.15,0.0,15.06,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,12,13.04,0.0,15.82,63.57,2,117,19,CNN 16k,IID,CIFAR-10,1.37,0.5044,0.4985,1.8363,1.43,0.4853,0.4782,1.8938
Client 1,13,15.23,0.0,16.2,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,13,15.03,0.0,16.33,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,13,14.56,0.0,16.62,67.39,2,117,19,CNN 16k,IID,CIFAR-10,1.33,0.5189,0.5165,1.7465,1.4,0.4975,0.4952,1.8216
Client 1,14,15.34,0.0,16.15,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,14,14.57,0.0,17.2,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,14,15.53,0.0,16.22,67.46,2,118,19,CNN 16k,IID,CIFAR-10,1.32,0.5211,0.5146,1.7467,1.39,0.5007,0.4932,1.8106
Client 1,15,17.45,0.0,18.73,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,15,16.83,0.0,19.04,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,15,18.13,0.0,17.87,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,15,5.58,0.0,8.36,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,15,4.22,0.0,7.08,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,15,4.27,0.0,7.15,74.9,1,100,20,CNN 16k,IID,CIFAR-10,1.29,0.5342,0.53,1.6867,1.37,0.5078,0.5024,1.7779
Client 1,16,20.93,0.0,18.59,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,16,18.23,0.0,18.89,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,16,17.41,0.0,18.51,77.55,2,119,19,CNN 16k,IID,CIFAR-10,1.27,0.5446,0.5402,1.6401,1.34,0.523,0.5178,1.7187
Client 1,17,18.55,0.0,19.57,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,17,19.92,0.0,19.75,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,17,19.37,0.0,19.23,79.19,2,118,19,CNN 16k,IID,CIFAR-10,1.25,0.5517,0.5471,1.602,1.32,0.5299,0.5246,1.6893
Client 1,18,20.08,0.0,21.01,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,18,20.02,0.0,20.6,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,18,20.32,0.0,20.09,83.15,2,119,19,CNN 16k,IID,CIFAR-10,1.24,0.5576,0.551,1.5753,1.31,0.5341,0.5272,1.6734
Client 1,19,20.7,0.0,21.28,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,19,22.13,0.0,22.13,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,19,22.99,0.0,20.42,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,19,5.51,0.0,8.29,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,19,5.9,0.0,7.97,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,19,5.57,0.0,8.75,90.86,1,100,20,CNN 16k,IID,CIFAR-10,1.21,0.5666,0.5653,1.5442,1.31,0.5338,0.532,1.6812
Client 1,20,23.45,0.0,25.1,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,20,23.94,0.0,25.28,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,20,22.38,0.0,23.13,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,20,6.56,0.0,9.12,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,20,6.93,0.0,9.27,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,20,6.53,0.0,10.1,96.19,1,100,20,CNN 16k,IID,CIFAR-10,1.19,0.5763,0.5708,1.5233,1.29,0.5415,0.5355,1.6551
