Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.97,0.21,0.0,4.85,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,0.77,0.2,0.0,4.74,,2,107,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,0.83,0.15,0.0,4.7,,2,108,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,0.77,0.2,0.0,4.5,,2,107,16,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.31,0.09,0.0,5.46,,1,100,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,1.23,0.17,0.0,5.18,76.03,1,100,18,CNN 64k,non-IID,CIFAR10,1.38,0.4644,0.2551,1.9534,3.98,0.1657,0.088,2.9995
Client 23,2,1.87,0.09,0.0,5.57,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.0,0.13,0.0,5.34,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,1.94,0.09,0.0,6.29,,2,112,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,1.78,0.18,0.0,5.23,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,3.11,0.13,11.31,7.0,,1,100,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,2.24,0.16,11.31,5.67,85.71,1,100,19,CNN 64k,non-IID,CIFAR10,1.26,0.5211,0.2732,1.6795,3.36,0.2124,0.1235,2.8766
Client 23,3,3.42,0.12,12.09,5.86,,2,114,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.38,0.1,10.3,6.05,,2,113,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,3.3,0.11,11.82,6.52,,2,114,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,3.43,0.11,11.97,5.52,,2,115,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,4.62,0.09,14.5,6.5,,1,100,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,3.91,0.13,16.19,6.58,98.76,1,100,21,CNN 64k,non-IID,CIFAR10,1.26,0.5277,0.2977,1.9761,3.02,0.2486,0.1715,2.8698
Client 23,4,2.88,0.06,0.0,5.46,,2,112,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,3.3,0.07,13.01,7.23,,2,113,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,4.3,0.06,10.21,7.12,,2,114,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,3.96,0.08,12.65,6.03,,2,116,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,5.81,0.11,18.46,8.33,,1,100,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,5.44,0.08,15.47,6.63,101.8,1,100,23,CNN 64k,non-IID,CIFAR10,1.27,0.51,0.3812,1.8233,2.56,0.3126,0.2379,2.4564
Client 23,5,4.49,0.08,14.66,6.26,,2,115,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,4.72,0.07,10.58,7.29,,2,113,23,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,5.44,0.1,15.96,6.66,,2,117,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,4.19,0.06,0.0,6.17,,2,114,23,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,5.74,0.08,18.7,7.35,,1,100,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,6.1,0.11,19.82,7.61,105.65,1,100,26,CNN 64k,non-IID,CIFAR10,1.24,0.5165,0.4047,1.864,2.42,0.3546,0.2961,2.3435
Client 23,6,5.83,0.06,13.08,7.42,,2,116,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,5.91,0.09,16.46,7.25,,2,118,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,5.61,0.07,16.64,7.36,,2,117,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,5.8,0.06,14.38,8.51,,2,118,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,6,6.15,0.06,15.64,7.47,,1,100,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,6,7.23,0.08,18.69,7.32,104.17,1,100,26,CNN 64k,non-IID,CIFAR10,1.09,0.5824,0.479,1.5715,2.31,0.3821,0.3062,2.3364
Client 23,7,5.94,0.07,15.52,7.48,,2,117,27,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,5.93,0.09,22.73,6.78,,2,119,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,7,5.93,0.08,19.45,7.49,,2,118,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,7,6.46,0.08,19.29,6.95,,2,119,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,7,7.78,0.08,26.77,9.69,,1,100,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,7,7.46,0.09,26.66,7.92,118.72,1,100,27,CNN 64k,non-IID,CIFAR10,1.1,0.5662,0.4182,1.552,2.34,0.3751,0.3099,2.4814
Client 23,8,6.87,0.08,21.67,7.28,,2,120,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,8,7.44,0.07,18.95,6.99,,2,119,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,8,7.03,0.06,14.46,7.84,,2,116,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,8,7.85,0.08,22.63,7.11,,2,122,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,8,8.29,0.06,21.67,8.13,,1,100,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,8,9.07,0.08,29.75,8.21,119.43,1,100,28,CNN 64k,non-IID,CIFAR10,1.08,0.5841,0.4982,1.5094,2.17,0.4291,0.3795,2.1305
Client 23,9,8.27,0.07,19.9,7.63,,2,121,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,9,8.17,0.06,19.43,7.43,,2,119,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,9,7.31,0.07,22.96,7.87,,2,122,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,9,7.32,0.08,29.52,8.71,,2,122,33,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,9,10.02,0.07,25.18,8.89,,1,100,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,9,10.17,0.08,33.6,8.98,123.94,1,100,31,CNN 64k,non-IID,CIFAR10,1.06,0.5784,0.4759,1.4321,2.16,0.4345,0.3814,2.0724
