Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.34,0.14,0.0,0.21,,2,124,21,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,0.36,0.14,0.0,0.18,,2,122,20,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,1,0.23,0.31,0.0,0.16,,2,119,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,1,0.25,0.31,0.0,0.18,,2,117,20,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,1,0.22,0.31,0.0,0.16,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,1,0.33,0.14,0.0,0.2,24.63,1,100,21,TextMLP,non-IID,AGNEWS,0.69,0.6497,0.5827,0.4813,2.72,0.2615,0.1268,1.3778
Client 1,2,0.57,0.21,0.0,0.28,,2,106,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,0.57,0.17,0.0,0.29,,2,106,20,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,2,0.59,0.22,0.0,0.3,,2,107,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,2,0.63,0.25,0.0,0.31,,2,106,20,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,2,0.61,0.27,0.0,0.32,,1,100,20,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,2,0.6,0.34,0.0,0.32,20.07,1,100,21,TextMLP,non-IID,AGNEWS,0.76,0.6737,0.3317,0.5194,3.14,0.2794,0.1465,1.2222
Client 1,3,0.93,0.21,0.0,0.48,,2,107,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,0.84,0.32,0.0,0.43,,2,108,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,3,0.9,0.19,0.0,0.43,,2,108,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,3,0.92,0.27,0.0,0.45,,2,108,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,3,0.86,0.21,0.0,0.43,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,3,0.89,0.29,0.0,0.47,21.8,1,100,24,TextMLP,non-IID,AGNEWS,0.64,0.7664,0.4327,0.363,3.86,0.3368,0.205,1.1019
Client 1,4,1.38,0.3,0.0,0.64,,2,110,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,4,1.26,0.24,0.0,0.57,,2,110,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,4,1.31,0.19,0.0,0.59,,2,109,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,4,1.42,0.27,0.0,0.64,,2,110,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,4,1.29,0.21,0.0,0.62,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,4,1.3,0.29,0.0,0.61,25.26,1,100,25,TextMLP,non-IID,AGNEWS,0.5,0.811,0.517,0.2836,4.64,0.3929,0.2607,0.957
Client 1,5,1.66,0.29,0.0,0.7,,2,112,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,5,1.68,0.21,0.0,0.71,,2,113,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,5,1.64,0.29,0.0,0.73,,2,112,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,5,1.7,0.27,0.0,0.72,,2,113,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,5,1.68,0.22,0.0,0.74,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,5,1.77,0.21,0.0,0.77,21.44,1,100,25,TextMLP,non-IID,AGNEWS,0.43,0.8371,0.584,0.2463,5.52,0.4329,0.3095,0.8609
Client 1,6,2.1,0.25,0.0,0.97,,2,116,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,6,2.05,0.21,0.0,0.87,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,6,2.52,0.29,0.0,0.87,,2,117,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,6,2.05,0.22,0.0,0.82,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,6,2.51,0.22,0.0,0.89,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,6,2.28,0.19,0.0,0.96,22.81,1,100,25,TextMLP,non-IID,AGNEWS,0.41,0.8521,0.672,0.2177,5.9,0.4979,0.3864,0.7386
Client 1,7,2.3,0.25,0.0,0.96,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,7,2.27,0.19,0.0,0.98,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,7,2.37,0.29,0.0,0.98,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,7,2.36,0.23,0.0,0.95,,2,116,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,7,2.42,0.2,0.0,1.0,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,7,2.64,0.18,0.0,1.06,24.14,1,100,25,TextMLP,non-IID,AGNEWS,0.36,0.8698,0.7462,0.198,6.01,0.5455,0.4522,0.7034
Client 1,8,2.52,0.24,0.0,1.09,,2,117,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,8,2.6,0.18,0.0,1.13,,2,116,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,8,2.7,0.23,0.0,1.12,,2,117,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,8,2.54,0.25,0.0,1.08,,2,119,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,8,2.69,0.23,0.0,1.11,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,8,3.02,0.19,0.0,1.27,25.43,1,100,25,TextMLP,non-IID,AGNEWS,0.32,0.8814,0.8177,0.1797,5.84,0.594,0.5115,0.6724
