Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.32,0.14,13.11,0.18,,2,123,21,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,1,0.41,0.14,14.91,0.23,,2,121,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,1,0.25,0.31,9.98,0.17,,2,118,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,1,0.27,0.31,11.81,0.17,,2,117,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,1,0.29,0.31,6.40,0.24,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,1,0.35,0.14,8.24,0.20,25.01,1,100,21,TextMLP,non-IID,AGNEWS,0.70,0.64,0.57,0.49,2.80,0.26,0.12,1.32
Client 1,2,0.63,0.21,14.73,0.38,,2,107,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,2,0.75,0.17,11.82,0.40,,2,107,22,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,2,0.58,0.22,5.12,0.32,,2,106,23,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,2,0.60,0.25,6.56,0.31,,2,106,20,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,2,0.78,0.27,6.90,0.41,,1,100,20,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,2,0.62,0.34,9.81,0.34,20.24,1,100,22,TextMLP,non-IID,AGNEWS,0.77,0.64,0.27,0.59,3.30,0.25,0.11,1.24
Client 1,3,0.90,0.21,5.97,0.44,,2,108,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,3,1.06,0.32,10.50,0.50,,2,109,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,3,0.95,0.19,8.86,0.45,,2,108,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,3,1.25,0.27,9.17,0.51,,2,110,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,3,1.12,0.21,9.50,0.57,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,3,0.98,0.29,7.97,0.49,20.20,1,100,24,TextMLP,non-IID,AGNEWS,0.65,0.75,0.41,0.39,4.02,0.32,0.20,1.14
Client 1,4,1.26,0.30,14.45,0.70,,2,109,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,4,1.30,0.24,5.79,0.59,,2,109,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,4,1.28,0.19,9.58,0.59,,2,109,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,4,1.23,0.27,14.77,0.58,,2,109,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,4,1.30,0.21,6.12,0.62,,1,100,24,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,4,1.34,0.29,9.88,0.61,26.53,1,100,25,TextMLP,non-IID,AGNEWS,0.49,0.82,0.53,0.27,4.84,0.40,0.27,0.92
Client 1,5,1.57,0.29,17.71,0.70,,2,112,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,5,1.75,0.21,19.13,0.78,,2,113,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,5,2.02,0.29,12.26,0.69,,2,113,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,5,1.58,0.27,18.04,0.70,,2,112,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,5,1.72,0.22,15.72,0.81,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,5,1.69,0.21,14.42,0.77,21.72,1,100,25,TextMLP,non-IID,AGNEWS,0.42,0.84,0.60,0.24,5.74,0.44,0.32,0.87
Client 1,6,1.94,0.25,15.97,0.84,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,6,2.12,0.21,16.79,0.85,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,6,1.87,0.29,11.08,0.84,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,6,1.86,0.22,10.79,0.80,,2,114,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,6,2.00,0.22,13.50,0.86,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,6,2.03,0.19,17.93,0.88,23.17,1,100,25,TextMLP,non-IID,AGNEWS,0.41,0.84,0.64,0.23,6.16,0.47,0.36,0.79
Client 1,7,2.25,0.25,10.34,0.96,,2,116,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,7,2.25,0.19,17.56,1.03,,2,115,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,7,2.18,0.29,10.40,0.93,,2,116,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,7,2.34,0.23,11.21,1.00,,2,117,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,7,2.54,0.20,11.10,0.95,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,7,2.35,0.18,11.86,1.04,24.08,1,100,25,TextMLP,non-IID,AGNEWS,0.35,0.87,0.74,0.20,6.26,0.54,0.44,0.71
Client 1,8,2.51,0.24,16.19,1.10,,2,118,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,8,2.71,0.18,15.67,1.16,,2,117,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,8,2.57,0.23,13.28,1.11,,2,117,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,8,3.20,0.25,11.18,1.08,,2,118,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,8,2.51,0.23,13.43,1.18,,1,100,25,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,8,2.73,0.19,17.71,1.19,24.34,1,100,25,TextMLP,non-IID,AGNEWS,0.33,0.88,0.81,0.18,6.18,0.59,0.51,0.68
Client 1,9,3.50,0.23,29.35,1.27,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,9,3.20,0.21,28.14,1.24,,2,119,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,9,3.07,0.26,20.37,1.29,,2,119,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,9,3.18,0.23,28.76,1.29,,2,120,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,9,3.86,0.24,21.94,1.48,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,9,3.28,0.19,22.96,1.37,24.48,1,100,25,TextMLP,non-IID,AGNEWS,0.29,0.89,0.83,0.17,6.08,0.60,0.52,0.65
Client 1,10,3.17,0.22,27.36,1.39,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,10,3.49,0.23,25.30,1.46,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,10,3.09,0.28,23.87,1.31,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,10,3.13,0.25,26.71,1.44,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,10,3.17,0.23,24.15,1.33,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,10,3.15,0.19,27.43,1.34,24.15,1,100,26,TextMLP,non-IID,AGNEWS,0.28,0.89,0.83,0.17,6.05,0.60,0.52,0.68
Client 1,11,3.53,0.22,24.78,1.46,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,11,3.89,0.24,23.07,1.55,,2,122,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,11,3.55,0.25,28.44,1.44,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,11,3.59,0.25,20.07,1.49,,2,121,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,11,3.58,0.24,21.33,1.47,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,11,3.72,0.18,26.05,1.64,26.36,1,100,26,TextMLP,non-IID,AGNEWS,0.27,0.90,0.84,0.16,6.05,0.61,0.53,0.67
Client 1,12,4.32,0.22,21.10,2.09,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,12,3.92,0.25,27.62,1.68,,2,123,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,12,3.92,0.24,22.44,1.60,,2,124,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,12,3.97,0.24,27.72,1.63,,2,124,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,12,4.16,0.22,23.58,1.70,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,12,4.07,0.17,28.12,1.67,24.78,1,100,26,TextMLP,non-IID,AGNEWS,0.27,0.90,0.85,0.16,6.06,0.63,0.55,0.62
Client 1,13,4.23,0.22,37.30,1.71,,2,125,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,13,5.09,0.23,31.30,2.48,,2,128,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,13,4.66,0.22,39.69,1.75,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,13,4.20,0.22,33.67,1.66,,2,125,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,13,4.54,0.22,31.17,1.77,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,13,4.56,0.17,35.33,1.83,27.59,1,100,26,TextMLP,non-IID,AGNEWS,0.27,0.90,0.86,0.16,6.10,0.63,0.55,0.63
Client 1,14,4.29,0.23,30.91,1.79,,2,126,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,14,4.62,0.22,34.62,2.04,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,14,4.29,0.22,38.53,2.25,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,14,4.42,0.22,34.81,1.96,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,14,4.56,0.20,34.25,1.96,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,14,4.50,0.22,30.93,2.03,25.61,1,100,26,TextMLP,non-IID,AGNEWS,0.26,0.90,0.86,0.15,6.03,0.63,0.55,0.63
Client 1,15,5.02,0.24,31.99,1.97,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,15,5.20,0.22,35.20,2.07,,2,128,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,15,5.25,0.23,39.77,1.99,,2,128,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,15,5.04,0.22,35.40,1.97,,2,128,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,15,5.26,0.20,32.32,2.09,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,15,5.36,0.22,30.16,2.12,27.15,1,100,26,TextMLP,non-IID,AGNEWS,0.26,0.90,0.86,0.15,6.09,0.63,0.55,0.64
Client 1,16,5.04,0.23,30.07,2.06,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,16,5.00,0.21,33.78,2.05,,2,127,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,16,5.71,0.23,34.66,2.47,,2,130,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,16,5.07,0.23,34.26,2.17,,2,128,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,16,5.13,0.20,32.68,2.18,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,16,5.15,0.22,35.12,2.13,27.73,1,100,26,TextMLP,non-IID,AGNEWS,0.25,0.90,0.86,0.15,6.03,0.63,0.54,0.66
Client 1,17,5.39,0.22,45.34,2.15,,2,128,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,17,5.45,0.22,42.11,2.13,,2,128,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,17,5.79,0.22,53.21,2.19,,2,130,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,17,5.80,0.21,42.13,2.23,,2,130,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,17,6.35,0.23,45.63,2.39,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,17,5.54,0.25,49.40,2.25,28.26,1,100,26,TextMLP,non-IID,AGNEWS,0.25,0.91,0.86,0.15,5.91,0.63,0.55,0.65
Client 1,18,6.09,0.22,45.48,2.33,,2,131,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,18,5.74,0.22,46.92,2.33,,2,130,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,18,5.86,0.22,41.77,2.33,,2,130,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,18,6.12,0.21,41.02,2.34,,2,131,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 5,18,5.88,0.22,42.84,2.46,,1,100,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 6,18,5.96,0.24,53.72,2.40,28.08,1,100,26,TextMLP,non-IID,AGNEWS,0.25,0.91,0.87,0.14,5.73,0.63,0.55,0.65
Client 1,19,6.19,0.22,45.13,2.49,,2,132,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 2,19,6.79,0.22,47.51,2.48,,2,134,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 3,19,6.13,0.22,45.35,2.82,,2,132,26,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 4,19,6.75,0.22,48.47,2.46,,2,132,26,TextMLP,non-IID,AGNEWS,,,,,,,,
