Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.39,0.41,0.0,5.47,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.32,0.33,0.0,5.55,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.43,0.38,0.0,5.83,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.38,0.25,0.0,5.36,76.08,2,104,21,CNN 64k,non-IID,CIFAR10,1.3,0.5262,0.1641,2.0229,4.42,0.1451,0.0532,3.2848
Client 23,2,1.86,0.11,0.0,5.28,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,1.62,0.09,0.0,4.89,,2,111,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,1.55,0.1,0.0,4.95,,2,110,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,1.6,0.14,0.0,4.76,80.86,2,111,18,CNN 64k,non-IID,CIFAR10,1.4,0.4621,0.2564,1.9543,3.08,0.2054,0.1158,3.0178
Client 23,3,2.9,0.12,10.28,5.37,,2,114,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,2.15,0.06,0.0,5.14,,2,111,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,4.43,0.26,0.0,8.57,,2,106,23,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,2.57,0.08,0.0,5.64,83.48,2,113,20,CNN 64k,non-IID,CIFAR10,1.3,0.5058,0.3104,1.8378,2.68,0.2745,0.1952,2.6698
Client 23,4,2.7,0.06,0.0,5.3,,2,113,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,3.42,0.11,10.83,5.36,,2,115,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,6.07,0.14,0.0,9.78,,2,106,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,4.13,0.12,12.62,6.17,93.88,2,116,23,CNN 64k,non-IID,CIFAR10,1.24,0.5286,0.3581,1.8857,2.56,0.3122,0.2313,2.5903
Client 23,5,4.03,0.09,12.14,5.84,,2,115,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,4.07,0.07,11.11,5.8,,2,115,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,3.89,0.09,12.43,6.39,,2,115,23,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,4.09,0.08,11.87,6.07,89.69,2,116,24,CNN 64k,non-IID,CIFAR10,1.25,0.5201,0.4039,1.7161,2.49,0.3429,0.2693,2.4107
Client 23,6,5.15,0.09,17.17,6.55,,2,119,27,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,5.26,0.08,13.37,6.14,,2,117,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,4.94,0.1,18.08,6.34,,2,119,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,4.79,0.07,13.26,6.73,96.84,2,116,26,CNN 64k,non-IID,CIFAR10,1.17,0.5346,0.3624,1.7976,2.67,0.3224,0.2476,2.5479
Client 23,7,5.18,0.07,13.19,6.54,,2,116,27,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,5.19,0.08,14.55,6.13,,2,117,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,7,4.59,0.08,13.46,6.11,,2,115,27,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,7,10.32,0.2,0.0,12.14,96.48,2,109,29,CNN 64k,non-IID,CIFAR10,1.14,0.5814,0.4779,1.2308,2.4,0.4044,0.3455,2.1954
Client 23,8,12.34,0.12,0.0,14.49,,2,109,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,8,10.74,0.16,0.0,13.37,,2,109,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,8,5.65,0.07,15.22,6.67,,2,116,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,8,5.92,0.07,14.74,6.73,108.18,2,115,28,CNN 64k,non-IID,CIFAR10,1.07,0.6185,0.5555,1.2379,2.26,0.4578,0.4189,2.0099
Client 23,9,7.2,0.07,19.46,7.3,,2,119,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,9,5.92,0.07,16.75,6.49,,2,118,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,9,7.04,0.07,18.63,7.24,,2,119,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,9,6.4,0.07,16.93,6.74,,2,119,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,9,1.52,0.25,0.0,5.78,,1,100,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,9,1.51,0.31,0.0,5.64,107.06,1,100,24,CNN 64k,non-IID,CIFAR10,1.06,0.59,0.4976,1.321,2.27,0.4151,0.3519,2.1417
Client 23,10,7.99,0.07,19.78,8.41,,2,121,32,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,10,6.57,0.06,17.29,7.51,,2,118,32,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,10,6.97,0.07,24.93,7.46,,2,121,34,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,10,8.62,0.06,19.58,7.61,106.46,2,121,33,CNN 64k,non-IID,CIFAR10,1.11,0.5659,0.4988,1.5454,2.1,0.473,0.432,1.8549
Client 23,11,8.25,0.06,19.5,7.72,,2,120,33,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,11,6.85,0.06,22.4,7.69,,2,121,35,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,11,7.97,0.07,29.13,7.56,,2,123,36,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,11,7.61,0.06,22.85,7.24,,2,122,35,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,11,2.96,0.13,12.28,6.11,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,11,2.49,0.15,0.0,6.02,112.89,1,100,20,CNN 64k,non-IID,CIFAR10,1.04,0.5824,0.4885,1.8672,2.22,0.4676,0.4181,1.9034
Client 23,12,16.56,0.2,0.0,17.85,,2,111,36,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,12,16.13,0.22,0.0,17.34,,2,112,36,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,12,17.92,0.16,0.0,19.29,,2,111,37,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,12,17.23,0.28,0.0,19.27,,2,111,37,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,12,4.76,0.28,0.0,8.45,,1,100,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,12,3.38,0.1,12.97,6.31,127.57,1,100,22,CNN 64k,non-IID,CIFAR10,0.69,0.7564,0.6062,0.8651,1.98,0.4716,0.4375,1.8308
Client 23,13,18.38,0.13,0.0,18.8,,2,112,36,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,13,18.14,0.26,0.0,19.9,,2,112,35,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,13,8.02,0.06,25.37,7.56,,2,119,37,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,13,8.81,0.06,24.52,8.29,,2,121,37,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,13,3.96,0.07,12.81,6.33,,1,100,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,13,6.33,0.26,0.0,9.92,123.04,1,100,25,CNN 64k,non-IID,CIFAR10,0.83,0.6862,0.5936,1.1259,1.94,0.4998,0.4657,1.8168
Client 23,14,20.14,0.38,0.0,21.96,,2,112,36,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,14,9.04,0.06,26.99,8.68,,2,124,39,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,14,8.6,0.06,22.13,8.84,,2,120,37,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,14,10.24,0.06,27.23,9.13,,2,123,38,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,14,7.41,0.23,0.0,10.74,,1,100,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,14,5.93,0.09,16.95,7.37,132.82,1,100,24,CNN 64k,non-IID,CIFAR10,0.83,0.6839,0.5877,1.2015,1.95,0.5015,0.462,1.8931
