Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.4,0.22,0.0,5.08,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,1.45,0.2,0.0,5.41,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,1.3,0.33,0.0,5.07,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,1.33,0.3,0.0,5.21,73.0,2,104,21,CNN 64k,non-IID,CIFAR10,1.57,0.4036,0.0985,3.0096,3.52,0.1243,0.0348,3.7717
Client 1,2,2.61,0.25,0.0,6.83,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,2.64,0.23,0.0,6.63,,2,105,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,1.72,0.14,0.0,4.9,,2,110,18,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,1.88,0.15,0.0,5.42,,2,112,19,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,1.12,0.18,0.0,5.04,,1,100,17,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,0.99,0.23,0.0,5.14,79.94,1,100,17,CNN 64k,non-IID,CIFAR10,1.36,0.4792,0.2165,1.8461,3.98,0.1739,0.1029,3.0975
Client 1,3,2.26,0.07,0.0,5.14,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,2.25,0.07,0.0,5.24,,2,112,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,2.39,0.08,0.0,4.98,,2,113,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,2.93,0.12,10.67,5.22,,2,114,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,2.25,0.09,10.24,5.41,,1,100,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,2.14,0.08,0.0,5.44,84.43,1,100,19,CNN 64k,non-IID,CIFAR10,1.36,0.4717,0.3085,1.7683,3.04,0.2591,0.1721,2.6857
Client 1,4,5.46,0.19,0.0,8.71,,2,107,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,5.74,0.16,0.0,9.25,,2,107,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,4,5.5,0.14,0.0,8.66,,2,107,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,4,3.22,0.08,0.0,5.7,,2,114,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,4,4.76,0.27,0.0,8.41,,1,100,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,4,4.4,0.24,0.0,8.19,83.64,1,100,24,CNN 64k,non-IID,CIFAR10,1.23,0.54,0.3217,1.6768,2.79,0.2845,0.2009,2.8361
Client 1,5,4.39,0.08,14.72,6.13,,2,117,24,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,5,3.96,0.08,12.11,5.79,,2,115,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,5,3.8,0.08,11.67,5.89,,2,115,23,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,5,7.9,0.13,0.0,10.37,,2,108,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,5,4.39,0.1,14.86,6.18,,1,100,22,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,5,4.55,0.11,15.64,6.34,90.22,1,100,22,CNN 64k,non-IID,CIFAR10,1.23,0.5252,0.3785,1.614,2.82,0.3075,0.2237,2.5736
Client 1,6,9.41,0.32,0.0,12.17,,2,108,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,6,8.7,0.15,0.0,11.38,,2,108,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,6,8.24,0.33,0.0,11.59,,2,108,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,6,4.92,0.08,14.18,6.7,,2,116,25,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,6,5.28,0.09,15.79,7.1,,1,100,23,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,6,5.21,0.11,18.51,6.77,98.84,1,100,25,CNN 64k,non-IID,CIFAR10,1.08,0.5939,0.3762,1.5713,2.54,0.3431,0.2699,2.395
Client 1,7,5.73,0.09,19.75,6.79,,2,120,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,7,5.0,0.09,16.11,6.17,,2,117,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,7,5.15,0.07,13.25,6.48,,2,117,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,7,10.14,0.14,0.0,13.13,,2,109,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,7,9.2,0.15,0.0,12.34,,1,100,27,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,7,6.56,0.08,19.4,7.51,98.6,1,100,26,CNN 64k,non-IID,CIFAR10,1.17,0.5422,0.4016,1.3335,2.72,0.3373,0.259,2.5838
Client 1,8,11.51,0.15,0.0,14.83,,2,109,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,8,11.8,0.24,0.0,13.79,,2,110,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,8,11.93,0.19,0.0,13.91,,2,110,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,8,6.16,0.07,17.47,6.95,,2,118,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,8,7.33,0.08,19.6,7.58,,1,100,26,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,8,11.73,0.16,0.0,13.94,104.7,1,100,29,CNN 64k,non-IID,CIFAR10,0.98,0.6374,0.4833,1.4522,2.15,0.4122,0.3569,2.251
Client 1,9,6.4,0.07,18.0,7.1,,2,118,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,9,6.6,0.07,19.13,7.19,,2,120,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,9,6.07,0.07,18.76,6.71,,2,119,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,9,13.46,0.18,0.0,15.62,,2,110,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,9,12.49,0.27,0.0,14.51,,1,100,28,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,9,9.02,0.08,26.88,7.89,108.32,1,100,30,CNN 64k,non-IID,CIFAR10,1.06,0.5901,0.4383,1.4564,2.31,0.4009,0.3467,2.175
Client 1,10,14.13,0.18,0.0,15.86,,2,111,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,10,14.17,0.14,0.0,15.9,,2,111,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,10,14.73,0.34,0.0,16.63,,2,111,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,10,6.94,0.07,20.09,7.19,,2,120,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,10,8.45,0.07,25.93,8.19,,1,100,29,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,10,14.47,0.15,0.0,15.89,110.6,1,100,32,CNN 64k,non-IID,CIFAR10,0.87,0.6808,0.5201,1.2145,2.17,0.4459,0.3948,2.1894
Client 1,11,7.2,0.06,16.23,7.16,,2,118,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,11,7.34,0.06,19.17,7.26,,2,120,30,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,11,7.73,0.07,22.28,7.09,,2,121,32,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,11,17.0,0.14,0.0,18.64,,2,111,33,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,11,15.96,0.2,0.0,17.02,,1,100,31,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,11,9.83,0.06,23.47,8.76,122.71,1,100,31,CNN 64k,non-IID,CIFAR10,0.92,0.6454,0.5517,1.3055,2.1,0.4574,0.3997,1.9451
Client 1,12,16.92,0.19,0.0,18.1,,2,112,33,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,12,18.6,0.12,0.0,18.78,,2,112,32,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,12,17.17,0.24,0.0,18.27,,2,112,34,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,12,8.98,0.06,28.77,7.51,,2,124,37,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,12,9.43,0.06,27.08,8.48,,1,100,32,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,12,17.54,0.17,0.0,18.54,120.94,1,100,33,CNN 64k,non-IID,CIFAR10,0.79,0.7018,0.5556,1.0435,2.09,0.4673,0.4111,2.0528
Client 1,13,8.92,0.06,23.33,7.63,,2,121,34,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,13,8.69,0.06,26.92,8.2,,2,122,35,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,13,8.76,0.06,23.12,7.79,,2,121,35,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,13,20.84,0.17,0.0,20.02,135.12,2,111,35,CNN 64k,non-IID,CIFAR10,0.95,0.6391,0.5824,1.3812,1.93,0.5219,0.487,1.7463
Client 1,14,20.81,0.26,0.0,21.33,,2,113,36,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,14,20.35,0.13,0.0,20.84,,2,112,36,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,14,20.72,0.15,0.0,21.78,,2,112,37,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,14,21.33,0.21,0.0,22.51,142.27,2,112,34,CNN 64k,non-IID,CIFAR10,0.63,0.7847,0.6186,0.6729,1.94,0.4888,0.4441,1.7734
