Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.2,0.0,0.0,14.72,,2,90,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,1.24,0.0,0.0,25.04,,2,80,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,1.37,0.0,0.0,23.74,,2,81,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,1.26,0.0,0.0,17.76,,2,87,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,1.29,0.0,0.0,14.99,,1,87,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,1.37,0.0,0.0,15.08,85.7,1,87,21,CNN 64k,non-IID,CIFAR10,1.35,0.521,0.157,1.9273,3.87,0.1457,0.0572,3.5052
Client 1,2,2.54,0.28,0.0,26.44,,2,82,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,2.36,0.45,0.0,11.14,,2,98,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,2.46,0.19,0.0,25.87,,2,81,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,2.7,0.24,0.0,25.35,,2,82,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,2.6,0.36,0.0,20.79,,1,83,20,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,2.74,0.39,0.0,10.43,92.01,1,94,20,CNN 64k,non-IID,CIFAR10,1.16,0.6022,0.1557,1.4869,3.77,0.1614,0.0666,3.081
