Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.33,0.0,0.0,19.38,,2,73,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,1,1.42,0.0,0.0,21.46,,2,69,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,1,1.41,0.0,0.0,5.39,,2,107,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,1,1.43,0.0,0.0,14.49,,2,84,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,1,2.02,0.0,0.0,18.53,,1,76,21,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,1,1.54,0.0,0.0,6.04,44.89,1,100,21,CNN 64k,IID,CIFAR10,1.52,0.4371,0.1192,2.0595,3.74,0.1394,0.0497,3.0883
Client 1,2,2.82,0.0,0.0,18.5,,2,80,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,2,2.85,0.0,0.0,22.7,,2,75,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,2,2.75,0.0,0.0,23.44,,2,73,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,2,3.7,0.0,0.0,24.8,,2,71,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,2,4.08,0.0,0.0,22.13,,1,74,20,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,2,4.14,0.0,0.0,26.44,56.62,1,68,20,CNN 64k,IID,CIFAR10,1.52,0.4327,0.1606,2.2539,2.82,0.1961,0.1126,2.8424
Client 1,3,4.79,0.0,0.0,8.72,,2,109,18,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,3,4.82,0.0,0.0,26.37,,2,75,18,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,3,4.03,0.0,0.0,19.79,,2,83,18,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,3,4.9,0.0,0.0,26.24,,2,75,18,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,3,4.57,0.0,0.0,27.21,,1,66,18,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,3,4.65,0.0,0.0,25.23,55.42,1,67,19,CNN 64k,IID,CIFAR10,1.43,0.4839,0.2284,2.0432,2.31,0.2515,0.1682,2.8352
Client 1,4,5.94,0.0,0.0,19.81,,2,91,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,4,6.08,0.0,0.0,23.21,,2,85,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,4,5.91,0.0,0.0,8.81,,2,113,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,4,6.87,0.0,0.0,17.19,,2,96,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,4,7.07,0.0,0.0,13.29,,1,98,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,4,8.0,0.0,0.0,13.17,54.41,1,96,19,CNN 64k,IID,CIFAR10,1.44,0.4789,0.3093,2.0087,2.0,0.3179,0.2623,2.5676
Client 1,5,7.97,0.0,0.0,26.98,,2,85,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,5,8.16,0.0,0.0,25.32,,2,87,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,5,8.5,0.0,0.0,12.2,,2,112,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,5,8.27,0.0,0.0,14.39,,2,106,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,5,8.72,0.0,0.0,31.87,,1,70,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,5,8.94,0.0,0.0,23.49,67.06,1,82,19,CNN 64k,IID,CIFAR10,1.4,0.499,0.3698,1.9162,1.78,0.3708,0.3314,2.3114
Client 1,6,8.75,0.0,0.0,30.9,,2,82,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,6,8.76,0.0,0.0,12.57,,2,112,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 3,6,8.01,0.0,0.0,19.6,,2,95,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 4,6,8.56,0.0,0.0,30.08,,2,81,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 5,6,9.57,0.0,0.0,11.86,,1,100,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 6,6,9.95,0.0,0.0,26.32,67.59,1,78,19,CNN 64k,IID,CIFAR10,1.37,0.5053,0.4006,1.8927,1.68,0.396,0.3607,2.2511
Client 1,7,9.97,0.0,0.0,16.26,,2,109,19,CNN 64k,IID,CIFAR10,,,,,,,,
Client 2,7,11.84,0.0,0.0,18.81,,2,103,19,CNN 64k,IID,CIFAR10,,,,,,,,
