Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.15,0.0,4.83,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,1.17,0.0,4.96,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,1.15,0.0,5.13,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,1.08,0.0,4.88,26.83,2,108,21,CNN 16k,IID,CIFAR-10,2.16,0.2025,0.1465,3.091,2.18,0.1973,0.1433,3.1392
Client 1,2,2.34,0.0,5.49,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,2.3,0.0,6.28,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,2.27,0.0,5.62,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,2.27,0.0,5.58,28.95,2,109,20,CNN 16k,IID,CIFAR-10,2.01,0.268,0.2295,2.5913,2.03,0.2563,0.2164,2.6932
Client 1,3,3.46,0.0,6.82,,2,111,18,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,3.49,0.0,6.86,,2,111,18,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,3.49,0.0,6.77,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,3.41,0.0,6.43,,2,111,18,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,1.23,0.0,4.88,,1,100,18,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,3,1.17,0.0,5.09,31.71,1,100,18,CNN 16k,IID,CIFAR-10,1.9,0.2996,0.2633,2.5198,1.93,0.2937,0.2576,2.5532
Client 1,4,4.83,0.0,7.7,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,4.92,0.0,7.72,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,4.96,0.0,7.62,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,4.81,0.0,8.01,35.67,2,112,19,CNN 16k,IID,CIFAR-10,1.8,0.3458,0.3236,2.3462,1.82,0.3391,0.3164,2.3816
Client 1,5,5.77,0.0,8.54,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,5.87,0.0,8.55,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,5.74,0.0,9.48,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,5,5.64,0.0,8.26,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,5,2.17,0.0,5.47,,1,100,18,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,5,2.26,0.0,5.62,40.64,1,100,18,CNN 16k,IID,CIFAR-10,1.73,0.3726,0.3547,2.3087,1.76,0.363,0.3451,2.3396
Client 1,6,7.09,0.0,9.38,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,7.42,0.0,10.16,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,6,6.98,0.0,9.14,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,6,6.82,0.0,9.65,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,6,3.42,0.0,6.75,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,6,3.37,0.0,6.68,43.98,1,100,19,CNN 16k,IID,CIFAR-10,1.66,0.4006,0.3827,2.1592,1.68,0.3915,0.3738,2.1864
Client 1,7,8.02,0.0,10.53,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,8.04,0.0,11.36,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,7,8.13,0.0,10.18,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,7,7.87,0.0,10.26,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,7,4.66,0.0,7.77,,1,100,18,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,7,4.59,0.0,7.61,47.61,1,100,18,CNN 16k,IID,CIFAR-10,1.58,0.4305,0.4177,2.0921,1.61,0.4213,0.4084,2.1251
Client 1,8,9.7,0.0,12.38,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,8,9.63,0.0,12.21,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,8,8.92,0.0,11.14,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,8,10.01,0.0,10.99,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,8,5.65,0.0,8.55,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,8,6.02,0.0,9.0,50.95,1,100,19,CNN 16k,IID,CIFAR-10,1.51,0.4513,0.4395,2.007,1.54,0.4423,0.4301,2.0369
Client 1,9,10.46,0.0,13.69,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,9,12.1,0.0,14.06,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,9,9.98,0.0,12.1,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,9,10.14,0.0,13.73,59.34,2,116,19,CNN 16k,IID,CIFAR-10,1.46,0.4716,0.4617,1.9375,1.5,0.4581,0.4477,1.9812
Client 1,10,12.04,0.0,14.15,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,10,12.35,0.0,14.17,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,10,11.86,0.0,13.23,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,10,11.64,0.0,14.13,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,10,7.14,0.0,9.94,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,10,7.22,0.0,10.06,61.47,1,100,19,CNN 16k,IID,CIFAR-10,1.42,0.4862,0.4757,1.8973,1.47,0.4702,0.4587,1.9564
Client 1,11,12.8,0.0,14.92,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,11,12.33,0.0,15.98,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,11,12.39,0.0,15.93,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,11,13.26,0.0,14.97,62.82,2,117,19,CNN 16k,IID,CIFAR-10,1.38,0.5031,0.4933,1.8369,1.43,0.4833,0.4728,1.907
Client 1,12,15.31,0.0,16.55,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,12,14.08,0.0,17.11,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,12,15.5,0.0,15.71,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,12,13.88,0.0,15.76,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,12,8.29,0.0,10.79,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,12,7.99,0.0,10.6,70.36,1,100,19,CNN 16k,IID,CIFAR-10,1.35,0.5125,0.5036,1.8118,1.41,0.4912,0.4805,1.8933
Client 1,13,15.66,0.0,17.17,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,13,16.15,0.0,17.07,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,13,15.12,0.0,17.54,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,13,14.83,0.0,16.15,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,13,10.91,0.0,12.57,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,13,9.78,0.0,11.76,70.65,1,100,19,CNN 16k,IID,CIFAR-10,1.33,0.5247,0.5201,1.7372,1.39,0.501,0.4953,1.8206
Client 1,14,15.64,0.0,17.9,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,14,16.96,0.0,18.06,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,14,16.33,0.0,17.53,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,14,15.4,0.0,18.16,75.95,2,118,19,CNN 16k,IID,CIFAR-10,1.31,0.5298,0.5234,1.7034,1.37,0.5081,0.5005,1.781
Client 1,15,18.39,0.0,18.86,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,15,17.97,0.0,19.09,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,15,17.7,0.0,18.8,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,15,17.05,0.0,18.28,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,15,10.21,0.0,12.7,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,15,10.88,0.0,12.29,79.77,1,100,19,CNN 16k,IID,CIFAR-10,1.28,0.5408,0.5353,1.6552,1.35,0.5147,0.5086,1.7522
Client 1,16,19.61,0.0,19.49,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,16,20.46,0.0,20.34,,2,117,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,16,18.39,0.0,18.84,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,16,16.88,0.0,19.52,84.54,2,119,19,CNN 16k,IID,CIFAR-10,1.27,0.5423,0.5354,1.6682,1.34,0.5166,0.5093,1.7602
Client 1,17,21.02,0.0,21.04,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,17,19.68,0.0,19.99,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,17,20.63,0.0,20.3,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,17,18.69,0.0,19.71,87.75,2,119,19,CNN 16k,IID,CIFAR-10,1.26,0.5492,0.543,1.6282,1.33,0.5224,0.5151,1.7271
Client 1,18,21.35,0.0,20.99,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,18,20.45,0.0,21.04,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,18,19.0,0.0,20.06,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,18,19.83,0.0,21.1,84.66,2,119,19,CNN 16k,IID,CIFAR-10,1.24,0.5569,0.5501,1.608,1.32,0.5252,0.5169,1.727
Client 1,19,21.62,0.0,22.0,,2,119,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,19,23.59,0.0,24.23,,2,118,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,19,20.77,0.0,22.23,,2,120,19,CNN 16k,IID,CIFAR-10,,,,,,,,
