Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.13,0.0,4.34,,2,109,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,1.5,0.0,4.62,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,1.04,0.0,5.1,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,1.05,0.0,4.56,25.27,2,108,21,CNN 16k,IID,CIFAR-10,2.21,0.1866,0.122,3.2899,2.22,0.1763,0.1125,3.3295
Client 1,2,2.19,0.0,5.33,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,2.53,0.0,5.54,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,2.18,0.0,5.89,,2,109,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,2.13,0.0,5.48,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,1.09,0.0,4.45,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,2,1.06,0.0,4.31,27.97,1,100,20,CNN 16k,IID,CIFAR-10,2.02,0.2696,0.2158,2.5848,2.04,0.2659,0.2128,2.6059
Client 1,3,3.06,0.0,6.1,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,3.61,0.0,6.91,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,3.13,0.0,6.09,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,3.23,0.0,6.13,31.41,2,111,19,CNN 16k,IID,CIFAR-10,1.9,0.3047,0.2747,2.4459,1.92,0.3032,0.2729,2.4428
Client 1,4,4.71,0.0,7.46,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,4.28,0.0,7.5,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,4.19,0.0,7.65,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,4.17,0.0,7.96,33.99,2,112,19,CNN 16k,IID,CIFAR-10,1.83,0.326,0.3012,2.3678,1.83,0.3262,0.3,2.3736
Client 1,5,5.42,0.0,8.8,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,5.75,0.0,8.98,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,5.82,0.0,7.91,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,5,5.59,0.0,8.19,38.71,2,113,19,CNN 16k,IID,CIFAR-10,1.74,0.3682,0.349,2.2497,1.75,0.3609,0.341,2.2599
Client 1,6,6.43,0.0,9.6,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,7.19,0.0,9.69,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,6,7.45,0.0,9.78,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,6,7.47,0.0,10.68,46.28,2,113,19,CNN 16k,IID,CIFAR-10,1.67,0.3917,0.3749,2.1811,1.69,0.3824,0.3658,2.2158
Client 1,7,8.04,0.0,9.42,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,8.07,0.0,9.77,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,7,7.49,0.0,10.78,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,7,8.62,0.0,10.04,46.35,2,115,19,CNN 16k,IID,CIFAR-10,1.59,0.4213,0.4132,2.0856,1.61,0.4098,0.4019,2.1134
Client 1,8,10.39,0.0,12.63,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,8,9.6,0.0,11.7,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,8,8.94,0.0,11.46,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,8,9.2,0.0,11.77,53.8,2,115,19,CNN 16k,IID,CIFAR-10,1.52,0.4456,0.4384,2.0426,1.55,0.4318,0.4242,2.0803
Client 1,9,9.75,0.0,11.98,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,9,10.11,0.0,12.92,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,9,10.45,0.0,13.21,,2,116,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,9,10.38,0.0,12.14,53.49,2,116,19,CNN 16k,IID,CIFAR-10,1.48,0.4634,0.4556,1.9608,1.51,0.4498,0.4409,1.9796
