Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.84,0.18,21.61,4.12,,2,109,18,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,0.52,0.22,26.99,4.08,,2,106,18,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,1,0.59,0.13,23.95,4.48,,2,107,18,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,1,0.57,0.20,22.68,4.45,70.25,2,107,18,CNN 16k,non-IID,CIFAR10,1.53,0.43,0.17,2.29,3.54,0.14,0.06,3.20
Client 23,2,2.42,0.36,12.95,5.48,,2,104,23,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,2.46,0.19,20.30,5.66,,2,104,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,2.34,0.30,19.00,5.85,,2,104,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,2,2.40,0.28,13.25,6.23,75.52,2,104,21,CNN 16k,non-IID,CIFAR10,1.33,0.53,0.17,1.56,3.49,0.17,0.08,3.31
Client 23,3,3.64,0.23,25.44,7.22,,2,105,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.57,0.26,24.01,6.94,,2,105,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,3,3.61,0.18,13.81,6.92,,2,105,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,3,3.56,0.23,13.09,7.10,79.36,2,105,20,CNN 16k,non-IID,CIFAR10,1.42,0.48,0.20,1.84,3.13,0.20,0.12,2.98
Client 23,4,5.44,0.38,14.86,9.15,,2,105,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,4,4.74,0.14,15.52,7.78,,2,106,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,4,4.63,0.10,18.21,7.76,,2,105,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,4,5.50,0.20,15.57,7.98,89.57,2,106,21,CNN 16k,non-IID,CIFAR10,1.38,0.50,0.23,1.58,3.03,0.22,0.14,2.66
Client 23,5,6.79,0.22,42.43,10.25,,2,106,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,5,5.80,0.12,40.61,8.74,,2,106,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,5,6.07,0.11,20.13,9.05,,2,106,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,5,5.85,0.12,30.06,8.97,90.27,2,106,20,CNN 16k,non-IID,CIFAR10,1.40,0.50,0.33,1.70,2.38,0.29,0.24,2.74
Client 23,6,7.90,0.10,40.32,10.26,,2,107,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,6,7.66,0.26,49.13,10.86,,2,107,22,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,6,7.44,0.13,33.07,10.07,,2,107,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,6,7.78,0.13,39.05,10.67,93.58,2,107,21,CNN 16k,non-IID,CIFAR10,1.33,0.51,0.35,1.73,2.34,0.32,0.25,2.53
Client 23,7,8.38,0.22,26.66,11.41,,2,108,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,7,8.48,0.29,40.40,11.04,,2,108,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
