Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,0.98,0.09,4.38,,2,107,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,0.59,0.08,4.71,,2,108,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,0.58,0.07,4.06,,2,106,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,0.57,0.07,4.45,,2,105,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,0.49,0.06,4.34,,2,107,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,0.71,0.08,4.3,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,1,0.68,0.07,4.31,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,1,0.74,0.11,4.27,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,1,0.66,0.06,4.4,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,1,0.77,0.07,4.49,75.92,1,100,18,CNN 16k,non-IID,CIFAR-10,1.75,0.3381,0.2015,2.4109,2.86,0.1734,0.0954,3.1529
Client 23,2,2.38,0.15,5.88,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,2.33,0.11,5.77,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,2.43,0.14,6.66,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,2.7,0.21,5.76,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,2.57,0.16,6.25,,2,104,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,2.48,0.08,6.09,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,2,2.55,0.21,6.06,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,2,2.46,0.23,5.97,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,2,2.49,0.2,6.53,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,2,2.57,0.1,6.15,76.77,1,100,22,CNN 16k,non-IID,CIFAR-10,1.57,0.431,0.1993,1.9862,2.66,0.21,0.1248,2.8529
Client 23,3,4.3,0.08,6.91,,2,105,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,3.72,0.22,7.1,,2,105,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,3.78,0.17,7.04,,2,105,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,3.76,0.2,7.34,,2,105,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,4.06,0.15,7.28,,2,105,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,4.0,0.1,7.48,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,3,3.9,0.1,7.42,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,3,3.92,0.16,7.36,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,3,4.51,0.19,7.15,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,3,3.74,0.16,7.29,85.17,1,100,22,CNN 16k,non-IID,CIFAR-10,1.53,0.4218,0.2551,1.9137,2.54,0.2498,0.1818,2.7186
Client 23,4,5.25,0.11,7.96,,2,105,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,4.87,0.11,8.17,,2,105,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,4.74,0.12,7.71,,2,105,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,5.08,0.09,8.02,,2,105,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,4.82,0.2,8.12,,2,105,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,5.17,0.26,9.36,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,4,5.19,0.22,8.83,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,4,5.22,0.17,8.25,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,4,5.26,0.22,8.23,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,4,4.91,0.14,8.11,91.61,1,100,21,CNN 16k,non-IID,CIFAR-10,1.37,0.5034,0.2922,1.9746,2.44,0.276,0.202,2.6629
Client 23,5,5.98,0.13,9.05,,2,106,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,5,6.03,0.24,9.06,,2,106,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,5,5.85,0.12,9.63,,2,106,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,5,6.18,0.18,9.09,,2,106,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,5,6.42,0.19,9.55,,2,106,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,5,6.52,0.24,9.64,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,5,6.31,0.19,9.37,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,5,6.41,0.19,9.29,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,5,6.2,0.12,9.49,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,5,7.46,0.1,10.33,94.08,1,100,20,CNN 16k,non-IID,CIFAR-10,1.31,0.5341,0.3125,1.7268,2.45,0.2921,0.216,2.5673
Client 23,6,7.33,0.17,10.27,,2,107,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,6,7.18,0.09,10.05,,2,107,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,6,6.96,0.06,9.75,,2,107,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,6,6.91,0.23,9.6,,2,106,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,6,7.38,0.14,10.16,,2,107,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,6,7.84,0.38,10.48,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,6,7.27,0.09,9.85,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,6,7.56,0.11,10.32,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,6,7.93,0.33,10.54,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,6,7.61,0.15,10.38,92.33,1,100,21,CNN 16k,non-IID,CIFAR-10,1.26,0.5451,0.3462,1.6552,2.41,0.3087,0.2493,2.5559
Client 23,7,8.54,0.17,11.27,,2,107,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,7,9.0,0.23,11.65,,2,107,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,7,9.02,0.08,11.0,,2,107,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,7,8.59,0.09,11.49,,2,107,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,7,8.49,0.12,12.18,,2,107,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,7,9.48,0.09,11.34,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,7,9.07,0.24,11.51,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,7,8.97,0.21,11.1,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,7,9.28,0.19,12.22,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,7,9.18,0.34,11.53,104.18,1,100,20,CNN 16k,non-IID,CIFAR-10,1.21,0.5711,0.348,1.4406,2.49,0.3174,0.2449,2.543
Client 23,8,9.45,0.11,12.01,,2,108,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,8,9.56,0.14,11.77,,2,108,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,8,10.32,0.12,12.69,,2,108,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,8,9.57,0.14,12.03,,2,108,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,8,10.06,0.16,12.49,,2,108,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,8,10.29,0.13,12.42,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,8,10.42,0.24,13.01,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,8,10.23,0.19,12.57,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,8,9.94,0.08,12.71,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,8,10.21,0.09,13.22,100.44,1,100,21,CNN 16k,non-IID,CIFAR-10,1.28,0.5355,0.3985,1.6413,2.25,0.3587,0.2978,2.3008
Client 23,9,11.22,0.16,13.32,,2,108,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,9,11.12,0.1,13.95,,2,108,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,9,11.11,0.13,13.06,,2,108,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,9,11.35,0.1,13.56,,2,108,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,9,10.58,0.19,12.89,,2,108,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,9,11.52,0.06,13.91,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,9,10.94,0.24,13.64,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,9,11.28,0.18,13.84,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,9,11.75,0.16,13.89,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
