Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,0.66,0.16,12.14,4.65,,2,106,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,1,0.61,0.14,20.27,4.38,,2,106,17,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,1,0.64,0.16,24.60,4.36,,2,107,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,1,0.62,0.16,27.53,4.48,,2,107,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,1,0.77,0.20,16.64,4.38,,2,107,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,1,0.75,0.16,23.26,4.91,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,1,0.86,0.18,25.07,5.09,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,1,0.68,0.24,16.54,4.07,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,1,0.83,0.26,12.44,4.43,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,1,0.90,0.18,17.58,4.55,79.07,1,100,18,CNN 16k,non-IID,CIFAR-10,1.36,0.47,0.21,1.99,4.61,0.15,0.06,3.12
Client 1,2,2.38,0.18,18.22,5.98,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,2,2.30,0.32,16.11,5.66,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,2,2.59,0.24,20.12,6.56,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,2,2.35,0.28,18.62,5.82,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,2,2.58,0.34,17.66,6.10,,2,104,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,2,2.55,0.39,23.70,6.48,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 7,2,2.43,0.27,29.56,5.86,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 8,2,2.50,0.22,27.36,5.94,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 9,2,2.51,0.24,20.84,5.95,,1,100,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 10,2,2.34,0.41,10.60,5.75,81.09,1,100,22,CNN 16k,non-IID,CIFAR-10,1.33,0.54,0.15,1.70,3.41,0.15,0.07,3.01
Client 1,3,3.50,0.15,14.55,7.21,,2,105,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,3,4.13,0.22,25.16,7.63,,2,105,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,3,4.03,0.26,10.14,7.36,,2,105,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,3,3.87,0.17,20.40,6.95,,2,104,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
