Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.17,0.36,0.0,4.73,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,1,1.27,0.3,0.0,5.22,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,1,1.16,0.3,0.0,5.02,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,1,1.28,0.24,0.0,4.73,,2,103,21,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,1,1.15,0.42,0.0,4.67,74.88,2,103,21,CNN 16k,non-IID,CIFAR10,1.42,0.5298,0.1122,1.7204,3.28,0.117,0.0303,3.2768
Client 23,2,2.42,0.48,0.0,5.86,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,2,1.42,0.1,0.0,4.53,,2,110,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,2,1.64,0.11,0.0,4.63,,2,111,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,2,1.38,0.14,0.0,4.47,,2,110,18,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 27,2,2.52,0.29,0.0,6.0,,2,104,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 28,2,1.32,0.24,0.0,5.3,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 29,2,1.3,0.32,0.0,5.44,,1,100,20,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 30,2,0.91,0.29,0.0,4.49,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 31,2,0.95,0.12,0.0,4.71,,1,100,17,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 32,2,0.89,0.39,0.0,5.05,77.65,1,100,17,CNN 16k,non-IID,CIFAR10,1.38,0.4783,0.1735,1.9194,4.97,0.1421,0.0579,3.0826
Client 23,3,3.89,0.21,0.0,7.11,,2,105,19,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 24,3,3.7,0.21,0.0,7.04,,2,105,23,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 25,3,3.96,0.14,0.0,6.95,,2,105,24,CNN 16k,non-IID,CIFAR10,,,,,,,,
Client 26,3,3.88,0.21,0.0,6.99,,2,105,23,CNN 16k,non-IID,CIFAR10,,,,,,,,
