Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,1.15,0.16,5.01,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,1.12,0.18,4.68,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,1.18,0.09,4.88,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,1.23,0.08,4.9,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,1.38,0.11,5.34,,2,103,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,1.25,0.09,5.12,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,1,1.38,0.17,5.12,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,1,1.25,0.16,5.14,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,1,1.3,0.13,5.25,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,1,1.28,0.12,5.64,73.01,1,100,21,CNN 16k,non-IID,CIFAR-10,1.95,0.2671,0.0753,2.9949,2.66,0.1249,0.0409,3.5811
Client 23,2,1.31,0.07,4.4,,2,109,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,0.84,0.06,4.16,,2,104,16,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,2.37,0.1,5.85,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,2.82,0.09,6.64,,2,104,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,1.08,0.06,4.78,,2,110,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,2.62,0.1,6.89,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,2,2.53,0.14,6.13,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,2,2.55,0.14,6.16,,1,100,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,2,1.37,0.07,4.89,,1,100,18,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,2,1.42,0.06,4.59,83.55,1,100,18,CNN 16k,non-IID,CIFAR-10,1.65,0.375,0.2446,2.212,2.66,0.2272,0.1529,2.7686
Client 23,3,3.53,0.28,6.88,,2,105,23,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,3.67,0.12,6.99,,2,105,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,3.82,0.12,7.07,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,3.72,0.1,7.96,,2,105,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,3.44,0.07,6.67,,2,105,23,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,3.85,0.28,7.37,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,3,3.88,0.1,7.28,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,3,4.09,0.21,7.41,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,3,3.96,0.16,7.41,,1,100,23,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,3,4.1,0.06,7.68,79.05,1,100,23,CNN 16k,non-IID,CIFAR-10,1.5,0.4505,0.2822,2.0118,2.56,0.2728,0.2049,2.728
Client 23,4,2.14,0.06,5.46,,2,116,22,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,4.65,0.08,8.49,,2,106,20,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,4.66,0.11,8.67,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,5.0,0.2,8.42,,2,106,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,2.04,0.06,4.75,,2,110,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
