Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,1.15,0.19,4.68,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,1,1.19,0.24,5.05,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,1,1.14,0.32,4.76,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,1,1.1,0.26,5.28,,2,108,21,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,1,1.51,0.34,5.04,27.89,2,108,21,CNN 16k,IID,CIFAR-10,1.63,0.3645,0.0685,2.4507,3.09,0.1,0.0243,3.4287
Client 1,2,2.43,0.13,5.44,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,2,2.19,0.13,6.04,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,2,2.38,0.14,5.65,,2,109,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,2,2.28,0.27,5.52,,2,110,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,2,2.21,0.26,6.41,30.41,2,109,20,CNN 16k,IID,CIFAR-10,1.69,0.3907,0.1014,2.3059,2.97,0.1403,0.0561,3.0788
Client 1,3,3.66,0.1,6.67,,2,111,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,3,3.37,0.09,6.48,,2,111,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,3,3.39,0.18,6.54,,2,110,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,3,3.21,0.16,6.46,,2,111,18,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,3,3.4,0.17,6.39,32.61,2,111,20,CNN 16k,IID,CIFAR-10,1.62,0.4289,0.1935,2.1738,2.46,0.2173,0.145,2.9663
Client 1,4,4.71,0.07,7.68,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,4,4.69,0.06,7.56,,2,113,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,4,4.82,0.12,7.7,,2,112,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,4,4.62,0.14,7.37,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,4,4.72,0.14,7.44,,2,112,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 6,4,1.2,0.24,4.94,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 7,4,1.24,0.39,4.93,,1,100,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 8,4,1.22,0.23,5.26,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 9,4,1.18,0.5,4.87,,1,100,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 10,4,1.24,0.36,5.05,35.92,1,100,20,CNN 16k,IID,CIFAR-10,1.48,0.4571,0.2284,1.9204,2.49,0.2355,0.1715,2.814
Client 1,5,5.58,0.07,8.43,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,5,5.69,0.05,9.55,,2,114,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,5,6.52,0.09,9.03,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,5,5.65,0.1,8.52,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,5,6.15,0.1,9.08,41.34,2,112,20,CNN 16k,IID,CIFAR-10,1.55,0.4404,0.2842,2.0953,2.01,0.2945,0.2414,2.601
Client 1,6,6.58,0.07,9.06,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,6,6.98,0.01,9.64,,2,114,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,6,7.2,0.04,9.48,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,6,7.34,0.08,9.51,,2,113,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,6,6.98,0.08,10.14,44.44,2,113,20,CNN 16k,IID,CIFAR-10,1.57,0.4374,0.3072,2.148,1.9,0.316,0.2658,2.5863
Client 1,7,8.74,0.03,10.65,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 2,7,8.39,0.01,10.4,,2,115,20,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 3,7,8.65,0.05,11.26,,2,114,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 4,7,7.56,0.05,10.29,,2,115,19,CNN 16k,IID,CIFAR-10,,,,,,,,
Client 5,7,7.95,0.05,10.96,48.84,2,115,20,CNN 16k,IID,CIFAR-10,1.57,0.4315,0.3503,2.1149,1.76,0.3522,0.3193,2.4777
