Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,25.2,0.0,0.0,44.96,,2,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,1,26.07,0.0,0.0,68.98,,2,84,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,1,25.23,0.0,0.0,61.13,,2,88,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,1,25.32,0.0,0.0,23.43,,2,114,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,1,25.92,0.0,0.0,37.31,,1,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,1,28.4,0.0,0.0,54.68,,1,83,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,1,26.33,0.0,0.0,46.91,,1,85,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,1,26.08,0.0,0.0,62.53,,1,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,1,25.56,0.0,0.0,33.87,,1,93,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,1,26.72,0.0,0.0,40.71,,1,89,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,1,26.18,0.0,0.0,46.54,,1,85,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,1,28.08,0.0,0.0,73.9,168.55,1,72,21,CNN 16k,non-IID,CIFAR-10,1.25,0.5521,0.3551,1.6936,2.71,0.3229,0.2525,2.4927
Client 23,2,25.5,0.08,0.0,29.26,,2,118,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,2,26.25,0.2,0.0,49.87,,2,94,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,2,24.56,0.08,0.0,47.64,,2,92,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,2,23.75,0.31,0.0,28.28,,2,115,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,2,25.94,0.1,0.0,65.81,,1,63,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,2,29.79,0.09,0.0,46.25,,1,81,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,2,24.99,0.14,0.0,59.8,,1,66,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,2,26.02,0.1,0.0,73.12,,1,59,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,2,25.02,0.24,0.0,37.46,,1,85,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,2,26.53,0.12,0.0,31.71,,1,92,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,2,25.0,0.23,0.0,52.55,,1,70,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,2,27.05,0.08,0.0,72.19,134.49,1,63,21,CNN 16k,non-IID,CIFAR-10,1.15,0.5896,0.4067,1.5358,2.4,0.359,0.2942,2.3252
Client 23,3,24.1,0.08,0.0,66.79,,2,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,3,26.56,0.2,0.0,70.09,,2,76,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,3,25.34,0.08,0.0,62.21,,2,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,3,23.45,0.31,0.0,72.71,,2,71,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,3,25.7,0.1,0.0,35.4,,1,87,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,3,28.33,0.09,0.0,51.0,,1,76,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,3,26.17,0.14,0.0,36.92,,1,85,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,3,26.09,0.1,0.0,33.8,,1,90,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,3,25.34,0.24,0.0,64.68,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,3,25.33,0.12,0.0,52.39,,1,71,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,3,25.36,0.23,0.0,42.06,,1,80,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,3,29.97,0.08,0.0,68.31,133.31,1,64,21,CNN 16k,non-IID,CIFAR-10,1.09,0.6121,0.4458,1.4437,2.29,0.3885,0.329,2.2334
Client 23,4,24.46,0.0,0.0,54.61,,2,85,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,4,25.92,0.0,0.0,46.24,,2,94,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,4,25.36,0.0,0.0,39.97,,2,102,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,4,24.5,0.0,0.0,60.52,,2,80,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,4,26.8,0.0,0.0,31.6,,1,92,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,4,27.75,0.0,0.0,64.84,,1,67,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,4,26.52,0.0,0.0,71.4,,1,60,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,4,26.72,0.0,0.0,72.13,,1,60,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,4,25.88,0.0,0.0,43.08,,1,79,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,4,26.91,0.0,0.0,59.42,,1,68,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,4,26.47,0.0,0.0,27.65,,1,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,4,28.27,0.0,0.0,59.48,115.53,1,70,21,CNN 16k,non-IID,CIFAR-10,1.04,0.6292,0.4713,1.38,2.23,0.4018,0.3455,2.1893
Client 23,5,25.77,0.0,0.0,45.61,,2,96,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,5,25.83,0.0,0.0,70.76,,2,75,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,5,27.14,0.0,0.0,67.42,,2,78,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,5,23.43,0.0,0.0,65.58,,2,76,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,5,26.67,0.0,0.0,64.73,,1,64,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,5,29.38,0.0,0.0,47.35,,1,80,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,5,25.68,0.0,0.0,67.21,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,5,26.34,0.0,0.0,68.48,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,5,25.13,0.0,0.0,70.65,,1,59,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,5,26.35,0.0,0.0,65.19,,1,63,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,5,24.92,0.0,0.0,60.42,,1,65,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,5,29.58,0.0,0.0,31.88,115.53,1,95,21,CNN 16k,non-IID,CIFAR-10,1.0,0.6482,0.503,1.3076,2.19,0.4241,0.3725,2.0835
Client 23,6,24.23,0.0,0.0,63.03,,2,79,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,6,25.86,0.0,0.0,48.77,,2,92,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,6,26.52,0.0,0.0,26.48,,2,123,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,6,24.37,0.0,0.0,41.31,,2,98,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,6,26.79,0.0,0.0,66.76,,1,63,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,6,28.83,0.0,0.0,68.08,,1,65,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,6,26.79,0.0,0.0,35.49,,1,86,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,6,26.6,0.0,0.0,71.16,,1,60,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,6,26.28,0.0,0.0,37.78,,1,84,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,6,26.54,0.0,0.0,29.17,,1,96,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,6,25.77,0.0,0.0,49.54,,1,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,6,27.66,0.0,0.0,27.53,114.47,1,100,21,CNN 16k,non-IID,CIFAR-10,0.97,0.6566,0.5175,1.2671,2.13,0.4302,0.3817,2.0484
Client 23,7,23.82,0.08,0.0,64.13,,2,78,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,7,26.11,0.2,0.0,40.57,,2,104,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,7,24.9,0.08,0.0,32.3,,2,112,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,7,24.73,0.31,0.0,45.97,,2,94,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,7,26.86,0.1,0.0,42.53,,1,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,7,28.0,0.09,0.0,44.93,,1,82,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,7,25.93,0.14,0.0,71.57,,1,60,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,7,26.6,0.1,0.0,63.16,,1,65,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,7,26.46,0.24,0.0,39.93,,1,83,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,7,27.17,0.12,0.0,26.61,,1,100,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,7,26.64,0.23,0.0,51.36,,1,73,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,7,27.96,0.08,0.0,41.97,128.52,1,83,21,CNN 16k,non-IID,CIFAR-10,0.94,0.6674,0.5325,1.2271,2.14,0.4396,0.3922,2.0187
Client 23,8,25.08,0.08,0.0,70.49,,2,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,8,24.92,0.2,0.0,61.04,,2,81,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,8,24.2,0.08,0.0,28.92,,2,116,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,8,23.97,0.31,0.0,72.95,,2,70,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,8,27.74,0.1,0.0,28.6,,1,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,8,27.9,0.09,0.0,73.99,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,8,26.1,0.14,0.0,68.41,,1,62,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,8,27.82,0.1,0.0,52.44,,1,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,8,31.71,0.24,0.0,56.19,,1,72,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,8,27.42,0.12,0.0,47.55,,1,77,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,8,27.42,0.23,0.0,72.41,,1,61,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,8,26.49,0.08,0.0,58.38,136.55,1,68,21,CNN 16k,non-IID,CIFAR-10,0.92,0.6757,0.5416,1.1923,2.11,0.4472,0.3999,1.9958
Client 23,9,24.17,0.08,0.0,48.14,,2,91,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,9,25.71,0.2,0.0,34.72,,2,109,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,9,24.41,0.08,0.0,32.69,,2,110,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,9,24.73,0.31,0.0,70.86,,2,73,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,9,27.87,0.1,0.0,48.94,,1,77,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,9,27.06,0.09,0.0,34.11,,1,91,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,9,27.53,0.14,0.0,76.86,,1,59,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 30,9,26.43,0.1,0.0,41.91,,1,81,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 31,9,28.06,0.24,0.0,33.37,,1,92,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 32,9,26.45,0.12,0.0,49.4,,1,74,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 33,9,26.01,0.23,0.0,37.38,,1,85,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 34,9,26.65,0.08,0.0,66.31,140.63,1,63,21,CNN 16k,non-IID,CIFAR-10,0.89,0.6853,0.5583,1.1548,2.11,0.4525,0.4086,1.9679
Client 23,10,24.68,0.0,0.0,29.55,,2,116,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 24,10,25.1,0.0,0.0,30.7,,2,115,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 25,10,24.23,0.0,0.0,53.46,,2,85,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 26,10,23.97,0.0,0.0,31.83,,2,113,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 27,10,28.22,0.0,0.0,48.5,,1,77,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 28,10,27.82,0.0,0.0,73.68,,1,64,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 29,10,26.45,0.0,0.0,28.27,,1,97,21,CNN 16k,non-IID,CIFAR-10,,,,,,,,
