Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.91,0.0,0.0,10.18,,2,101,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,5.81,0.0,0.0,3.3,,2,127,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,1,5.94,0.0,0.0,9.4,,1,79,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,1,5.92,0.0,0.0,9.41,,1,79,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,1,5.86,0.0,0.0,11.39,,1,74,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,1,6.43,0.0,0.0,4.38,35.19,1,93,19,TextMLP,non-IID,AGNEWS,0.39,0.856,0.7683,0.2053,2.97,0.5499,0.4718,0.7869
Client 23,2,5.87,0.0,0.0,12.26,,2,90,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,5.68,0.0,0.0,2.2,,2,187,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,2,5.94,0.0,0.0,6.33,,1,71,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,2,5.84,0.0,0.0,12.34,,1,48,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,2,6.33,0.0,0.0,2.35,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,2,5.98,0.0,0.0,12.23,19.49,1,49,19,TextMLP,non-IID,AGNEWS,0.3,0.8915,0.8428,0.1624,3.72,0.6218,0.5376,0.658
Client 23,3,5.77,0.0,0.0,9.26,,2,106,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,5.68,0.0,0.0,3.24,,2,169,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,3,6.0,0.0,0.0,8.4,,1,61,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,3,6.04,0.0,0.0,3.36,,1,90,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,3,6.08,0.0,0.0,7.43,,1,65,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,3,5.39,0.0,0.0,6.25,15.93,1,68,19,TextMLP,non-IID,AGNEWS,0.27,0.8979,0.8548,0.1543,4.75,0.6328,0.5476,0.6333
Client 23,4,5.79,0.0,0.0,5.22,,2,141,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,5.84,0.0,0.0,5.15,,2,141,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,4,5.87,0.0,0.0,11.36,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,4,5.76,0.0,0.0,9.29,,1,57,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,4,5.96,0.0,0.0,11.38,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
