Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,5.68,0.0,0.0,10.22,,2,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,1,5.67,0.0,0.0,7.19,,2,110,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,1,5.74,0.0,0.0,4.28,,1,93,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,1,5.65,0.0,0.0,3.29,,1,96,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,1,5.99,0.0,0.0,7.32,,1,84,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,1,5.46,0.0,0.0,4.2,33.26,1,93,19,TextMLP,non-IID,AGNEWS,0.43,0.8406,0.7208,0.2213,2.98,0.518,0.4359,0.7938
Client 23,2,6.06,0.0,0.0,5.27,,2,141,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,2,5.79,0.0,0.0,3.23,,2,169,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,2,5.79,0.0,0.0,4.31,,1,82,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,2,6.66,0.0,0.0,3.69,,1,92,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,2,6.0,0.0,0.0,11.29,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,2,5.75,0.0,0.0,4.32,18.17,1,82,19,TextMLP,non-IID,AGNEWS,0.3,0.8861,0.8309,0.1699,4.13,0.601,0.521,0.6973
Client 23,3,5.52,0.0,0.0,10.1,,2,97,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,3,5.77,0.0,0.0,10.43,,2,101,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,3,5.91,0.0,0.0,8.27,,1,62,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,3,5.58,0.0,0.0,10.21,,1,53,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,3,5.54,0.0,0.0,2.28,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,3,5.58,0.0,0.0,5.23,17.3,1,75,19,TextMLP,non-IID,AGNEWS,0.27,0.8978,0.8534,0.1553,5.16,0.6253,0.5419,0.6569
Client 23,4,5.96,0.0,0.0,3.25,,2,168,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,4,6.11,0.0,0.0,10.36,,2,102,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,4,5.96,0.0,0.0,9.38,,1,58,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,4,6.8,0.0,0.0,4.76,,1,85,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,4,5.87,0.0,0.0,4.39,,1,82,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,4,5.8,0.0,0.0,3.38,17.51,1,90,19,TextMLP,non-IID,AGNEWS,0.26,0.9015,0.8609,0.1505,5.56,0.6348,0.5502,0.6284
Client 23,5,5.89,0.0,0.0,11.18,,2,94,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,5,5.59,0.0,0.0,11.22,,2,93,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,5,5.74,0.0,0.0,12.32,,1,48,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,5,5.5,0.0,0.0,9.28,,1,56,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,5,5.82,0.0,0.0,10.39,,1,53,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,5,5.55,0.0,0.0,4.24,18.95,1,81,19,TextMLP,non-IID,AGNEWS,0.25,0.9045,0.8667,0.1473,5.46,0.6414,0.5561,0.607
Client 23,6,5.93,0.0,0.0,11.13,,2,95,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,6,5.6,0.0,0.0,11.19,,2,93,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,6,5.73,0.0,0.0,10.3,,1,53,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,6,5.65,0.0,0.0,10.26,,1,54,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,6,5.73,0.0,0.0,11.34,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,6,6.06,0.0,0.0,5.28,18.35,1,76,19,TextMLP,non-IID,AGNEWS,0.25,0.9059,0.8668,0.1453,5.5,0.6296,0.5467,0.6395
Client 23,7,5.48,0.0,0.0,6.14,,2,128,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,7,5.93,0.0,0.0,12.28,,2,90,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,7,5.61,0.0,0.0,7.26,,1,64,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,7,5.74,0.0,0.0,11.34,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,7,5.62,0.0,0.0,12.3,,1,47,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,7,5.59,0.0,0.0,4.32,19.02,1,82,19,TextMLP,non-IID,AGNEWS,0.24,0.9089,0.8721,0.1407,5.33,0.6367,0.5524,0.6362
Client 23,8,5.74,0.0,0.0,7.22,,2,120,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,8,5.73,0.0,0.0,6.18,,2,129,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,8,5.76,0.0,0.0,2.39,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,8,5.65,0.0,0.0,3.2,,1,90,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,8,5.82,0.0,0.0,2.31,,1,100,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,8,5.6,0.0,0.0,12.19,18.72,1,47,19,TextMLP,non-IID,AGNEWS,0.24,0.9098,0.8747,0.1385,5.32,0.6453,0.5593,0.6002
Client 23,9,5.64,0.0,0.0,10.23,,2,99,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,9,5.61,0.0,0.0,2.23,,2,188,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,9,5.59,0.0,0.0,6.26,,1,69,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,9,5.53,0.0,0.0,10.19,,1,52,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,9,5.62,0.0,0.0,4.3,,1,82,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,9,5.57,0.0,0.0,8.2,16.7,1,59,19,TextMLP,non-IID,AGNEWS,0.24,0.9117,0.8762,0.1358,5.36,0.6411,0.5561,0.6129
Client 23,10,5.57,0.0,0.0,12.17,,2,87,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,10,5.92,0.0,0.0,2.26,,2,188,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,10,6.46,0.0,0.0,5.23,,1,76,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,10,6.46,0.0,0.0,12.71,,1,51,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,10,5.93,0.0,0.0,4.38,,1,82,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,10,5.72,0.0,0.0,2.21,20.18,1,100,19,TextMLP,non-IID,AGNEWS,0.23,0.9131,0.8786,0.1337,5.35,0.6429,0.5578,0.6075
Client 23,11,5.94,0.0,0.0,2.16,,2,186,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,11,5.69,0.0,0.0,7.22,,2,120,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,11,5.74,0.0,0.0,12.25,,1,48,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,11,5.84,0.0,0.0,6.3,,1,70,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,11,5.66,0.0,0.0,7.3,,1,64,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,11,5.52,0.0,0.0,9.19,19.11,1,56,19,TextMLP,non-IID,AGNEWS,0.24,0.9112,0.876,0.1342,5.29,0.6466,0.5595,0.6099
Client 23,12,5.62,0.0,0.0,10.25,,2,98,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 24,12,5.95,0.0,0.0,4.28,,2,154,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 25,12,6.03,0.0,0.0,10.33,,1,55,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 26,12,6.03,0.0,0.0,9.38,,1,58,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 27,12,5.99,0.0,0.0,6.56,,1,71,19,TextMLP,non-IID,AGNEWS,,,,,,,,
Client 28,12,6.02,0.0,0.0,12.43,19.76,1,50,19,TextMLP,non-IID,AGNEWS,0.23,0.9158,0.8815,0.1292,5.48,0.6421,0.5567,0.6204
