Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,26.8,0.14,0.0,26.82,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,25.11,0.25,0.0,26.08,137.29,2,117,21,CNN 64k,non-IID,CIFAR10,1.03,0.6642,0.3639,1.3758,2.7,0.3369,0.2468,2.6953
Client 1,2,30.89,0.14,0.0,28.77,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,26.38,0.25,0.0,25.4,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,29.89,0.16,0.0,27.56,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,28.97,0.11,0.0,27.07,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,13.9,0.05,50.71,11.01,,1,100,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,14.3,0.05,36.3,11.03,96.99,1,100,38,CNN 64k,non-IID,CIFAR10,1.01,0.6237,0.4696,1.4263,2.39,0.3995,0.3416,2.311
Client 1,3,11.21,0.05,38.79,9.06,,2,152,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,11.5,0.05,45.89,9.01,,2,154,48,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,14.32,0.05,49.67,10.55,,1,100,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,14.12,0.05,39.06,10.83,,1,100,39,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,14.23,0.05,0.0,11.75,,1,100,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,14.03,0.05,0.0,11.9,74.99,1,100,38,CNN 64k,non-IID,CIFAR10,1.23,0.5009,0.4744,1.7806,2.3,0.459,0.4197,2.0357
Client 1,4,10.58,0.05,0.0,8.58,,2,184,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,10.69,0.05,0.0,8.69,19.96,2,183,48,CNN 64k,non-IID,CIFAR10,1.26,0.4832,0.4734,2.1129,2.04,0.5025,0.4662,1.846
Client 1,5,10.89,0.05,0.0,8.91,,2,183,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,5,11.26,0.05,0.0,8.47,20.26,2,184,48,CNN 64k,non-IID,CIFAR10,1.18,0.5132,0.5052,1.7064,2.23,0.5224,0.4836,1.7981
Client 1,6,11.08,0.05,0.0,8.58,,2,184,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,6,10.62,0.05,0.0,8.5,20.2,2,184,48,CNN 64k,non-IID,CIFAR10,1.14,0.5279,0.5217,1.8044,2.62,0.52,0.4806,1.7569
Client 1,7,11.53,0.05,0.0,9.44,,2,183,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,7,12.77,0.05,0.0,9.36,,2,184,48,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,7,15.41,0.05,0.0,11.66,,1,100,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,7,14.16,0.05,0.0,11.08,,1,100,40,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,7,16.42,0.05,0.0,12.07,,1,100,44,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,7,15.11,0.05,0.0,11.47,29.14,1,100,38,CNN 64k,non-IID,CIFAR10,1.04,0.5765,0.5704,1.5386,2.18,0.5242,0.485,1.7199
Client 1,8,11.08,0.05,0.0,9.39,,2,183,43,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,8,10.9,0.05,0.0,8.99,20.99,2,183,48,CNN 64k,non-IID,CIFAR10,1.06,0.5529,0.5478,1.9116,2.21,0.5349,0.496,1.6918
