Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,27.56,0.13,0.0,27.67,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,27.58,0.17,0.0,27.44,139.78,2,117,21,CNN 64k,non-IID,CIFAR10,1.31,0.5221,0.3903,1.4178,2.73,0.3372,0.294,2.3291
Client 23,2,27.9,0.13,0.0,26.68,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,27.43,0.17,0.0,25.99,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,29.86,0.12,0.0,28.37,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,29.48,0.11,0.0,27.23,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,30.85,0.17,0.0,28.34,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,30.31,0.09,0.0,27.46,93.39,1,100,21,CNN 64k,non-IID,CIFAR10,1.07,0.627,0.4865,1.3204,2.63,0.4225,0.3635,2.1532
Client 23,3,27.27,0.13,0.0,26.64,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,27.74,0.17,0.0,26.2,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,30.92,0.12,0.0,28.29,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,29.39,0.11,0.0,28.25,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,30.88,0.17,0.0,28.35,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,31.26,0.09,0.0,28.21,94.63,1,100,21,CNN 64k,non-IID,CIFAR10,0.96,0.6654,0.5391,1.1552,2.39,0.4506,0.3977,2.0282
Client 23,4,27.6,0.13,0.0,26.9,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,26.58,0.17,0.0,26.04,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,30.86,0.12,0.0,28.02,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,29.69,0.11,0.0,27.35,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,30.04,0.17,0.0,28.65,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,29.8,0.09,0.0,27.42,93.78,1,100,21,CNN 64k,non-IID,CIFAR10,0.89,0.6905,0.5759,1.0767,2.33,0.4672,0.4173,1.9724
Client 23,5,28.2,0.13,0.0,26.55,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,28.1,0.17,0.0,26.83,88.81,2,127,21,CNN 64k,non-IID,CIFAR10,0.88,0.6865,0.6156,0.8709,2.46,0.4782,0.4436,1.9467
Client 23,6,27.58,0.13,0.0,27.28,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,26.82,0.17,0.0,28.88,89.82,2,127,21,CNN 64k,non-IID,CIFAR10,0.81,0.7166,0.6569,0.8043,3.12,0.4891,0.4575,1.9018
Client 23,7,27.18,0.13,0.0,27.24,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,7,27.81,0.17,0.0,26.69,89.61,2,127,21,CNN 64k,non-IID,CIFAR10,0.74,0.7385,0.6739,0.7212,3.78,0.4787,0.4447,1.9159
Client 23,8,27.11,0.13,0.0,26.87,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,8,27.16,0.17,0.0,26.61,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,8,30.01,0.12,0.0,28.72,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,8,29.66,0.11,0.0,27.42,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,8,30.84,0.17,0.0,28.47,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,8,30.82,0.09,0.0,27.28,93.97,1,100,21,CNN 64k,non-IID,CIFAR10,0.68,0.7699,0.6858,0.8403,2.9,0.5021,0.463,1.8522
Client 23,9,28.98,0.13,0.0,27.93,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,9,27.83,0.17,0.0,27.23,91.63,2,127,21,CNN 64k,non-IID,CIFAR10,0.59,0.8003,0.747,0.5569,3.26,0.5135,0.4814,1.8545
Client 23,10,27.84,0.13,0.0,26.46,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,10,28.37,0.17,0.0,27.19,89.63,2,126,21,CNN 64k,non-IID,CIFAR10,0.54,0.8228,0.7765,0.4903,3.75,0.5138,0.4839,1.8296
Client 23,11,27.49,0.13,0.0,27.55,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,11,27.89,0.17,0.0,26.44,89.19,2,127,21,CNN 64k,non-IID,CIFAR10,0.51,0.8298,0.7888,0.4728,4.05,0.5065,0.4818,1.8489
Client 23,12,26.58,0.13,0.0,26.44,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,12,27.09,0.17,0.0,27.77,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,12,30.23,0.12,0.0,28.12,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,12,29.38,0.11,0.0,27.41,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,12,30.41,0.17,0.0,28.63,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,12,30.29,0.09,0.0,28.38,93.8,1,100,21,CNN 64k,non-IID,CIFAR10,0.55,0.8165,0.744,0.7011,3.07,0.5165,0.4778,1.836
Client 23,13,28.69,0.13,0.0,27.23,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,13,26.31,0.17,0.0,25.54,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,13,30.67,0.12,0.0,29.0,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,13,30.37,0.11,0.0,28.03,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,13,31.04,0.17,0.0,28.34,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,13,30.86,0.09,0.0,28.68,94.22,1,100,21,CNN 64k,non-IID,CIFAR10,0.51,0.8293,0.7623,0.6457,2.73,0.5198,0.4833,1.7895
Client 23,14,28.65,0.13,0.0,27.1,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,14,26.65,0.17,0.0,26.71,90.49,2,127,21,CNN 64k,non-IID,CIFAR10,0.4,0.8677,0.8281,0.3834,3.32,0.5141,0.4869,1.8376
Client 23,15,28.58,0.13,0.0,28.06,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,15,27.58,0.17,0.0,26.88,92.34,2,127,21,CNN 64k,non-IID,CIFAR10,0.39,0.8678,0.8324,0.357,3.97,0.5051,0.4789,1.835
Client 23,16,28.39,0.13,0.0,27.54,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,16,27.27,0.17,0.0,26.14,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
