Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,27.08,0.17,0.0,26.17,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,27.05,0.12,0.0,29.02,136.51,2,116,21,CNN 64k,non-IID,CIFAR10,1.15,0.5952,0.3818,1.6924,2.56,0.3311,0.2766,2.4929
Client 23,2,26.87,0.17,0.0,25.51,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,27.83,0.12,0.0,26.86,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,30.78,0.06,0.0,27.46,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,30.3,0.29,0.0,27.58,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,30.11,0.19,0.0,27.45,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,30.41,0.09,0.0,28.34,92.71,1,100,21,CNN 64k,non-IID,CIFAR10,1.05,0.6217,0.4614,1.4288,2.41,0.3966,0.3433,2.2013
Client 23,3,26.43,0.17,0.0,24.8,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,27.0,0.12,0.0,26.63,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,30.28,0.06,0.0,27.71,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,30.04,0.29,0.0,28.13,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,29.75,0.19,0.0,27.85,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,30.67,0.09,0.0,28.0,93.08,1,100,21,CNN 64k,non-IID,CIFAR10,0.97,0.6562,0.524,1.279,2.28,0.4409,0.3956,2.0152
