Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 23,1,26.7,0.17,0.0,25.19,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,1,27.7,0.23,0.0,25.75,,2,117,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,1,28.34,0.37,0.0,27.97,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,1,30.37,0.1,0.0,26.98,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,1,30.35,0.07,0.0,28.14,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,1,28.02,0.13,0.0,24.43,141.0,1,100,21,CNN 64k,non-IID,CIFAR10,1.13,0.5883,0.3714,1.569,2.76,0.3342,0.2637,2.3716
Client 23,2,27.35,0.17,0.0,25.75,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,2,26.14,0.23,0.0,25.59,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,2,28.98,0.37,0.0,27.39,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,2,30.45,0.1,0.0,26.6,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,2,29.58,0.07,0.0,26.75,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,2,27.11,0.13,0.0,25.47,90.68,1,100,21,CNN 64k,non-IID,CIFAR10,1.03,0.6307,0.4358,1.3617,2.5,0.3737,0.3181,2.1795
Client 23,3,25.75,0.17,0.0,24.9,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,3,26.8,0.23,0.0,26.03,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,3,29.11,0.37,0.0,27.77,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,3,29.37,0.1,0.0,28.03,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,3,28.86,0.07,0.0,28.31,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,3,28.85,0.13,0.0,27.45,91.39,1,100,21,CNN 64k,non-IID,CIFAR10,0.91,0.6732,0.5072,1.1856,2.39,0.4235,0.372,2.0435
Client 23,4,27.59,0.17,0.0,26.12,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,4,25.32,0.23,0.0,26.1,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,4,28.8,0.37,0.0,26.74,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,4,29.57,0.1,0.0,28.26,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,4,28.71,0.07,0.0,27.62,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,4,27.93,0.13,0.0,27.26,91.64,1,100,21,CNN 64k,non-IID,CIFAR10,0.85,0.6942,0.5468,1.116,2.44,0.4439,0.3979,1.9241
Client 23,5,28.34,0.17,0.0,25.93,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,5,25.49,0.23,0.0,26.02,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,5,27.76,0.37,0.0,24.99,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,5,29.28,0.1,0.0,26.52,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,5,30.52,0.07,0.0,26.86,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,5,26.52,0.13,0.0,24.91,91.61,1,100,21,CNN 64k,non-IID,CIFAR10,0.77,0.7242,0.5906,0.9871,2.28,0.4627,0.4187,1.8803
Client 23,6,26.61,0.17,0.0,29.19,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 24,6,25.15,0.23,0.0,24.66,,2,128,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 25,6,29.12,0.37,0.0,26.95,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 26,6,29.58,0.1,0.0,28.63,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 27,6,31.06,0.07,0.0,29.33,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 28,6,26.93,0.13,0.0,27.5,93.5,1,100,21,CNN 64k,non-IID,CIFAR10,0.72,0.7421,0.6197,0.9152,2.3,0.478,0.4356,1.8478
