Client ID,FL Round,Training Time,JSD,HDH Time,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 1,1,28.37,0.0,0.0,39.97,,2,104,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,1,25.76,0.0,0.0,28.55,,2,112,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,1,26.96,0.0,0.0,43.91,,1,85,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,1,26.17,0.0,0.0,43.02,,1,88,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,1,27.89,0.0,0.0,37.97,,1,90,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,1,27.73,0.0,0.0,31.6,129.78,1,95,21,CNN 64k,non-IID,CIFAR10,1.07,0.621,0.407,1.3281,2.75,0.3635,0.2947,2.3898
Client 1,2,25.95,0.0,0.0,31.65,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,2,24.55,0.0,0.0,26.34,,2,123,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,2,27.68,0.0,0.0,30.72,,1,92,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,2,26.26,0.0,0.0,32.98,,1,91,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,2,28.3,0.0,0.0,28.73,,1,95,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,2,26.51,0.0,0.0,32.15,75.07,1,89,21,CNN 64k,non-IID,CIFAR10,0.95,0.6643,0.4741,1.1525,2.5,0.4086,0.3471,2.2402
Client 1,3,26.68,0.13,0.0,30.45,,2,120,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,3,26.42,0.09,0.0,43.96,,2,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,3,26.94,0.15,0.0,44.49,,1,78,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,3,26.79,0.3,0.0,44.79,,1,77,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,3,27.48,0.24,0.0,39.77,,1,83,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,3,27.79,0.09,0.0,25.3,103.2,1,100,21,CNN 64k,non-IID,CIFAR10,0.85,0.7003,0.5498,1.036,2.26,0.4609,0.4092,2.023
Client 1,4,26.04,0.13,0.0,29.19,,2,123,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,4,24.85,0.09,0.0,38.77,,2,106,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,4,27.01,0.15,0.0,34.87,,1,87,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,4,28.72,0.3,0.0,39.5,,1,82,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,4,27.18,0.24,0.0,29.99,,1,93,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,4,27.4,0.09,0.0,37.26,99.64,1,85,21,CNN 64k,non-IID,CIFAR10,0.77,0.7241,0.5716,0.9374,2.24,0.4616,0.409,1.9974
Client 1,5,27.71,0.13,0.0,40.53,,2,106,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,5,24.69,0.09,0.0,43.71,,2,99,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,5,27.59,0.15,0.0,38.35,,1,84,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,5,26.74,0.3,0.0,37.45,,1,84,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,5,26.53,0.24,0.0,33.35,,1,88,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,5,26.58,0.09,0.0,34.58,101.06,1,87,21,CNN 64k,non-IID,CIFAR10,0.71,0.7488,0.6102,0.8617,2.22,0.4788,0.4315,1.9528
Client 1,6,26.26,0.13,0.0,32.75,,2,116,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,6,24.76,0.09,0.0,32.62,,2,112,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,6,26.95,0.15,0.0,27.0,,1,97,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,6,28.43,0.3,0.0,36.67,,1,88,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,6,27.5,0.24,0.0,28.54,,1,96,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,6,28.59,0.09,0.0,26.36,95.49,1,100,21,CNN 64k,non-IID,CIFAR10,0.63,0.7771,0.6564,0.7537,2.14,0.4968,0.4513,1.9093
Client 1,7,27.26,0.13,0.0,44.12,,2,102,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,7,24.7,0.09,0.0,40.89,,2,103,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,7,27.0,0.15,0.0,28.0,,1,96,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,7,30.27,0.3,0.0,29.32,,1,96,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,7,27.61,0.24,0.0,38.65,,1,86,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,7,28.76,0.09,0.0,42.05,104.11,1,84,21,CNN 64k,non-IID,CIFAR10,0.59,0.7909,0.6837,0.694,2.1,0.5124,0.4723,1.8397
Client 1,8,26.21,0.0,0.0,33.17,,2,113,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,8,23.87,0.0,0.0,39.7,,2,101,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,8,26.97,0.0,0.0,34.31,,1,87,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,8,27.98,0.0,0.0,34.99,,1,87,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,8,27.04,0.0,0.0,41.08,,1,80,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,8,26.43,0.0,0.0,36.03,83.8,1,86,21,CNN 64k,non-IID,CIFAR10,0.54,0.8118,0.7201,0.6321,2.03,0.5317,0.4943,1.751
Client 1,9,27.95,0.0,0.0,25.46,,2,126,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,9,24.98,0.0,0.0,44.16,,2,99,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,9,26.31,0.0,0.0,45.76,,1,77,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,9,27.7,0.0,0.0,41.02,,1,84,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,9,26.62,0.0,0.0,29.65,,1,93,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,9,27.61,0.0,0.0,44.37,88.01,1,80,21,CNN 64k,non-IID,CIFAR10,0.5,0.8239,0.7388,0.5743,2.14,0.5312,0.4961,1.7184
Client 1,10,25.28,0.0,0.0,33.06,,2,113,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,10,24.94,0.0,0.0,29.14,,2,120,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,10,29.88,0.0,0.0,28.03,,1,99,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,10,28.72,0.0,0.0,42.49,,1,82,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,10,25.39,0.0,0.0,44.23,,1,78,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,10,26.85,0.0,0.0,43.71,89.05,1,79,21,CNN 64k,non-IID,CIFAR10,0.47,0.8368,0.755,0.5416,2.19,0.5363,0.5008,1.7053
Client 1,11,24.93,0.13,0.0,28.82,,2,123,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,11,26.32,0.09,0.0,38.46,,2,106,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,11,27.3,0.15,0.0,41.13,,1,82,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,11,27.44,0.3,0.0,40.34,,1,82,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,11,27.87,0.24,0.0,37.95,,1,85,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,11,27.79,0.09,0.0,39.58,100.21,1,82,21,CNN 64k,non-IID,CIFAR10,0.44,0.8466,0.7758,0.5017,2.1,0.5454,0.5099,1.6686
Client 1,12,26.16,0.13,0.0,44.65,,2,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,12,25.21,0.09,0.0,33.15,,2,113,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,12,30.17,0.15,0.0,40.66,,1,87,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,12,27.34,0.3,0.0,32.14,,1,91,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,12,26.7,0.24,0.0,38.22,,1,84,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,12,26.26,0.09,0.0,36.17,105.2,1,84,21,CNN 64k,non-IID,CIFAR10,0.41,0.8575,0.7894,0.468,2.13,0.5408,0.5083,1.689
Client 1,13,26.62,0.0,0.0,26.82,,2,127,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,13,26.1,0.0,0.0,38.38,,2,106,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,13,28.86,0.0,0.0,45.63,,1,78,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,13,28.93,0.0,0.0,43.22,,1,80,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,13,28.36,0.0,0.0,44.46,,1,78,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,13,28.36,0.0,0.0,32.75,90.4,1,92,21,CNN 64k,non-IID,CIFAR10,0.39,0.8635,0.789,0.4479,2.29,0.5347,0.4983,1.7212
Client 1,14,26.84,0.13,0.0,45.48,,2,99,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,14,24.27,0.09,0.0,27.67,,2,121,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,14,27.16,0.15,0.0,31.81,,1,91,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,14,26.87,0.3,0.0,44.65,,1,77,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,14,27.92,0.24,0.0,29.27,,1,95,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,14,26.79,0.09,0.0,44.01,105.73,1,78,21,CNN 64k,non-IID,CIFAR10,0.36,0.875,0.8168,0.4123,2.15,0.5507,0.5175,1.6369
Client 1,15,26.43,0.13,0.0,39.81,,2,106,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,15,24.08,0.09,0.0,41.54,,2,101,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,15,28.54,0.15,0.0,41.4,,1,84,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,15,26.04,0.3,0.0,36.18,,1,86,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,15,26.38,0.24,0.0,45.0,,1,77,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,15,26.68,0.09,0.0,35.42,102.12,1,87,21,CNN 64k,non-IID,CIFAR10,0.36,0.8746,0.8161,0.413,2.25,0.545,0.5137,1.6672
Client 1,16,25.48,0.0,0.0,37.59,,2,108,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,16,25.17,0.0,0.0,41.35,,2,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,16,27.89,0.0,0.0,27.54,,1,97,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,16,28.17,0.0,0.0,25.78,,1,99,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,16,27.99,0.0,0.0,37.76,,1,84,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,16,26.31,0.0,0.0,45.62,88.07,1,77,21,CNN 64k,non-IID,CIFAR10,0.33,0.8852,0.8337,0.3709,2.23,0.55,0.5195,1.643
Client 1,17,26.52,0.13,0.0,43.75,,2,101,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 2,17,25.38,0.09,0.0,43.51,,2,98,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 3,17,27.21,0.15,0.0,38.94,,1,83,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 4,17,26.87,0.3,0.0,29.15,,1,96,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 5,17,27.18,0.24,0.0,24.67,,1,100,21,CNN 64k,non-IID,CIFAR10,,,,,,,,
Client 6,17,26.68,0.09,0.0,41.43,103.34,1,80,21,CNN 64k,non-IID,CIFAR10,0.31,0.8957,0.8438,0.3445,2.28,0.5508,0.5189,1.6516
